sample	club-moss_0.001_1x_1	club-moss_0.001_2x_1	club-moss_0.001_4x_1	club-moss_0.001_8x_1	club-moss_0.002_1x_1	club-moss_0.002_2x_1	club-moss_0.002_4x_1	club-moss_0.002_8x_1	club-moss_0.004_1x_1	club-moss_0.004_2x_1	club-moss_0.004_4x_1	club-moss_0.004_8x_1	club-moss_0.006_1x_1	club-moss_0.006_2x_1	club-moss_0.006_4x_1	club-moss_0.006_8x_1	club-moss_0.008_1x_1	club-moss_0.008_2x_1	club-moss_0.008_4x_1	club-moss_0.008_8x_1	club-moss_0.01_1x_1	club-moss_0.01_2x_1	club-moss_0.01_4x_1	club-moss_0.01_8x_1	club-moss_0.02_1x_1	club-moss_0.02_2x_1	club-moss_0.02_4x_1	club-moss_0.02_8x_1	club-moss_0.0_1x_1	club-moss_0.0_2x_1	club-moss_0.0_4x_1	club-moss_0.0_8x_1
club-moss_0.001_1x_1	0.0	0.0	0.0	0.0	0.00286313404096975	0.0030455210653982105	0.0031281017049655546	0.00316849981763887	0.0046612099669457435	0.0049800663462053205	0.004973773621102035	0.005051561424488136	0.0068870717086986005	0.0067436583448135376	0.006963659413599047	0.007065800160602985	0.0080383789469736	0.008655770058035571	0.00883154572403112	0.009200719082965842	0.010033333181900118	0.010284828540566743	0.010561472045241225	0.010969872137769775	0.019078200871545853	0.019376352414374295	0.019692009184279193	0.02024147186829862	0.0012992695185991708	0.0011936128012311367	0.0013707962098500274	0.001329235349009014
club-moss_0.001_2x_1	0.0	0.0	0.0	0.0	0.002742748467834446	0.002906100727867653	0.0031116797291255048	0.003242606075580556	0.004521278988410483	0.004924375256730501	0.004916582491160987	0.005144511813848137	0.006507806735316601	0.006763332513963753	0.006923734764457844	0.007134738235040962	0.008199265935054451	0.008507922271590723	0.00888331245784416	0.009174768116613559	0.010174815757427555	0.010292711023106174	0.010680413757763695	0.01096436925287753	0.019137827549978725	0.019468164322838388	0.01995931539971202	0.020411389856854478	0.0011394485747131084	0.0010481920246090157	0.0013010443169392757	0.00142615311482088
club-moss_0.001_4x_1	0.0	0.0	0.0	0.0	0.0026877953072988858	0.0028412369170388407	0.003060859432685504	0.003214870991329507	0.00450126031678329	0.004896702580162268	0.004913537123982087	0.00523240348768875	0.006581403583541757	0.006706626495981404	0.006913333738542167	0.007134724813270035	0.008419904846103655	0.00853760708805679	0.008908181569113209	0.009188168798966835	0.010165254191363382	0.010297089428010811	0.010664397882669804	0.011110826714365514	0.019155381772211405	0.019675009229494833	0.020109233193089365	0.020600505391680634	0.0009983194842354583	0.0010586931283448015	0.0011791444398674099	0.0013016213969842332
club-moss_0.001_8x_1	0.0	0.0	0.0	0.0	0.0027255722917073812	0.003025416048615148	0.0032306565006177852	0.003314694959360557	0.0046079194833866495	0.004945136164878624	0.005184114580392942	0.005262349649859985	0.0066320073501581174	0.0068089652976907064	0.007089861906460828	0.007302012501147591	0.008468845561807296	0.008736400861769966	0.009042168862337302	0.009533694131322414	0.010416385618319568	0.010527093524822208	0.010919829108918531	0.01159447133584324	0.019439696726508044	0.019890086026544344	0.020288773052739035	0.0212237669685312	0.0010778422052919949	0.0012139308422788274	0.0013195218417572719	0.0013607134973896656
club-moss_0.002_1x_1	0.0028671305386107895	0.0031061938120088366	0.0032832000034175445	0.0033073062112994084	0.0	0.0	0.0	0.0	0.0055826770657782104	0.005841991005764335	0.006063924293899896	0.00622154449567775	0.007436353424790269	0.007758384924515458	0.007843521410988097	0.008139446628956638	0.00919721550269862	0.009536228669622629	0.009792993994994234	0.01011896247208363	0.010846133234101886	0.011223932527766723	0.011528490454103488	0.011881843952876885	0.019827205083989042	0.020225922602870105	0.020719069461704345	0.0211145248490667	0.002146351383125154	0.0023627594099671495	0.0025345871541547892	0.0025005161221888462
club-moss_0.002_2x_1	0.0027021156837438187	0.0029164982460320355	0.0030653483692847597	0.0032313727486313493	0.0	0.0	0.0	0.0	0.005269708216760635	0.005704435262880284	0.005825379864163437	0.006086107600132691	0.007408105018491638	0.007414115257701726	0.007730666611413125	0.007915147446262474	0.009044422412467378	0.009323842439546178	0.009697192083127273	0.010122135417377044	0.010697135453377417	0.011082257118993355	0.011353029923057407	0.011776207550283703	0.019786366595883186	0.020145375848617628	0.020671494097305156	0.021107357397167695	0.001922239278395468	0.002057310453234102	0.0022832373295380536	0.002321089665512674
club-moss_0.002_4x_1	0.0025764155233347743	0.002910533747379699	0.0030775558366918894	0.0032147095331628442	0.0	0.0	0.0	0.0	0.0052880865762674045	0.005708308568290368	0.005855464138822816	0.006089225175258111	0.00727842220489622	0.007461446758190025	0.00781662590080412	0.007917770844525813	0.009221832400590541	0.00943207939757074	0.009886244757473031	0.010153024301689633	0.010827636028238864	0.011129303360631438	0.011446863675858199	0.011939464894753617	0.019937890590561454	0.020422986608426997	0.020820875449671112	0.02141060520838384	0.0018223359301512295	0.001986925543789549	0.0021757297999537664	0.0023419574412537588
club-moss_0.002_8x_1	0.0026251049977808775	0.003061456053001162	0.003264197956468071	0.0033303491130737372	0.0	0.0	0.0	0.0	0.005427712443723456	0.005809516000284989	0.006033047082943275	0.006276940688937399	0.007550820944258849	0.0077015639636036914	0.007959951337800504	0.00826438966377837	0.009299058534712175	0.009591723584061174	0.009906020921432546	0.010486210026261732	0.0110811084205529	0.011239554271260756	0.01169488219772074	0.012469291926311481	0.020037289181655767	0.020576492376536314	0.021030428130204143	0.02200739137070267	0.0019557639804472474	0.0022244745276070624	0.0023223514735240714	0.002382309720711311
club-moss_0.004_1x_1	0.004684617282361959	0.005108942663211143	0.005460862890882768	0.005552341106900431	0.005602760530700782	0.00592161114908529	0.006357535683422125	0.0064844913728110375	0.0	0.0	0.0	0.0	0.009275384215464094	0.009657468844485068	0.009923489819274475	0.010103245018543879	0.010851983054106465	0.011190176936282928	0.011674536535881117	0.012000365422173892	0.012269873105165741	0.012843555428239619	0.013344442405082202	0.01372390687014924	0.02110461507427199	0.021774173637172524	0.022340138785283264	0.02274989474907702	0.0041138691758345405	0.004269112881019468	0.004711063900771169	0.004759419629000763
club-moss_0.004_2x_1	0.004470160250808715	0.004970776860107979	0.005294007742275846	0.00529906914088845	0.005248039580348666	0.00573839795532893	0.006131274337264549	0.0061887039169838155	0.0	0.0	0.0	0.0	0.008946408227394566	0.009309265799011066	0.009652082752333271	0.009897708445189057	0.010725555388645431	0.011116609325494183	0.011560455990101555	0.011982096361560434	0.012220816226365514	0.012690509601012794	0.013163164797630801	0.013520198955162271	0.021294346664365568	0.02162207236121712	0.022258121664806826	0.022590954739090365	0.0035551167793043677	0.00402079361965836	0.004416985954251657	0.004427779971927728
