sample	moss_0.001_1x_1	moss_0.001_2x_1	moss_0.001_4x_1	moss_0.001_8x_1	moss_0.002_1x_1	moss_0.002_2x_1	moss_0.002_4x_1	moss_0.002_8x_1	moss_0.004_1x_1	moss_0.004_2x_1	moss_0.004_4x_1	moss_0.004_8x_1	moss_0.006_1x_1	moss_0.006_2x_1	moss_0.006_4x_1	moss_0.006_8x_1	moss_0.008_1x_1	moss_0.008_2x_1	moss_0.008_4x_1	moss_0.008_8x_1	moss_0.01_1x_1	moss_0.01_2x_1	moss_0.01_4x_1	moss_0.01_8x_1	moss_0.02_1x_1	moss_0.02_2x_1	moss_0.02_4x_1	moss_0.02_8x_1	moss_0.0_1x_1	moss_0.0_2x_1	moss_0.0_4x_1	moss_0.0_8x_1
moss_0.001_1x_1	0.0	0.0	0.0	0.0	0.0034196713156536183	0.0035537211525151938	0.003229641778884759	0.0031280187431549505	0.005590478231483476	0.005598863742122274	0.005335472277053748	0.005178652373246005	0.007959919200550659	0.007788612341816606	0.007209451721244179	0.006903187263378135	0.009603798811693084	0.009451632431052027	0.009015248079738076	0.00886592852617356	0.012048558058786624	0.01158090922747709	0.011091160165988819	0.010736167396752828	0.02167859504317972	0.02068941033169828	0.02036642600464446	0.019851298820786387	0.0013908917356891216	0.0012509866650125658	0.0012994358874552179	0.0011759285503141748
moss_0.001_2x_1	0.0	0.0	0.0	0.0	0.0032329670745538434	0.0033861337808697377	0.002958110057702489	0.0028556695103572702	0.00531958418785348	0.005337091336263951	0.005187287502541512	0.00480709145027557	0.007374116258056421	0.007419275273764325	0.006938770158596068	0.006600037179198071	0.009800856137383927	0.00934291026808086	0.008968963149288913	0.008624180410733375	0.011944531111336823	0.011373491612523753	0.010685229523524478	0.01031152605468887	0.021600048355699956	0.02047462261732009	0.02008981122110956	0.019688461098575052	0.0011592057127509372	0.0010545539310363621	0.001050039457824536	0.001056412522627272
moss_0.001_4x_1	0.0	0.0	0.0	0.0	0.003246473050714956	0.0033640115812281638	0.0029258406551415537	0.002780727731477685	0.005358888301359598	0.005359292585251256	0.005133864832019052	0.004731296938581165	0.0073949417695704615	0.007404294925270592	0.006844197215481551	0.006426312851396578	0.009948308470290648	0.009415135297941885	0.008950630128313018	0.008467432019868118	0.011887319659863307	0.011215574188817927	0.010621911830577263	0.010057616545534229	0.021541077601630668	0.020439417588522888	0.020054527212267536	0.019328014917942775	0.0010264511719744439	0.0010328835412369973	0.0010827263263046096	0.0009152079680498414
moss_0.001_8x_1	0.0	0.0	0.0	0.0	0.003199053006304135	0.0032700085218973275	0.002796926807608505	0.0025988667354969546	0.005509060103598149	0.0052251696194644155	0.004842665803377688	0.004513355770753945	0.007380048818210653	0.0071927294055859755	0.006653280712083451	0.006110383627790044	0.009887069826440489	0.009151107860580673	0.008694932756694565	0.008154398487600316	0.011808473702728889	0.011003440537024267	0.010432950556502774	0.009790928394452215	0.021715420876630656	0.020478450040721873	0.019905073093344598	0.01942490658835662	0.001093720420242377	0.0009793296649344145	0.0008892110708444567	0.000871690781387586
moss_0.002_1x_1	0.003408404918925701	0.0034027375110390915	0.003419789771858624	0.0032204007536561267	0.0	0.0	0.0	0.0	0.006553443787878674	0.006602343677769359	0.006475028317047565	0.006144419446669475	0.008716329766212158	0.008841356758857118	0.008175076270542125	0.007786532416036516	0.011028884163652287	0.010700736475351294	0.010203660276072776	0.009900961862683329	0.013119093106186383	0.012570954723043315	0.012016023099064821	0.01168305526754832	0.02294394175363013	0.02176193069069743	0.021360765776905273	0.02097000975515456	0.0021524155639900725	0.0023992467398946146	0.0024118609690121184	0.0023384292918002384
moss_0.002_2x_1	0.0033466512677621657	0.0033671379537332223	0.003354608746040827	0.0031174048900272553	0.0	0.0	0.0	0.0	0.006516068531058203	0.006573285645274649	0.006312142452849476	0.005904859055086919	0.008623875793615433	0.00853368400561681	0.008037750991241198	0.007669743991216061	0.010887653842160947	0.010431329461677852	0.01012617521560565	0.009635706448480885	0.012739471595970704	0.012397311161682441	0.011862004544070838	0.011361176514904767	0.02232344510993042	0.021553039631028177	0.02087912820832746	0.020510950964133003	0.002199499274840964	0.002269639486869575	0.002304796722198524	0.0022191896130571553
moss_0.002_4x_1	0.0030396420051262796	0.0029341587792142804	0.0029098259551568477	0.0026618630543811467	0.0	0.0	0.0	0.0	0.006101236841701375	0.006070414427411352	0.00587102558057879	0.005573947851396366	0.008131719786463643	0.008158307811624244	0.007573617427353561	0.007201253777014738	0.010672400827123035	0.010133866677302922	0.00963985089400554	0.00925393930643801	0.012571788602815683	0.012006389562492269	0.01149449010747572	0.010835362878527743	0.0222450762519819	0.021201103389083795	0.02071952276780837	0.020072586514683074	0.0017897540608697738	0.001901012828837942	0.0019447841153144869	0.0017998000743958773
moss_0.002_8x_1	0.0030743739204670286	0.0029570294805107305	0.0028837730040370056	0.002580172823065136	0.0	0.0	0.0	0.0	0.006318927838405437	0.00608748100605556	0.005761851149047615	0.00540807753576399	0.00818994063560443	0.008034183717468	0.007520513200341853	0.006965704626501595	0.010687910644044432	0.010061442641737237	0.009611513099866721	0.009056615785863817	0.01251139096094477	0.011799509300670384	0.011232484413682003	0.010569062767931483	0.02246399659784031	0.021135755416597072	0.020635580311415134	0.019998754447838718	0.0020082708365379005	0.0019262806402733793	0.001959693445528438	0.0017450566658473061
moss_0.004_1x_1	0.005534364521903515	0.005560650651715523	0.00561239997296562	0.005525172099015185	0.006509043183081231	0.006848149090081956	0.0064254818798819445	0.006390106678997705	0.0	0.0	0.0	0.0	0.01065379804366104	0.01090492924128368	0.010338213571884781	0.009978100707716835	0.012725504332324028	0.012703329665869088	0.012363916100119226	0.011915424727979455	0.014510341116855785	0.014513024346566228	0.014077078936687549	0.013451226297023854	0.024376555670230223	0.023031872760760363	0.02301041616329288	0.02233375329233488	0.004300478264544672	0.00453730716721926	0.004593978421334794	0.004425333538763582
moss_0.004_2x_1	0.005232522881518132	0.005266122893867428	0.005307930118837201	0.00495519146045153	0.006191429141397443	0.0065223069870018234	0.00604655458009276	0.005822979860869226	0.0	0.0	0.0	0.0	0.0100884240713152	0.010387305896736846	0.00994154485523776	0.009494091056575471	0.012476792797562128	0.012220819561023865	0.011857081971838304	0.011354695844922475	0.014429534637295268	0.014090102324417595	0.013616300638352185	0.013120694824058024	0.023815623533644244	0.022766749612388414	0.02254205198103304	0.02197826840467044	0.004139968282344037	0.004379309194115811	0.004341156463010896	0.004044964630200643
moss_0.004_4x_1	0.004972420608928776	0.00509405610017565	0.005060213119243685	0.004575002269473479	0.006052415062738299	0.006230603644954832	0.005818056941381904	0.005488132940243743	0.0	0.0	0.0	0.0	0.010084209389536782	0.010168170326006665	0.009585938968599376	0.009108513700971387	0.012411329082419811	0.01210639833291507	0.01158330129595031	0.011078638537797893	0.014255875351867217	0.013794546903531019	0.013251294366581177	0.012486155213331159	0.02358071788414985	0.022527648005496687	0.022385570525348696	0.02158653056584808	0.003821130050738918	0.004061255130903012	0.0040350179132526585	0.003740694322847633
moss_0.004_8x_1	0.005015210367933624	0.00490337783116111	0.0048393224308146635	0.004428070068523729	0.0059639232981622044	0.006048979972580932	0.00572835982040906	0.0053441661250978306	0.0	0.0	0.0	0.0	0.009953313565417008	0.009944865602430207	0.009395928879737635	0.008796106626552686	0.012211489814183196	0.01178848719046353	0.011467302609500536	0.010783771204824452	0.014051701189150828	0.01364137553747493	0.013051604800917974	0.012248483988026946	0.02374020415274563	0.02250556693853166	0.022122344214100708	0.02148889609326886	0.0039924057663476425	0.003911077991305379	0.003843456750975336	0.0036886409552414814
moss_0.006_1x_1	0.007849463801166752	0.007677787175400169	0.007720449491224757	0.007387850186492482	0.008622979650964221	0.009026505456131364	0.008535493040593487	0.008264724331580327	0.01061067116292866	0.01063776989446712	0.010683174737024835	0.01018050221486637	0.0	0.0	0.0	0.0	0.014547795698706352	0.01472565777927219	0.014351769680267185	0.013770134917342443	0.016379873737105723	0.016244397532548246	0.01595276905590564	0.015331380756375692	0.025507564634628166	0.024574383794921464	0.024267698232138916	0.0238085794489986	0.006551943136111053	0.006907611066498746	0.006714928075112289	0.006476462049945558
moss_0.006_2x_1	0.0072339057947800964	0.007274721981357727	0.007293076666083961	0.006792806019890197	0.008239769039016517	0.008413618327741325	0.008080610324869592	0.007651255237542033	0.010234386455078145	0.010320669881886502	0.010168273534766044	0.00960526898959581	0.0	0.0	0.0	0.0	0.014270835301138679	0.014151473114653973	0.013733799955133191	0.01303538057063789	0.015908057012063142	0.015962530774463825	0.01525172034703422	0.014610062714013815	0.02495374742896069	0.024300703868609073	0.024096151140991572	0.02338684378885607	0.005980392100796644	0.006304768987743202	0.006288729126947345	0.0059263009979879195
moss_0.006_4x_1	0.006675676699073757	0.0067701164339196585	0.00670706696836644	0.006257377371268051	0.0075928675941317235	0.007882757549646072	0.007461328252099133	0.007129627040270738	0.009662773625505036	0.009820100632795899	0.009529244976460767	0.00902694832663407	0.0	0.0	0.0	0.0	0.014057587320541343	0.013570772439432811	0.013154074831160439	0.012580206004630489	0.015547273038741854	0.015299846465282964	0.014873549753954267	0.014065397837505442	0.025001178374801696	0.023944397331603078	0.023768447194316488	0.022916058197838495	0.0055307321239757975	0.005747259928602987	0.0057075515516889965	0.00542815888970612
