sample	rotifer_0.001_1x_1	rotifer_0.001_2x_1	rotifer_0.001_4x_1	rotifer_0.001_8x_1	rotifer_0.002_1x_1	rotifer_0.002_2x_1	rotifer_0.002_4x_1	rotifer_0.002_8x_1	rotifer_0.004_1x_1	rotifer_0.004_2x_1	rotifer_0.004_4x_1	rotifer_0.004_8x_1	rotifer_0.006_1x_1	rotifer_0.006_2x_1	rotifer_0.006_4x_1	rotifer_0.006_8x_1	rotifer_0.008_1x_1	rotifer_0.008_2x_1	rotifer_0.008_4x_1	rotifer_0.008_8x_1	rotifer_0.01_1x_1	rotifer_0.01_2x_1	rotifer_0.01_4x_1	rotifer_0.01_8x_1	rotifer_0.02_1x_1	rotifer_0.02_2x_1	rotifer_0.02_4x_1	rotifer_0.02_8x_1	rotifer_0.0_1x_1	rotifer_0.0_2x_1	rotifer_0.0_4x_1	rotifer_0.0_8x_1
rotifer_0.001_1x_1	0.0	0	0	0	0.002517545930398102	0.0026005422984456406	0.002542432338371925	0.003060981788661543	0.004278797529313705	0.0045977228972733375	0.004662063185258081	0.0050465383776989725	0.006269977935009607	0.0064638602966087255	0.006714186316402526	0.0068997681087512586	0.007971938713851157	0.008518543076958318	0.008613266176942913	0.009052784667845981	0.010108496165029068	0.010532649810437	0.010584828514924816	0.01093316347836304	0.019890326011628878	0.020418614461898965	0.020423253250060225	0.020885912251163208	0.000528527866035966	0.0005315033988076978	0.0006306528487778351	0.0010115382492902336
rotifer_0.001_2x_1	0	0.0	0	0	0.002643628837730394	0.002685889339452796	0.00262570079621538	0.002953696330087463	0.0042255099096097926	0.004668422642312597	0.004669341266697935	0.00489414253213416	0.006412940609731299	0.006549365354850845	0.006750581505372666	0.006811629117662865	0.008277550588359439	0.00840022950842334	0.008528264360163407	0.008821750162465669	0.010297514964203058	0.0104782821902617	0.010602299208016586	0.01081059859064848	0.020108868704868055	0.020503496994164205	0.020682243532982758	0.020908493828652785	0.0006205595087428462	0.0006639630370641747	0.000635894488806632	0.0009057604976383526
rotifer_0.001_4x_1	0	0	0.0	0	0.002781556034593957	0.0026448742921557633	0.0027722292662147874	0.002973805385448336	0.0045123043197287105	0.004747412866742073	0.004770949477298281	0.005016966827200653	0.0066603031148280145	0.006627617199065017	0.006928397665268871	0.006975502877516693	0.008370267858148872	0.008602450387424354	0.008679004522503697	0.008960661930562996	0.010362634912934432	0.010649660591205312	0.010751704602510959	0.010950736963276864	0.020280591207504917	0.020713192662240365	0.020929192617165637	0.021051897370698347	0.0007691770858642144	0.0007641835479492709	0.0007761348526232892	0.000969661752682982
rotifer_0.001_8x_1	0	0	0	0.0	0.0031578597208988812	0.0030188501380528088	0.0030000567584451687	0.003228691600600686	0.004824349012883866	0.0050233558290505576	0.005047331921898213	0.005230553355852985	0.007034416309304459	0.007011847161877305	0.007214893198060124	0.007225595186454048	0.008803680338154707	0.008939540775583232	0.009066546276104592	0.009278532650710436	0.010837181791850559	0.011022225061488977	0.011133264393490605	0.0112365159150285	0.020741275370244505	0.02118476069219377	0.021303986919334217	0.021451993909613387	0.0010732058440579006	0.0010333814514246198	0.0009958227689964572	0.0011921912873181784
rotifer_0.002_1x_1	0.002517545930398102	0.002643628837730394	0.002781556034593957	0.0031578597208988812	0.0	0	0	7.445702109754038e-05	0.005368656121100046	0.0057328764572673885	0.005735550179315485	0.006050623724246695	0.007235048718951864	0.007505520490683093	0.00780094879419635	0.007999968626175802	0.00908690127196643	0.009585191795733805	0.009752496002406352	0.01002504009933125	0.011183151276655035	0.011612437111798268	0.011651456060370435	0.011919243084759112	0.02087243153731555	0.0213474435439025	0.02166986307622265	0.021939419041619113	0.001519191215586524	0.0015567600156178862	0.0017010922460790612	0.0021132143080215826
rotifer_0.002_2x_1	0.0026005422984456406	0.002685889339452796	0.0026448742921557633	0.0030188501380528088	0	0.0	0	0	0.0054595373415139425	0.005575732305598824	0.005529684712802019	0.005856385781008666	0.0075621545279414	0.0074643252389557935	0.007743172140404542	0.007877287956686962	0.009239098415493974	0.009533845710565259	0.009699111574261732	0.009956336326248594	0.011167561813040683	0.011596223959600027	0.01155333957557747	0.01181740752748861	0.02120994818440891	0.021539261892056683	0.021632459058934517	0.02194610284781906	0.0016298292215912724	0.0016514009856390954	0.0016509204859848081	0.001951782664537105
rotifer_0.002_4x_1	0.002542432338371925	0.00262570079621538	0.0027722292662147874	0.0030000567584451687	0	0	0.0	0	0.005427813778290269	0.005699416494216347	0.005673790375459675	0.005929444207670054	0.007609285868148352	0.007565417623330517	0.007837791782196124	0.007888383273026989	0.009205898697530746	0.009493158417973158	0.009641746771652526	0.009891011809194827	0.011392969902890293	0.01163639890601742	0.011687387582711484	0.011914501793724552	0.0212729659337898	0.021522535265976694	0.021773721773265642	0.02188880269104776	0.0017353469137710853	0.0016463798118649953	0.0017359671744517913	0.0019437933430549448
rotifer_0.002_8x_1	0.003060981788661543	0.002953696330087463	0.002973805385448336	0.003228691600600686	7.445702109754038e-05	0	0	0.0	0.005803071836064322	0.005985177700779221	0.005985169135859891	0.006198870757827546	0.00802009683143945	0.007941460880237727	0.008151033439495081	0.008186351313024698	0.009687399523964135	0.009851605187876977	0.009994469259151817	0.010211640107646303	0.011842549577141703	0.012014908704238048	0.012078318014277167	0.012215241836839752	0.021720175757385718	0.022019095292981516	0.02216417070654353	0.02235290297488346	0.0020683001447204807	0.0019795174509674718	0.0019400387638984773	0.0021820896520361455
rotifer_0.004_1x_1	0.004278797529313705	0.0042255099096097926	0.0045123043197287105	0.004824349012883866	0.005368656121100046	0.0054595373415139425	0.005427813778290269	0.005803071836064322	0.0	0	0	0	0.009068318256412522	0.009215561679457251	0.009578793221067361	0.009713067907586304	0.010771445585187833	0.011286773874590983	0.011414493850196439	0.011769720832039865	0.012921350267402265	0.013307341918524784	0.013461267180815195	0.01372728141614532	0.022591885533460032	0.02303731069113224	0.02317871402238203	0.023451683939770485	0.003216227481117384	0.003360959190252699	0.0034241303559034986	0.0037992757867517657
rotifer_0.004_2x_1	0.0045977228972733375	0.004668422642312597	0.004747412866742073	0.0050233558290505576	0.0057328764572673885	0.005575732305598824	0.005699416494216347	0.005985177700779221	0	0.0	0	0	0.009408380933390692	0.0094953968085143	0.00981320086864157	0.009856997954829638	0.01118086055539047	0.011573405586505547	0.011580015343412908	0.011956025528607972	0.013106725316952117	0.013663164306383924	0.013590363194936339	0.013909176994542749	0.022782832434943612	0.023358005823739703	0.02334588541216076	0.02372652929568997	0.00365640359039332	0.0037257828626824363	0.003698660527219011	0.003961454187101143
