sample	moss_0.05_1x_1	moss_0.05_2x_1	moss_0.05_4x_1	moss_0.05_8x_1	moss_0.0_1x_1	moss_0.0_2x_1	moss_0.0_4x_1	moss_0.0_8x_1	moss_0.15_1x_1	moss_0.15_2x_1	moss_0.15_4x_1	moss_0.15_8x_1	moss_0.1_1x_1	moss_0.1_2x_1	moss_0.1_4x_1	moss_0.1_8x_1	moss_0.2_1x_1	moss_0.2_2x_1	moss_0.2_4x_1	moss_0.2_8x_1
moss_0.05_1x_1	0.0	0	0	0	0.04091623473751438	0.04147215384634517	0.04091171488297152	0.044538038763229704	0.1402694214372492	0.1441878885093908	0.14325362219066218	0.14495930424555215	0.10188797249682602	0.10483125793365655	0.10567357879012429	0.10722276640579065	0.18018522105305435	0.18208564397108418	0.18560996681354192	0.18646184515292308
moss_0.05_2x_1	0	0.0	0	1.7826980509560997e-06	0.04390365778832428	0.04446329938019444	0.043679205501221174	0.0471735666928107	0.14487645355527778	0.14830114551832962	0.14844488820919488	0.14945531607394258	0.10580377015058007	0.10918916704029447	0.1102188148131843	0.11127139700063127	0.182873900707183	0.1866061900767365	0.1892900210093924	0.19070086163782196
moss_0.05_4x_1	0	0	0.0	0	0.045186548141183946	0.04579391456588411	0.04512820701854414	0.04837430516083585	0.14766371197696482	0.15126720707196284	0.15125969780696435	0.15259142238644274	0.10781901985350983	0.10962072596811312	0.11109252954448734	0.11218946006962094	0.18461184405776987	0.19074484232363398	0.1919950965137326	0.19376470413191704
moss_0.05_8x_1	0	1.7826980509560997e-06	0	0.0	0.04559561087942898	0.04597416535175913	0.04505892912349241	0.048460885242961216	0.14850892934194493	0.15225560937290672	0.15350856482383002	0.15392135625687509	0.10896716254350347	0.11172570697435258	0.11300577780908627	0.11401476375997555	0.18779374855926956	0.19320292613307521	0.19448314438808523	0.19629744195624166
moss_0.0_1x_1	0.04091623473751438	0.04390365778832428	0.045186548141183946	0.04559561087942898	0.0	0	0	0.00017945642574024312	0.12841963092969322	0.13088225332615222	0.13179488509281845	0.1314651568942976	0.08335860250565186	0.08504985178943769	0.0862704046978886	0.08644948474362113	0.1713857471715433	0.17139021342404104	0.17128060595694572	0.17367110133249497
moss_0.0_2x_1	0.04147215384634517	0.04446329938019444	0.04579391456588411	0.04597416535175913	0	0.0	0	0	0.12963079328182936	0.13081113844249403	0.131814713844423	0.13187269706572147	0.08391447661899665	0.08579674130922477	0.08758623155239309	0.08761968646015228	0.16988266456593493	0.1732982985455067	0.17237893473155907	0.1740802695352699
moss_0.0_4x_1	0.04091171488297152	0.043679205501221174	0.04512820701854414	0.04505892912349241	0	0	0.0	0	0.12806970069969115	0.1311626022004969	0.1322039176377977	0.13156793852807724	0.08283352759381757	0.08500637335750605	0.08668148293210609	0.086684121802588	0.1672291048328729	0.1747133454184745	0.17243704482270128	0.1745920029948752
moss_0.0_8x_1	0.044538038763229704	0.0471735666928107	0.04837430516083585	0.048460885242961216	0.00017945642574024312	0	0	0.0	0.13399172045091046	0.13526411591752507	0.1363990409628415	0.13621719166765123	0.08761084533587682	0.08929438121879296	0.09110977475641135	0.09091407642973182	0.17452975571346985	0.1777539247929355	0.1786425111803096	0.17935934473501003
moss_0.15_1x_1	0.1402694214372492	0.14487645355527778	0.14766371197696482	0.14850892934194493	0.12841963092969322	0.12963079328182936	0.12806970069969115	0.13399172045091046	0.0	0	0	2.2561566158652013e-05	0.1667241395107364	0.16819335409057967	0.17041481962316274	0.17217129873957193	0.22599149702498644	0.23311935994386346	0.23342465425084014	0.23486914163808215
moss_0.15_2x_1	0.1441878885093908	0.14830114551832962	0.15126720707196284	0.15225560937290672	0.13088225332615222	0.13081113844249403	0.1311626022004969	0.13526411591752507	0	0.0	3.813792847906505e-05	8.336306186185194e-05	0.16643840984550418	0.1682686129039962	0.16995933814930797	0.1722278883629239	0.22686370767774544	0.23185546582524663	0.22798186459515923	0.22996895938791795
moss_0.15_4x_1	0.14325362219066218	0.14844488820919488	0.15125969780696435	0.15350856482383002	0.13179488509281845	0.131814713844423	0.1322039176377977	0.1363990409628415	0	3.813792847906505e-05	0.0	1.462180891587117e-05	0.1642990149357496	0.1694887523532317	0.17080770658507727	0.17288510431995674	0.22718777445064742	0.23589228477720237	0.2297067615100965	0.23338443013585508
moss_0.15_8x_1	0.14495930424555215	0.14945531607394258	0.15259142238644274	0.15392135625687509	0.1314651568942976	0.13187269706572147	0.13156793852807724	0.13621719166765123	2.2561566158652013e-05	8.336306186185194e-05	1.462180891587117e-05	0.0	0.16791875326323646	0.17084969687707996	0.17308036974041774	0.17459021472109992	0.22933305618133548	0.2344915560299634	0.23572522305276955	0.23524390969429365
moss_0.1_1x_1	0.10188797249682602	0.10580377015058007	0.10781901985350983	0.10896716254350347	0.08335860250565186	0.08391447661899665	0.08283352759381757	0.08761084533587682	0.1667241395107364	0.16643840984550418	0.1642990149357496	0.16791875326323646	0.0	0	0	0	0.20413693124904497	0.20430129968667032	0.20836382370540651	0.20952698963385907
moss_0.1_2x_1	0.10483125793365655	0.10918916704029447	0.10962072596811312	0.11172570697435258	0.08504985178943769	0.08579674130922477	0.08500637335750605	0.08929438121879296	0.16819335409057967	0.1682686129039962	0.1694887523532317	0.17084969687707996	0	0.0	0	3.737472022646848e-05	0.21238404980779446	0.21593769340735114	0.21706787834354424	0.22127163361056812
moss_0.1_4x_1	0.10567357879012429	0.1102188148131843	0.11109252954448734	0.11300577780908627	0.0862704046978886	0.08758623155239309	0.08668148293210609	0.09110977475641135	0.17041481962316274	0.16995933814930797	0.17080770658507727	0.17308036974041774	0	0	0.0	4.54323051864991e-05	0.2160591646230161	0.21051498448128347	0.2090040260552628	0.21489366865489024
moss_0.1_8x_1	0.10722276640579065	0.11127139700063127	0.11218946006962094	0.11401476375997555	0.08644948474362113	0.08761968646015228	0.086684121802588	0.09091407642973182	0.17217129873957193	0.1722278883629239	0.17288510431995674	0.17459021472109992	0	3.737472022646848e-05	4.54323051864991e-05	0.0	0.21458300137779318	0.21847816945879317	0.2184454616958883	0.22253899880444805
moss_0.2_1x_1	0.18018522105305435	0.182873900707183	0.18461184405776987	0.18779374855926956	0.1713857471715433	0.16988266456593493	0.1672291048328729	0.17452975571346985	0.22599149702498644	0.22686370767774544	0.22718777445064742	0.22933305618133548	0.20413693124904497	0.21238404980779446	0.2160591646230161	0.21458300137779318	0.0	0	0	0
moss_0.2_2x_1	0.18208564397108418	0.1866061900767365	0.19074484232363398	0.19320292613307521	0.17139021342404104	0.1732982985455067	0.1747133454184745	0.1777539247929355	0.23311935994386346	0.23185546582524663	0.23589228477720237	0.2344915560299634	0.20430129968667032	0.21593769340735114	0.21051498448128347	0.21847816945879317	0	0.0	4.7771989225231515e-05	0.00014272543185922526
moss_0.2_4x_1	0.18560996681354192	0.1892900210093924	0.1919950965137326	0.19448314438808523	0.17128060595694572	0.17237893473155907	0.17243704482270128	0.1786425111803096	0.23342465425084014	0.22798186459515923	0.2297067615100965	0.23572522305276955	0.20836382370540651	0.21706787834354424	0.2090040260552628	0.2184454616958883	0	4.7771989225231515e-05	0.0	2.9968437432525974e-05
moss_0.2_8x_1	0.18646184515292308	0.19070086163782196	0.19376470413191704	0.19629744195624166	0.17367110133249497	0.1740802695352699	0.1745920029948752	0.17935934473501003	0.23486914163808215	0.22996895938791795	0.23338443013585508	0.23524390969429365	0.20952698963385907	0.22127163361056812	0.21489366865489024	0.22253899880444805	0	0.00014272543185922526	2.9968437432525974e-05	0.0
