sample	rotifer_0.001_1x_1	rotifer_0.001_2x_1	rotifer_0.001_4x_1	rotifer_0.001_8x_1	rotifer_0.002_1x_1	rotifer_0.002_2x_1	rotifer_0.002_4x_1	rotifer_0.002_8x_1	rotifer_0.004_1x_1	rotifer_0.004_2x_1	rotifer_0.004_4x_1	rotifer_0.004_8x_1	rotifer_0.006_1x_1	rotifer_0.006_2x_1	rotifer_0.006_4x_1	rotifer_0.006_8x_1	rotifer_0.008_1x_1	rotifer_0.008_2x_1	rotifer_0.008_4x_1	rotifer_0.008_8x_1	rotifer_0.01_1x_1	rotifer_0.01_2x_1	rotifer_0.01_4x_1	rotifer_0.01_8x_1	rotifer_0.02_1x_1	rotifer_0.02_2x_1	rotifer_0.02_4x_1	rotifer_0.02_8x_1	rotifer_0.0_1x_1	rotifer_0.0_2x_1	rotifer_0.0_4x_1	rotifer_0.0_8x_1
rotifer_0.001_1x_1	0.0	0.0	0.0	0.0	0.0028462138197224616	0.003169264434348054	0.003125939023017547	0.003243030186611336	0.005152092563092557	0.0051221725116936045	0.0051587115376893105	0.005125876480382217	0.007050289772404782	0.006836661642974288	0.007102512030729792	0.007156577238511389	0.009243870551741536	0.009214161312861338	0.009253573485065081	0.009319945568406113	0.011036039066571217	0.011137878539501942	0.011062042284170548	0.010951321520225479	0.02066039454118134	0.020189882997551294	0.02059216211689737	0.02056267210679982	0.0009111540283387257	0.0010378737072440454	0.0010522420119768352	0.0010982433233620366
rotifer_0.001_2x_1	0.0	0.0	0.0	0.0	0.00297326040031052	0.0031250591714309084	0.003202318466601572	0.0032621293711942753	0.005155069310807847	0.005054537637264992	0.0050913546590506545	0.005086480070229701	0.007120146487488213	0.007064287080298109	0.007132067605387793	0.007172789563602128	0.009134297095532162	0.009232592392987135	0.009158782505472085	0.009247129548051073	0.010932229849462592	0.010852303912454824	0.010957617088366237	0.0109461506498654	0.020968942306848964	0.020460487346276385	0.020773941334181194	0.020813790344534438	0.001106180661994752	0.001075746859537552	0.0011340278120555252	0.0011925050205131697
rotifer_0.001_4x_1	0.0	0.0	0.0	0.0	0.003079636929863637	0.003130910247943539	0.003196935361223638	0.003260744453022093	0.005264885477845553	0.005127132645252234	0.005128059482341851	0.005123847151660261	0.0072494754096473265	0.007137689877943372	0.007136327591686503	0.007193803933047834	0.0092336673161315	0.009273755738981832	0.009154551844724159	0.009276292964642172	0.010896810287532742	0.010918404111721415	0.010892033571177647	0.010939519650394358	0.02078783887428648	0.020522009070974942	0.020820433483371682	0.020873834021623402	0.0011453074260863439	0.0012086742856384015	0.0011809505657546493	0.0011795785666368246
rotifer_0.001_8x_1	0.0	0.0	0.0	0.0	0.003104546201809439	0.003188377992643847	0.00329754898523903	0.00332545483391142	0.005331534813688769	0.005164330867758114	0.005208644108615353	0.005204613370618516	0.007254294719341975	0.007119258869805756	0.0071770073108580095	0.007233164096584239	0.009233271080627242	0.009305093266067523	0.009236062243745504	0.009281760329792797	0.010893856057135764	0.01094722357373567	0.011018989928185874	0.011026311136212368	0.020990586303470886	0.02060772891360263	0.02094500068828499	0.020986084829891137	0.001202595636461823	0.0012291209573588834	0.0012193635672525303	0.0012397103756970284
rotifer_0.002_1x_1	0.0028463297291624868	0.003039609296752625	0.0031792365080097838	0.0031935148308550316	0.0	0.0	0.0	0.0	0.005972174089348382	0.005907502331959031	0.005981198229127172	0.00598910007261951	0.0077812588322704376	0.008101406297665191	0.007999231850363052	0.008073998627070906	0.009959233293930184	0.01024833194496762	0.010244587853481694	0.010318432812990204	0.011844372562293926	0.011890907711127517	0.011834516023410414	0.011788900570726638	0.02169524117789743	0.021264462871290822	0.021497426652297306	0.021618932168765224	0.0018280493986991067	0.0020103689267081774	0.0020187082205510676	0.002051712746530321
rotifer_0.002_2x_1	0.0031005154261140293	0.003125331543603566	0.0031639267147326113	0.0032111542456853574	0.0	0.0	0.0	0.0	0.0061075281369156855	0.0060559370766249485	0.006008718472699675	0.005956894782883597	0.007932293440845799	0.008027392049529689	0.007984565995905904	0.008031359783777068	0.010004401238241834	0.01015310881157887	0.010094492887501314	0.010220878179163697	0.011852574481442906	0.01180325818655756	0.011828327528662832	0.01185006293833408	0.02157523862852622	0.021411442104822168	0.0216933977218564	0.021750277452915485	0.0019427564734464074	0.002072800586726102	0.00201317873992117	0.002088174374883802
rotifer_0.002_4x_1	0.0030293135026648148	0.003170464942307865	0.003198224632604618	0.0032880222386200042	0.0	0.0	0.0	0.0	0.006141626099401486	0.00603882430782782	0.006080990907842456	0.006131343756917799	0.007963163368986021	0.007963078311936413	0.008050496421432785	0.008053458351276287	0.010151060016712753	0.010254411163570778	0.010171782274246784	0.010227146099114978	0.01194396897383264	0.011823795623259843	0.011835811047559782	0.011882101184132072	0.021649527806576634	0.02149747624215775	0.021821716206114273	0.02186368933821827	0.001959963782079508	0.002166468444898749	0.0021054097501925486	0.0022028946187103654
rotifer_0.002_8x_1	0.0031546029834520596	0.0032411137182260827	0.003273352971739895	0.003327306153261896	0.0	0.0	0.0	0.0	0.006311913818707672	0.006141371278329817	0.006183830505716031	0.006188034947252042	0.008132538593348705	0.008076039774574505	0.00815396617036872	0.008192667296886632	0.010163986259210245	0.010319275028877006	0.010222124994381349	0.010259039085688157	0.011888057470563053	0.011903902734423932	0.011974784786692477	0.011878483341908995	0.02177921865679192	0.021524716483225896	0.02187537073250102	0.021929338379715106	0.00220705841114162	0.0022146372433503305	0.0021799552344168188	0.002200229771603192
rotifer_0.004_1x_1	0.00515136812821602	0.0052680659965114165	0.005432297364437992	0.005481519780214062	0.005971097949915044	0.006240315468070102	0.0063335420179589375	0.006484907198425323	0.0	0.0	0.0	0.0	0.00996924465134233	0.010066742727753479	0.010237223525337655	0.010307267034730741	0.012029755991347557	0.012139564108659004	0.01236440945248678	0.012507592892694866	0.013861426232477103	0.014103864532143445	0.01413354926455426	0.014183706429918615	0.023475938470650486	0.023300660413797844	0.023600040613656954	0.02360539750003851	0.003919263172719779	0.004246229228521783	0.004305021123555841	0.004342682452620281
rotifer_0.004_2x_1	0.005011883266426795	0.0050548837798404635	0.00518037182218621	0.005200508813477082	0.0057804931359472485	0.006055831150016466	0.006098713709248241	0.006180568526193248	0.0	0.0	0.0	0.0	0.00999588873229174	0.00999050189399766	0.010053766354253018	0.010080792673076825	0.012027920586515294	0.012119607194824432	0.012056820930192148	0.012219856356480048	0.014074323053806322	0.013899785527228923	0.013943688327787963	0.013932915837135405	0.023208227945439457	0.023089241387866208	0.023494613838760996	0.023423443512553713	0.0038404959288844227	0.004233574462467174	0.004138289508721061	0.004119794000242556
