sample	rotifer_0.05_1x_1	rotifer_0.05_2x_1	rotifer_0.05_4x_1	rotifer_0.05_8x_1	rotifer_0.0_1x_1	rotifer_0.0_2x_1	rotifer_0.0_4x_1	rotifer_0.0_8x_1	rotifer_0.15_1x_1	rotifer_0.15_2x_1	rotifer_0.15_4x_1	rotifer_0.15_8x_1	rotifer_0.1_1x_1	rotifer_0.1_2x_1	rotifer_0.1_4x_1	rotifer_0.1_8x_1	rotifer_0.2_1x_1	rotifer_0.2_2x_1	rotifer_0.2_4x_1	rotifer_0.2_8x_1
rotifer_0.05_1x_1	0.0	0.0	0.0	0.0	0.04978250180521217	0.051046858845029346	0.0514752548691095	0.05134447163085129	0.18182124523382742	0.17962395317535887	0.18033490599771526	0.17827581436604975	0.13454027773632818	0.1369338298097684	0.13525418999044309	0.13417832516159697	0.21537628730676964	0.2134499377714467	0.21637278164627793	0.21319290893096313
rotifer_0.05_2x_1	0.0	0.0	0.0	0.0	0.0497637273552252	0.05053583838658071	0.051216631396433884	0.051162654819506	0.1753749787619004	0.1778521485182018	0.17926339489197868	0.1775910403718747	0.13581454259351788	0.13533222295209238	0.13643434065604598	0.135468080122705	0.21981246648819586	0.21455524884904137	0.21941785424691201	0.21404287993995544
rotifer_0.05_4x_1	0.0	0.0	0.0	0.0	0.049002784167382546	0.04977567653606938	0.05019530290515321	0.04992378127641946	0.17588299968431967	0.17880632717351277	0.1795518307632332	0.1773637485981961	0.13523908777017551	0.13514091119507873	0.1357293617424133	0.1348104038678013	0.2178590481022063	0.21404086573482797	0.21664065349060044	0.21586824328062093
rotifer_0.05_8x_1	0.0	0.0	0.0	0.0	0.048787804835026136	0.049600577192865015	0.05006243053471307	0.049576040338155485	0.17808773910177167	0.17630050577268294	0.1792261096491557	0.17814883638227322	0.1352501864282321	0.13595286968831197	0.13637079571245933	0.13526041703441818	0.2192814113146922	0.21469442234281738	0.22093424924351057	0.2192643671809385
rotifer_0.0_1x_1	0.04979239333138661	0.0508248526984591	0.050346009737453096	0.050028033694891796	0.0	0.0	0.0	0.0	0.14895598923657466	0.1511781635819295	0.15179195590400604	0.1507004138593627	0.0997256910001198	0.09984333914085894	0.0990974011736994	0.09804666145838702	0.1940693744733198	0.19410540538094836	0.1982628112816033	0.20319434353187277
rotifer_0.0_2x_1	0.05015346441803122	0.0506991595918937	0.05024596893305848	0.04997684247968822	0.0	0.0	0.0	0.0	0.14873673825239356	0.1498444090771687	0.15011517167192956	0.14947035123730432	0.09920500258065953	0.09925751544515023	0.09921996307439286	0.09826982284676122	0.19340532939433963	0.19237574195310544	0.19829837786568835	0.19690350726243472
rotifer_0.0_4x_1	0.05023100121216988	0.05101642305399205	0.05030633848794313	0.050081502133587696	0.0	0.0	0.0	0.0	0.14898140728448703	0.14983939058316714	0.14949167483002015	0.14806055950798183	0.09920816149550263	0.09963835993596391	0.09852142114399365	0.09819562182466207	0.19896958212840657	0.2008161963333575	0.20349841185598888	0.20705074709365584
rotifer_0.0_8x_1	0.0502975693636948	0.05115457474550893	0.050219500097582005	0.04977768039266369	0.0	0.0	0.0	0.0	0.14792463128120648	0.14928581584365297	0.14831845781708847	0.148157975969493	0.09988382245229711	0.09934679141844388	0.09948450217368648	0.09899771829264092	0.19841980039633494	0.1978261641932559	0.2039857162746211	0.20139851689414912
rotifer_0.15_1x_1	0.18186614883177746	0.17727858144541142	0.17801658862424613	0.1796975032314086	0.14897350326498116	0.1502131290153913	0.1508725076530628	0.14915339539889622	0.0	0.0	0.0	0.0	0.21032574715290317	0.21797082097908688	0.21475163166349148	0.21311373086621413	0.2795806316971141	0.2836951103218159	0.2836428112069202	0.28074710269974007
rotifer_0.15_2x_1	0.17772396449514585	0.17781121017040444	0.17898709625961867	0.1759813735653719	0.14927671843075763	0.14940109042617566	0.14981168024577743	0.14859032836420938	0.0	0.0	0.0	0.0	0.21289960938240574	0.21855311405926772	0.2208621308332473	0.21832288272580802	0.26553841365179737	0.2708549530279586	0.27156300009019074	0.26919777304127607
rotifer_0.15_4x_1	0.17823626365469117	0.17902451910638156	0.17953404740662096	0.17868802636138398	0.1496016545306013	0.14937954181862978	0.1491735974458093	0.14733921225474328	0.0	0.0	0.0	0.0	0.21770026332318776	0.22241601692245364	0.22379924312035304	0.21712165519079174	0.26560519135723404	0.271709712965256	0.27298699603990695	0.27107139334773434
rotifer_0.15_8x_1	0.17665609083871964	0.17783629839969212	0.1778344835436544	0.17810439713543355	0.14889466534210355	0.1491188632138483	0.14812522858368965	0.1475598361168701	0.0	0.0	0.0	0.0	0.22130776901398483	0.22052419811705212	0.22076219064596703	0.2243763717388022	0.26343053900109187	0.27016171324662974	0.27190240673184624	0.2703545214810587
rotifer_0.1_1x_1	0.13457268537224054	0.13766247944160395	0.13742745333114473	0.13707942251475475	0.09973487089182673	0.10057090233148676	0.10103884068801607	0.10129494399546181	0.2103197483989937	0.21482434322231206	0.21967256598915305	0.2226141270962863	0.0	0.0	0.0	0.0	0.2464783152854059	0.25078035625400713	0.25072505539698814	0.24769624767501766
rotifer_0.1_2x_1	0.1351067650311503	0.13531830051410235	0.1354733497612036	0.13592474481921404	0.09818984843138567	0.09895490361193696	0.0998066905275827	0.0991017647869204	0.21606967970437993	0.21858055382904704	0.22247769955132904	0.21994682376887403	0.0	0.0	0.0	0.0	0.23895921132914516	0.24446692536836095	0.24142371662502418	0.23895996523382185
rotifer_0.1_4x_1	0.13309311674932003	0.13608234449132856	0.1357217600729595	0.13600359076847557	0.09707595602291667	0.0985337007998163	0.09830831082723675	0.09885803677877454	0.2127595666006261	0.22083174953359963	0.22380907205714012	0.2201237200522353	0.0	0.0	0.0	0.0	0.23178858343766442	0.24525940722534545	0.23396721383922026	0.23457289247973492
rotifer_0.1_8x_1	0.13233741859723983	0.13544149408881975	0.13512783740515147	0.13522266205463337	0.09623982253349599	0.09779219634099949	0.09818932043985315	0.09858354214987074	0.21171602292804423	0.21891046775912784	0.21775351959091627	0.22437109268869282	0.0	0.0	0.0	0.0	0.24106742518767138	0.24350914285417466	0.23525404889850596	0.2336277239846853
rotifer_0.2_1x_1	0.21543732991913522	0.2217006530664722	0.2198270836201451	0.2205690254074133	0.19410056444583812	0.19481567617150025	0.20063357921032537	0.19915341097391187	0.27959416178921415	0.2674316503448098	0.2673611822890372	0.2643955421064602	0.24649711981843708	0.24084971641864178	0.23370128948059285	0.24222943058805105	0.0	0.0	0.0	0.0
rotifer_0.2_2x_1	0.2115787588961995	0.21451884132743115	0.21409793642572486	0.214092538593473	0.19219368139523665	0.19184602189441938	0.2005311714972272	0.19662662037332143	0.2818469356583868	0.2708685810020744	0.2715625508457278	0.26919396935022877	0.24890180712234491	0.24444948356226723	0.2452050774370302	0.2427473183471021	0.0	0.0	0.0	0.0
rotifer_0.2_4x_1	0.21444578536549722	0.219340553898182	0.21663663841536254	0.2202488455229464	0.1962246309411519	0.1976315397151037	0.2030954327303696	0.2026179499621911	0.2820039198383212	0.271744805627564	0.2730079924978952	0.2710887847850021	0.24892439514028544	0.24145397356422657	0.23397525563839994	0.2345761664509666	0.0	0.0	0.0	0.0
rotifer_0.2_8x_1	0.2118396115540213	0.21454360133572828	0.21646824138472465	0.21919931657837557	0.20173066267943468	0.19676795374789902	0.20721204592137776	0.20059795489531618	0.27992242159589503	0.2701655129294598	0.27189214343317203	0.2703408381030606	0.2465933868867385	0.23966897728178735	0.23525225032264777	0.23362116306801137	0.0	0.0	0.0	0.0
