sample	rotifer_0.05_1x_1	rotifer_0.05_2x_1	rotifer_0.05_4x_1	rotifer_0.05_8x_1	rotifer_0.0_1x_1	rotifer_0.0_2x_1	rotifer_0.0_4x_1	rotifer_0.0_8x_1	rotifer_0.15_1x_1	rotifer_0.15_2x_1	rotifer_0.15_4x_1	rotifer_0.15_8x_1	rotifer_0.1_1x_1	rotifer_0.1_2x_1	rotifer_0.1_4x_1	rotifer_0.1_8x_1	rotifer_0.2_1x_1	rotifer_0.2_2x_1	rotifer_0.2_4x_1	rotifer_0.2_8x_1
rotifer_0.05_8x_1	0.0	0.0	0.0	0.0	0.04934539259495154	0.05041035354462566	0.05107448535281464	0.050672951383304736	0.1774401126854269	0.1749850795899337	0.17832119126277227	0.17734336015560642	0.1347536530753679	0.13487773143015183	0.13576088936637368	0.1347579547556039	0.21843756722012775	0.21326347835283424	0.21988472665035827	0.2182912398391706
rotifer_0.0_1x_1	0.049701097177511214	0.05006305153537868	0.04997248860882222	0.049726873151510746	0.0	0.0	0.0	0.0	0.14856725207508395	0.15001647873337684	0.15099585741832464	0.14996365816665813	0.0994204938216125	0.09885036935233049	0.09850885391296835	0.09751598521328422	0.1935754966578329	0.19291922837934622	0.19741760442466563	0.20237699850455426
rotifer_0.0_2x_1	0.05012909446252647	0.050008359605757155	0.04995689013729754	0.04977401397753616	0.0	0.0	0.0	0.0	0.14849388713896491	0.14884790969010048	0.1495064399396144	0.1489341509331303	0.09902587655850857	0.09840159057634863	0.09878411885145054	0.09790526038352672	0.19305193797250536	0.19135043988631031	0.19763348829561256	0.19628561578870993
rotifer_0.0_4x_1	0.05019878017852871	0.05030659511641778	0.04998318856540887	0.049843847649464104	0.0	0.0	0.0	0.0	0.1487223931050661	0.14881812952579343	0.1488443716030059	0.14748571687592216	0.09901870433426214	0.09876027588499918	0.09805043356137896	0.09779209649061474	0.19858061129438065	0.19975006769923953	0.20277642639230187	0.20636932437782285
rotifer_0.0_8x_1	0.050204422243255026	0.05037782376065765	0.0498094536013804	0.04946168704501526	0.0	0.0	0.0	0.0	0.1476578101686943	0.14823979622732483	0.14762047835395292	0.14753004948737988	0.09965581772235198	0.09841272207257325	0.09892250845629834	0.09850618510661664	0.19803449861363995	0.19675037275348561	0.20322680879480265	0.20069071526135582
rotifer_0.15_1x_1	0.17871394702723886	0.17364224894779054	0.17483926910641934	0.17664066788471805	0.14569328596964762	0.14704627863914613	0.14785498111087497	0.14621747894965575	0.0	0.0	0.0	0.0	0.2071972097333942	0.21432477201152397	0.2115671627353889	0.21003484776541803	0.2765660230663263	0.2801682734460687	0.28053978344289926	0.27772570875912983
rotifer_0.15_2x_1	0.17601481645418993	0.17556172919808755	0.17714172532010408	0.174239153793304	0.14740653644531534	0.14758619135610385	0.14808607881460037	0.14691681329155054	0.0	0.0	0.0	0.0	0.21123192588530132	0.21632241355191154	0.21904701185557685	0.2165886324969662	0.2639793277911941	0.2687347043320457	0.2698297407717545	0.2675278028218277
rotifer_0.15_4x_1	0.1774023775302846	0.17767941561217632	0.17861773831885983	0.17788847598925348	0.14869774438735966	0.14855453809573976	0.14846715699089078	0.14669919221557848	0.0	0.0	0.0	0.0	0.21677864727772964	0.2209487803032915	0.22276602882933327	0.21620105464193645	0.2646232974284297	0.270178082201182	0.27186331750184906	0.27003107616019134
rotifer_0.15_8x_1	0.17587755112971734	0.1765354800244172	0.17694759681027322	0.17732320667715412	0.14808619831085507	0.14837241974239815	0.14748614660509637	0.14696471334879152	0.0	0.0	0.0	0.0	0.2203626166703263	0.21903903442621456	0.21969731974335255	0.22338808498113544	0.2623793443187133	0.26854257225052713	0.27067271416389516	0.2692053895843103
rotifer_0.1_1x_1	0.1315790042183209	0.1341311130491549	0.1343321680775315	0.13408169261226516	0.09690758305830022	0.09792615158142196	0.09854753494608959	0.09884779556173656	0.2073139305559188	0.21114131621978763	0.21637867459450566	0.21939434027063634	0.0	0.0	0.0	0.0	0.24346740820355645	0.2471712210553595	0.24748565599700165	0.24450239467965593
rotifer_0.1_2x_1	0.13344747817576863	0.133142614260707	0.13375458825790784	0.1343187076600203	0.09659675045640896	0.09752473289470973	0.09853014376718758	0.0979064758492886	0.21447118882948338	0.21632946806999784	0.22064472700790436	0.21820485520475932	0.0	0.0	0.0	0.0	0.23734700075155413	0.2422764496120556	0.23963289907406407	0.2372376038767774
rotifer_0.1_4x_1	0.1324735284710606	0.1349558584431526	0.13508320479767438	0.13549276053295853	0.09660612872357514	0.09822768053885642	0.09819516773049311	0.09881257941662745	0.21193189730756778	0.2193657687698461	0.22277856995183182	0.21921052186130413	0.0	0.0	0.0	0.0	0.23087644044960678	0.24376676206585737	0.2329320640259921	0.23362368031524403
rotifer_0.1_8x_1	0.1318206200045814	0.13438694605533194	0.13452283698493017	0.13472955990890087	0.09592601044555493	0.09760596609278693	0.09814569890620768	0.09858358434408389	0.2108804475886707	0.21740545684752038	0.2166616313058814	0.2233466875299977	0.0	0.0	0.0	0.0	0.24008527790809467	0.24194535926105634	0.23411730360577296	0.23257017642132388
rotifer_0.2_1x_1	0.21231075989521997	0.21806568581918226	0.21657435929555544	0.2174089367527289	0.19078921422884512	0.19153810878829697	0.19742946518247897	0.19598387481306576	0.27662993468881303	0.263843222721217	0.2641631067126408	0.2612790005769262	0.24341739392539147	0.23721909388141105	0.23047107190828128	0.23908825355755753	0.0	0.0	0.0	0.0
rotifer_0.2_2x_1	0.20988546264505448	0.21231494701471057	0.2122901213542727	0.21238802244410593	0.1903110395199643	0.19000085094164249	0.19877178988942526	0.19491364694355862	0.28033337623978927	0.26873793206397306	0.2698301395115753	0.2675522895416946	0.24726883193000426	0.24227249567972808	0.24344357945352585	0.2410720852476025	0.0	0.0	0.0	0.0
rotifer_0.2_4x_1	0.21349976506450982	0.2178949406231944	0.2156092068461855	0.219321507250216	0.19515453168850075	0.19661109378780944	0.20215809417723074	0.201729960605798	0.2809942640256643	0.27017915178749413	0.27185296901244943	0.2700388428360591	0.2479123153365782	0.2399427857898221	0.23291495499288287	0.23361247425557846	0.0	0.0	0.0	0.0
