sample	moss_0.001_1x_1	moss_0.001_2x_1	moss_0.001_4x_1	moss_0.001_8x_1	moss_0.002_1x_1	moss_0.002_2x_1	moss_0.002_4x_1	moss_0.002_8x_1	moss_0.004_1x_1	moss_0.004_2x_1	moss_0.004_4x_1	moss_0.004_8x_1	moss_0.006_1x_1	moss_0.006_2x_1	moss_0.006_4x_1	moss_0.006_8x_1	moss_0.008_1x_1	moss_0.008_2x_1	moss_0.008_4x_1	moss_0.008_8x_1	moss_0.01_1x_1	moss_0.01_2x_1	moss_0.01_4x_1	moss_0.01_8x_1	moss_0.02_1x_1	moss_0.02_2x_1	moss_0.02_4x_1	moss_0.02_8x_1	moss_0.0_1x_1	moss_0.0_2x_1	moss_0.0_4x_1	moss_0.0_8x_1
moss_0.001_1x_1	0.0	0.0	0.0009866774506195786	0.0014624509459544449	0.003377370166099317	0.004046432462266667	0.004832456101906788	0.005295496181699163	0.005272680615125716	0.006324107299295505	0.006852812908680693	0.007414552807787949	0.00759846671366476	0.008186110602638987	0.009072140717579762	0.009249664022778133	0.009194951770120996	0.010062027564117431	0.010725091611656976	0.011033969645875765	0.011067896588043864	0.01208077494286068	0.012738161298407599	0.01311069176650921	0.020962867102098194	0.021500875446710283	0.022060167694217578	0.02252170668291262	0.0010048630054975635	0.0017655372488114122	0.002850106861048216	0.0033585530340222887
moss_0.001_2x_1	0.0	0.0	0.0011227095202504403	0.0016670768602654296	0.003688742347585354	0.004475910476997391	0.005328671682464624	0.00593123056900829	0.005602521790434049	0.006680243461197501	0.00748326988756886	0.008034603519000072	0.008088735895153593	0.008718519721649548	0.009694253540612211	0.01014444416800066	0.009601534897886685	0.010621724913269655	0.01147842773181177	0.011946333106199471	0.011716817655323945	0.012974025771621015	0.013776570440066613	0.014281031935948213	0.022085452868350338	0.022661070957437194	0.023583199359464735	0.024300084658061136	0.0011715519261650943	0.0018895844551889446	0.00319223048742195	0.0037712458340873035
moss_0.001_4x_1	0.000570697470362594	0.0007386828120718523	0.0	0.0012837250909348316	0.004093218550654143	0.004590656552783538	0.0050726566099739585	0.0051485786707582476	0.005889872310671726	0.006721917508577547	0.007069843172797901	0.007234994462419155	0.00818553811773271	0.00851082830756142	0.00908014725296771	0.009010157736107308	0.009729535573149558	0.010468581011970752	0.010757658511382027	0.010959119912545749	0.011994411730106489	0.01272424570004369	0.012939847753204201	0.013108675062031862	0.02167144460141852	0.022070809537849602	0.0222481903442736	0.022248774307875436	0.0016478334700092338	0.002247101833728808	0.0030792257953456566	0.003190780741622251
moss_0.001_8x_1	0.0008027869475609221	0.0008946322239909815	0.0011672978224513291	0.0	0.004281457183316668	0.004664182723744406	0.004940356579782256	0.0048008879702309375	0.005829776781867817	0.006655493044492945	0.006820837466118726	0.006625504621913155	0.008310917757936857	0.008423027094610682	0.008794568173460186	0.00856197886789501	0.009688564864346383	0.010187463990148343	0.010502881087623392	0.010272353541701527	0.011723153929809962	0.012413913590990573	0.012533645427449048	0.012326379191390518	0.02131868819292891	0.02172512596518373	0.02158750459803064	0.021326506351267652	0.001700270532342931	0.0023238653534078664	0.003015927796124713	0.0029930203011509877
moss_0.002_1x_1	0.0036868755858617095	0.004324478636500517	0.0053252381958937	0.005873879373593217	0.0	0.0	0.0007057179690190108	0.0011855125003579696	0.006703130423777094	0.007925681331929139	0.008590191112576645	0.009204625584891695	0.009069878559116252	0.009723389004551193	0.010649091924868855	0.011006988318714467	0.01071586926207334	0.011681143200546801	0.012368700945180007	0.012823354160302622	0.012497463245157969	0.01378616470611966	0.014690294926702293	0.015090328498429699	0.02238092663343404	0.022989259365589182	0.024034253890221617	0.024500787676744084	0.002356552792254298	0.0032797117882652836	0.004415171160204097	0.005050647585544049
moss_0.002_2x_1	0.004010028231370412	0.004864235064143891	0.005949005097415206	0.006559390840096749	0.0	0.0	0.0010739100995239058	0.0017507347833514084	0.007060442204480632	0.008242917441434352	0.009256119627584564	0.009884649599993111	0.009389583698602473	0.01019482616052115	0.01128192423165494	0.011838326933034224	0.010803771374271706	0.012069932089960001	0.013127232907216988	0.013710604722658294	0.01296282864001504	0.014453957600562556	0.015321888606761492	0.015942697525054086	0.022958168508730184	0.02384259957809991	0.02491091808022663	0.025584387444129175	0.002697615991601256	0.0036033530275070723	0.005000477057099864	0.005653871765646911
moss_0.002_4x_1	0.0043898854504923	0.004990435593517318	0.005632621716727191	0.005699585883976505	0.0006423585584059648	0.0008071074394542052	0.0	0.0013314089823344224	0.007353780031048431	0.008191773924412397	0.008555981619646593	0.008621387364895013	0.00944570624086026	0.009953463690557409	0.010558265955279162	0.010518332521518627	0.010830222083541065	0.01179145164473381	0.01212883876147314	0.012314556799469667	0.013187945028439193	0.014023681918992309	0.014324479011265235	0.014448622288593869	0.022875243326973195	0.023261663881830905	0.023503124162524834	0.023474785315076723	0.003048695934502312	0.003723947782106849	0.004739502210535023	0.004829142627658124
moss_0.002_8x_1	0.004566650560672013	0.005099214002135961	0.00551205279541843	0.005372656232937795	0.0008156230613909543	0.0010167095075367348	0.0012099023487904534	0.0	0.007269693271050191	0.008093465069717105	0.00834318617721345	0.008163311515536247	0.00946675911213295	0.00981353717290303	0.010244914074567263	0.00988994794306318	0.010938957042749891	0.011567642533410399	0.011923069349815369	0.011694459466376964	0.012930252504035403	0.013825135988598388	0.013884334563483074	0.013680714091021857	0.022367150191074225	0.022746894789032784	0.022771581955361973	0.022341012729422505	0.0030968450413106	0.003866137978463389	0.004638121795523559	0.004513145692378945
moss_0.004_1x_1	0.005987589023018057	0.00706590454767473	0.00835760190294114	0.008778927391973003	0.007077966152875829	0.00831972000416181	0.009565898950578461	0.009961144145994439	0.0	0.0	0.0	0.00087618726392135	0.010973667784572698	0.012390987813261574	0.013508481967299589	0.013727321894145435	0.012645908932824976	0.014068042594122079	0.015130620199605486	0.015515384974394026	0.014591890245895802	0.016124988753562424	0.017188821968594663	0.017690989709249632	0.023604388285696512	0.024969809561377676	0.025934801520431375	0.026441377162323303	0.004793669337309119	0.005976764346259556	0.0075229930398487965	0.008064492705729748
moss_0.004_2x_1	0.006669171363279278	0.0077187944758378875	0.008969380713519494	0.009389720215395869	0.007799419803675894	0.008870959870974414	0.010007682527094408	0.010395751653442782	0.0	0.0	0.0010059665807901146	0.0015116571473893022	0.011631636711281652	0.012739244362305365	0.013851615133770976	0.014226599540965662	0.013071375434053345	0.014518770965889757	0.015558582156193856	0.016042234346403995	0.015297538870002738	0.016512566825354368	0.017496622705532715	0.018067778376392778	0.024296427111334583	0.025400856767413823	0.02657978837983376	0.026896498909702256	0.005295549420889227	0.006456273274075512	0.008048937792317292	0.008576498579531609
moss_0.004_4x_1	0.0068981933040899905	0.007797561293148777	0.008597464970473196	0.008614255723536475	0.008024875994794458	0.008954329436039972	0.009535582712070877	0.009574085779315202	0.0	0.000819113925040575	0.0	0.001172656846777935	0.011954628109249842	0.012614349497248194	0.013277310831624374	0.01328115069256157	0.01321564718126352	0.014251481712248703	0.014785089294057602	0.015044045866624122	0.015361336242507342	0.0163647227552969	0.016726676843270578	0.016868445370592105	0.02451266092138076	0.02521641149207097	0.02572110693852103	0.025589769552710535	0.005611854949854817	0.006657083660944873	0.007647444487763915	0.00778978353602681
moss_0.004_8x_1	0.0071817671413930365	0.00784431168689877	0.008532074800771486	0.008196187005479172	0.008272890778804389	0.009010838810901188	0.009371952524971434	0.009156175577171279	0.0004430451925283023	0.000965323587093505	0.0010409874786534914	0.0	0.011961259038621429	0.012494806216944383	0.013020292849250796	0.012659283958477999	0.013322750425132153	0.014136872933003513	0.01460879742022736	0.014409703722937702	0.015245939157685063	0.016256501658401475	0.01642829750494011	0.016253685835027745	0.024229407131858588	0.024913130665471094	0.024875414498250342	0.02454043526709845	0.00573077067122216	0.006753316773673631	0.007601394843273588	0.007508162680601385
moss_0.006_1x_1	0.008546023916004314	0.010137948285912527	0.011594384380742407	0.012354432060091052	0.009650273091685374	0.01122748701502156	0.012572888134491637	0.013201653721206146	0.011196354823893449	0.013153146246382974	0.0146329665368572	0.015210652868444528	0.0	0.0	0.0005467006754862279	0.0009441819111045615	0.014986063075745076	0.016778981620005847	0.017940504251556164	0.01850410553407823	0.016977161177799606	0.018595827153585445	0.01994005474470226	0.020511672167148637	0.025858642584906024	0.027228890482455203	0.02871144197611432	0.029348098711157386	0.0069636855360316234	0.009033341531068459	0.010690640799998385	0.011542119726591046
moss_0.006_2x_1	0.008923412547485054	0.010277609966513022	0.011389247804101638	0.011720065852380203	0.00995071780074261	0.011335822945413375	0.012385583958689808	0.012651789673889517	0.011795571188820889	0.013266956044286524	0.014270676963572575	0.014551027723686582	0.0	0.0	0.0007930583158908986	0.000879164034884482	0.0152982858208171	0.016610020522818607	0.017635515778118966	0.01787465466416165	0.017212310439990577	0.01865354099514991	0.019675934348308093	0.019978845898319025	0.02584768728643572	0.027374066864496397	0.02814529792966232	0.02851935682805243	0.007565269908523647	0.009219935464089214	0.010592246386739241	0.010977777690838401
moss_0.006_4x_1	0.009446952798730774	0.010485541839373901	0.011349419861899782	0.011370950939749543	0.010383654927648093	0.011488663558466613	0.012291066252016359	0.01225608475080922	0.012079815473273052	0.013348541251356734	0.014036827246890038	0.014064160104927448	0.0005168116444217389	0.0007063263007772634	0.0	0.0009982957898127059	0.015445642756705872	0.016655938637761127	0.017219351491166584	0.01733336248408326	0.01753464843851566	0.01883409397336412	0.019342962777489845	0.019330826227244774	0.026327010523633045	0.02731361378980817	0.027836683572680043	0.02769217844864535	0.008055629834422142	0.00939769726643531	0.010453217068495575	0.010568102469386897
moss_0.006_8x_1	0.009413800573642338	0.010443662886080719	0.01106827273148046	0.010927973626062373	0.010428729992472319	0.01149000413141177	0.012041054284894492	0.011688292297115845	0.011891902843025095	0.013261735315183279	0.013804196034286642	0.013474410780787082	0.0005050062309733228	0.0005458251598117202	0.0008501152128955219	0.0	0.015314836084540076	0.016445553654160797	0.01697961587930456	0.01679774646292934	0.017370328534522018	0.018611270771468943	0.01895160601169229	0.018720478546428103	0.026082378303868833	0.027001877147617863	0.02709021938346458	0.026737083961810522	0.007947377075586445	0.00928198896963991	0.010247564535509218	0.010108370181944607
moss_0.008_1x_1	0.010445324513596399	0.011933344895548818	0.013217789381132704	0.013543142019319478	0.011567857705486463	0.012900023380463617	0.014004456339257985	0.014467464601865838	0.013134579828254887	0.01482908793016683	0.015875991182577123	0.016301909670281722	0.01523128337648633	0.01669823277918533	0.01770021668551745	0.017830396829414986	0.0	0.0	0.0	0.0	0.018132707732823477	0.020138413857379727	0.021154384524637897	0.021378338548311535	0.02709091312473762	0.028259718457058533	0.029554267775926787	0.029486408171877577	0.009338719612379483	0.010772766746901575	0.012273958630809793	0.0127501462606437
moss_0.008_2x_1	0.010982223229507076	0.012500786169479413	0.013796260676211496	0.013915982609032023	0.012045924803520238	0.013528545369196822	0.01467250954910206	0.01482474580288614	0.013645864711915397	0.015390281931476983	0.01633960598318655	0.016588218617829817	0.01575363610541852	0.016967832117940274	0.01811603425819184	0.018223398115584172	0.0	0.0	0.0	0.0006864974900433132	0.019026724917941076	0.020708242401993135	0.021679449037229882	0.02186980201321804	0.027412156372554803	0.02929383446233381	0.030134830935926914	0.0302432138741447	0.009596543068895413	0.011298219578295578	0.012946052307552374	0.013116396841103155
moss_0.008_4x_1	0.011388309972507676	0.012679221182791689	0.013667502100300327	0.013772915236915062	0.01234365059575454	0.013743522112506592	0.014518344459946372	0.014628562935506465	0.013973269435022676	0.015528942483119748	0.016208981471931547	0.01635114792557771	0.01592326544219224	0.017102886308089052	0.017887753241135854	0.017914943265092523	0.0	0.0	0.0	0.0008224205283349385	0.01934380341529946	0.020895286412196845	0.021545781521109517	0.021475146871718705	0.027877229152499995	0.029097984594324965	0.029826006773297765	0.02960298125345946	0.009935956257320931	0.011521941461764005	0.012825021424714039	0.012877503636138857
moss_0.008_8x_1	0.011531951829869264	0.012711807276747594	0.013697490979258512	0.013387626446371984	0.012531877517994654	0.013830502630383566	0.01454379652076557	0.014241275449234017	0.013995705540027376	0.01561062522119435	0.01629043535247559	0.0159858266544163	0.01601952880655964	0.017052595899526905	0.017833529871885415	0.017563017915996692	0.0	0.0005426879512813909	0.0007123524620410697	0.0	0.019346808110056263	0.020901246394782785	0.02128737817943153	0.021034393586092087	0.02777244903510962	0.029099262359572477	0.02926620612095019	0.028903405079300767	0.009986226169650921	0.011588851824992861	0.012855180347655589	0.012587948998200916
moss_0.01_1x_1	0.012445926753420608	0.014326868079978853	0.01584707898176101	0.015894059380732392	0.013459275265694522	0.015330825199882572	0.01673075163927661	0.016758275198626812	0.015184622035495181	0.017334898082069197	0.018365456658038112	0.018498396508326884	0.017316120797056068	0.018886458287083727	0.02010986434709238	0.020147385038479865	0.018249079020110283	0.020502546298085737	0.021574317706574305	0.021710092654120848	0.0	0.0	0.0	0.0	0.028637867974658966	0.03004334636325928	0.031041157740819093	0.03124013485431014	0.011368620209444426	0.01333555083424556	0.014963859140604798	0.015254888122410527
moss_0.01_2x_1	0.013113162396419796	0.015064896342877724	0.016426078228044597	0.016523619325354823	0.014221336171236344	0.016125157169384192	0.017288211880945644	0.01745833138023227	0.01579517469005973	0.01766259670389359	0.0188419942068384	0.019082804684872303	0.017691289170488823	0.01931095713418924	0.020681615927545662	0.020756358899966437	0.019081200030580666	0.021019353238315032	0.022209759437895132	0.02243329357267416	0.0	0.0	0.00041544118730393046	0.0007174494334264032	0.029531072754865807	0.0310111861675932	0.03183759246053413	0.0320056767802747	0.012024628303209876	0.013840342899029552	0.015618136363676574	0.015783815775556428
moss_0.01_4x_1	0.013551491193932567	0.015191499999910719	0.016271028041639796	0.01626814650861304	0.0147280193622506	0.01618006577254414	0.017153958422213244	0.017063690184862947	0.01616482001276456	0.017797071042772263	0.01862399022674004	0.018662412272369013	0.018083858557555062	0.01950507681621344	0.020494984706414407	0.02037955519393358	0.019438803896843024	0.021139191429370242	0.022040419228126707	0.021973317419245797	0.0	0.0004041029827143401	0.0	0.0007946964175455436	0.029790870409701083	0.031131419552066983	0.031657526998605315	0.03147426832408514	0.012440154756577717	0.0139912752356401	0.015446760218273046	0.015473576545092509
moss_0.01_8x_1	0.013813082819473585	0.015315464641438424	0.01635903776076092	0.016008989070032672	0.014933029056948587	0.016365849506971664	0.017214648448109965	0.01680706346045795	0.016356399885505194	0.01803377709032665	0.01869452969609694	0.0184364702475701	0.01826257623961631	0.019597423166378577	0.020427560490662817	0.020100802618884486	0.019545006846079578	0.021176617219713912	0.02189963179172057	0.02165952394427538	0.0	0.0006043747893384306	0.0007511066763339963	0.0	0.0297064589450515	0.031003895050920015	0.031244333189270886	0.03079629006099003	0.01249002555420782	0.014122846124161125	0.015581805221485686	0.015314558205294577
moss_0.02_1x_1	0.02173227903804415	0.024877342907022076	0.02635702695020539	0.026431316162127367	0.022677562970203218	0.025545437963385768	0.027271406828159185	0.02712661401766001	0.023667502306362873	0.02667802460519625	0.02840544449759466	0.028421122284040614	0.02567833570552001	0.027935031599491386	0.02977787898262358	0.029770754392273033	0.026780332690951113	0.029324485574285793	0.030969892961398054	0.03101983501403168	0.028266371581241765	0.03126439564171321	0.032585935782598954	0.03255452518811893	0.0	0.0	0.0	0.0	0.020897455067672717	0.023791040032955173	0.025628745024664605	0.02593164905655397
moss_0.02_2x_1	0.02242125555914464	0.025169493851940842	0.026846095546806906	0.027026482371188758	0.023262696918865646	0.025999324710712198	0.027664061290500263	0.027611969399752835	0.02462034182077447	0.027260393971611063	0.028925340700449165	0.029034302428795653	0.02638597278454243	0.028871780543765147	0.0304445148045506	0.030468011370884163	0.027448371675150116	0.030526389519344888	0.03172756967752302	0.031963229646704186	0.029079592172230308	0.031992580509078807	0.03335138224475437	0.03334879416876712	0.0	0.0	0.0	0.0	0.021507220325653272	0.02414700567173812	0.026156129192718657	0.026322994570837525
moss_0.02_4x_1	0.022959317561462186	0.025508411992610877	0.026913694625648143	0.0268688161616508	0.024044120726911786	0.026367029865487772	0.027756457058697354	0.027545769338998976	0.025097103400469865	0.027778824400297893	0.02915864722771601	0.02881339032715438	0.02712012184479875	0.02909407724486687	0.030632891503235296	0.030276889500493183	0.028321150893223995	0.030820678502762513	0.032022141350213716	0.03174645986616352	0.029718654585467158	0.032262848495553324	0.03339899047466721	0.03311731929963741	0.0	0.0	0.0	0.0	0.022105057763225192	0.024456931781341756	0.026284433429204262	0.026297955597635612
moss_0.02_8x_1	0.023401084322840725	0.02587005645982022	0.02689704073304373	0.02660290768070443	0.024402536115614937	0.02666162451799975	0.02772951529749286	0.02712482769955902	0.02539953663014493	0.027865154048792744	0.029034065149343535	0.028485021455335064	0.02747121752477566	0.029335594354365977	0.030509306875572392	0.029933629465134816	0.028286725237575406	0.03087416457815229	0.03181369214231459	0.03138355572504159	0.029983968978695843	0.032407199310707645	0.0332351988366969	0.032669344209533865	0.0	0.0	0.0	0.0	0.022399952319336183	0.024686979853605438	0.0262912228473362	0.025876079136871098
moss_0.0_1x_1	0.0010035157517143426	0.0009754369869646604	0.0014686107679667663	0.0016309411267935601	0.0020822079770298086	0.002324339775688319	0.0026333449213733246	0.002829919147824248	0.004145815680846032	0.004597452598389336	0.004834426042016161	0.005109683692676269	0.006100683586999574	0.006521887734286543	0.0070401400072735544	0.0070352995281116595	0.008202905570517333	0.008411793755562285	0.00869140124059009	0.008814964438667507	0.010124872691457874	0.0108304060924459	0.011213837158935236	0.011274457827833472	0.020396112412748996	0.020663683853533076	0.021157778690656912	0.02142244103870965	0.0	0.0	0.0	0.0006487563403008554
moss_0.0_2x_1	0.0012064726450385004	0.001323584686438016	0.002009277405559604	0.0023468945541472376	0.0023772743644042667	0.002644738966884753	0.0030760521802999765	0.0035377321219125235	0.004244097064195384	0.0048145156576866275	0.005377272944029475	0.005815189998184914	0.006714260303961326	0.007053929037641755	0.007655171207962325	0.007856470578655734	0.008145334305600854	0.008788179966228401	0.00936143351247033	0.00971384114640477	0.010423316321003944	0.011113824082730364	0.011621084826089706	0.011986770934459373	0.020695732362884862	0.021058452370986098	0.02165819817641424	0.02208429142280126	0.0	0.0	0.0009070128141331855	0.0013831496103714634
moss_0.0_4x_1	0.001798614654563358	0.0020573054987574196	0.0025000028179068923	0.0025808976808349244	0.002915003579867356	0.003239084968099901	0.003602684766079896	0.0036726684624270984	0.004778094992920072	0.0053745140661899185	0.005551184830346116	0.005716512165358479	0.007015596703321755	0.0072750001750491395	0.007629439588415232	0.0076271648734614235	0.00849944723905814	0.009178950279526223	0.009375874526260828	0.009571831400323636	0.010818783848536613	0.011486454231479057	0.011597355239995367	0.01181849701993073	0.020680088269816363	0.02102147024983451	0.021207769587633034	0.021238859139679038	0.0	0.0007503945212991191	0.0	0.001689422584811918
moss_0.0_8x_1	0.0019520880235140532	0.002097438179007983	0.002354873998045781	0.002308020300915897	0.003103814494368203	0.003272061787288017	0.003417043803472722	0.00326958788599479	0.004748739623506052	0.005330176123148256	0.00535748535723064	0.005291094359874512	0.007153865861742724	0.007162221350441821	0.00736933587927956	0.0071138609460507	0.008534409554345137	0.008871470739764289	0.008992206012577796	0.008864257767799298	0.010720819913371907	0.011172510615586053	0.011152693758070794	0.011061441912312743	0.02052035072574391	0.020602409998244777	0.020552612696050136	0.020127284326591277	0.0	0.000870781851768328	0.0014681977689266575	0.0
