sample	leech_0.001_1x_1	leech_0.001_2x_1	leech_0.001_4x_1	leech_0.001_8x_1	leech_0.002_1x_1	leech_0.002_2x_1	leech_0.002_4x_1	leech_0.002_8x_1	leech_0.004_1x_1	leech_0.004_2x_1	leech_0.004_4x_1	leech_0.004_8x_1	leech_0.006_1x_1	leech_0.006_2x_1	leech_0.006_4x_1	leech_0.006_8x_1	leech_0.008_1x_1	leech_0.008_2x_1	leech_0.008_4x_1	leech_0.008_8x_1	leech_0.01_1x_1	leech_0.01_2x_1	leech_0.01_4x_1	leech_0.01_8x_1	leech_0.02_1x_1	leech_0.02_2x_1	leech_0.02_4x_1	leech_0.02_8x_1	leech_0.0_1x_1	leech_0.0_2x_1	leech_0.0_4x_1	leech_0.0_8x_1
leech_0.001_1x_1	0.0	0	0	0	0.002402279691516629	0.002824746262159228	0.002701578065367971	0.0029655532743229074	0.004653061059865737	0.00489539876690781	0.004806857262695918	0.005035310566910645	0.006624839666053206	0.006471566424220754	0.006822415700620588	0.0069584250201616404	0.008645973628721326	0.008799100254051062	0.00878975624199696	0.009046117735840742	0.01038875044823917	0.010795905299384234	0.010739867675034875	0.010966566153166823	0.019841164541954504	0.02074931966720006	0.02068864524161884	0.02093549512818127	0.0005430462334093944	0.000780038045531839	0.0008751557571536894	0.0009543811989670692
leech_0.001_2x_1	0	0.0	0	0.0001157626842328563	0.002696506369284646	0.0029795379351285067	0.0028731808268408487	0.003043366407009196	0.004857203860549442	0.004811498020860894	0.0049202882041073925	0.005069367629691679	0.006796428847585578	0.006811134134285246	0.006950223039075665	0.007066034051538939	0.008704983116741727	0.008866352500489172	0.00882386966247295	0.00904016629036819	0.01058483004373767	0.01072200649804711	0.01085232222139676	0.010982548096576505	0.020373591592674378	0.02085768302504709	0.021043447284937122	0.021028078619875212	0.0008801764848854754	0.0008250040751097698	0.0009724504701708048	0.00108147045591378
leech_0.001_4x_1	0	0	0.0	2.5149186320350125e-05	0.002552471351420893	0.0028635246236289325	0.0027507602239338347	0.002920635541259431	0.004749863265940846	0.0047594595633464465	0.00484212319718913	0.00496594083877222	0.006744941079279032	0.006789008443993549	0.006814404981292155	0.006945828635685047	0.008589545698879708	0.008703438097372396	0.008702531058467855	0.008903476990199888	0.010481533421287548	0.010698157628107663	0.010736787908065315	0.01084851982999635	0.020123395852997827	0.02077989021188842	0.020777827853446507	0.020899633672694096	0.0007294003373183866	0.0007013839990259729	0.0008842549735962324	0.0009815826633171598
leech_0.001_8x_1	0	0.0001157626842328563	2.5149186320350125e-05	0.0	0.0028266976126013477	0.003068684488436557	0.0029731171098416054	0.003141969222186125	0.00498468571436661	0.0049908588710885216	0.005013931107086478	0.005165434601911878	0.006917074970320014	0.006903425652638573	0.007025799296429436	0.007123412873171975	0.008865324689680043	0.009023037145735602	0.008984137959762162	0.009166629823825212	0.010842769078682757	0.010961677783295154	0.010996678380724045	0.011120097100172255	0.020637712292753796	0.02105801928065576	0.02112676783065537	0.021142805609280946	0.0009885917734366867	0.0009550496342751735	0.0010259253928022183	0.001136551167721267
leech_0.002_1x_1	0.002402279691516629	0.002696506369284646	0.002552471351420893	0.0028266976126013477	0.0	0	0	0	0.005574677372470083	0.00563153999218291	0.005676147990931524	0.005892445947243474	0.007437113778244964	0.007582197336425955	0.007734610753668991	0.00785284657663865	0.009487679177813457	0.009559273345199015	0.0096172858389717	0.009777921695614422	0.01139641260614388	0.01139725166028549	0.011350154800453316	0.011657825534650557	0.020903112877231567	0.02146795261392198	0.021524991554208728	0.021673345948095668	0.0015019408883238938	0.0015647653144977847	0.0015590483631955365	0.0018127232070848098
leech_0.002_2x_1	0.002824746262159228	0.0029795379351285067	0.0028635246236289325	0.003068684488436557	0	0.0	0	7.396449915197945e-05	0.005780951097519527	0.005840519960243151	0.005861044562933904	0.006006931479920041	0.007669401276850674	0.007787719875347987	0.007903864605900757	0.008032280361898625	0.009798046822296791	0.009857884869490019	0.009851496273190707	0.010044435385980655	0.011620096241996225	0.01169227272379847	0.011812013658344833	0.011962063986101334	0.021228537479652476	0.02172260219918054	0.02183410077615955	0.021964744619426102	0.0018801819837185318	0.0018140537620922048	0.0019135530871160489	0.0020309443488764067
leech_0.002_4x_1	0.002701578065367971	0.0028731808268408487	0.0027507602239338347	0.0029731171098416054	0	0	0.0	0	0.005743811289470102	0.005775554263866889	0.005771466279726578	0.005937691538189793	0.007629783684457214	0.007639581960850017	0.007676258401802971	0.00786055043457301	0.009565519506693487	0.009586058911253303	0.009650898294152332	0.00984348039354277	0.011411402233109214	0.011557394015492939	0.011701367885650238	0.01179721032903247	0.0211824303320457	0.021683459687270812	0.021684345588247944	0.021795500868515116	0.0018134287693889473	0.001686873253555654	0.0018087878854711192	0.0019378183297631413
leech_0.002_8x_1	0.0029655532743229074	0.003043366407009196	0.002920635541259431	0.003141969222186125	0	7.396449915197945e-05	0	0.0	0.006035407605073928	0.0059823434332748615	0.005961289604923481	0.006116546446446658	0.007875091320935224	0.007875354572521753	0.00796359367119237	0.008084318609804853	0.009875928146060642	0.00985031543953685	0.00988016171506434	0.010081034877082562	0.011835588108304984	0.011889834599429383	0.011917073655865473	0.012045450093318366	0.02155509367864228	0.02187336404347051	0.021942331004518145	0.02203324192354894	0.001971731671814192	0.0018926315503209334	0.0019486437710879434	0.002106630081986305
leech_0.004_1x_1	0.004653061059865737	0.004857203860549442	0.004749863265940846	0.00498468571436661	0.005574677372470083	0.005780951097519527	0.005743811289470102	0.006035407605073928	0.0	1.5910921699058278e-06	0	8.671768915513578e-05	0.009434234510240058	0.009682245432404257	0.009938100952751272	0.009996026753395504	0.011555969778257458	0.011631256435581161	0.011736897322381923	0.011910975799350298	0.013330227474599443	0.013804002373095536	0.013747959865860415	0.013970034406218357	0.023045971487250738	0.02326627762371325	0.023419965554644318	0.02369173270499736	0.0038755249516573276	0.0037569161712489585	0.003822556986294745	0.004013751219619555
leech_0.004_2x_1	0.00489539876690781	0.004811498020860894	0.0047594595633464465	0.0049908588710885216	0.00563153999218291	0.005840519960243151	0.005775554263866889	0.0059823434332748615	1.5910921699058278e-06	0.0	0	4.4263212952477815e-05	0.009550476116270246	0.00966790856495059	0.009732607628105572	0.009930677734149351	0.01180524519049242	0.011724442078860475	0.0116427236962523	0.011854838344579788	0.013653221484978162	0.013656832507068062	0.013713307908664651	0.01387730526330655	0.02321021674368784	0.023439483857978893	0.023603752353750784	0.02363358422255779	0.0038348243984454022	0.003768663655673521	0.003799326202258091	0.004003355641009065
