sample	nematode_0.001_1x_1	nematode_0.001_2x_1	nematode_0.001_4x_1	nematode_0.001_8x_1	nematode_0.002_1x_1	nematode_0.002_2x_1	nematode_0.002_4x_1	nematode_0.002_8x_1	nematode_0.004_1x_1	nematode_0.004_2x_1	nematode_0.004_4x_1	nematode_0.004_8x_1	nematode_0.006_1x_1	nematode_0.006_2x_1	nematode_0.006_4x_1	nematode_0.006_8x_1	nematode_0.008_1x_1	nematode_0.008_2x_1	nematode_0.008_4x_1	nematode_0.008_8x_1	nematode_0.01_1x_1	nematode_0.01_2x_1	nematode_0.01_4x_1	nematode_0.01_8x_1	nematode_0.02_1x_1	nematode_0.02_2x_1	nematode_0.02_4x_1	nematode_0.02_8x_1	nematode_0.0_1x_1	nematode_0.0_2x_1	nematode_0.0_4x_1	nematode_0.0_8x_1
nematode_0.001_1x_1	0.0	0.0	0.0	0.0	0.0030526372268553565	0.0033312478350441496	0.003332297476272555	0.0033375074013435244	0.0048745194118910784	0.005148816262217019	0.005090315303488514	0.005042408829713754	0.00692238373902292	0.007050262072262889	0.007202387192198844	0.00692296592256469	0.0089116972717995	0.009119630720389987	0.008998141532448378	0.009047526482608207	0.011080819288212298	0.01130181208531724	0.01115988225189298	0.011183036078631801	0.02138526932473833	0.021351433911248253	0.02088625434874704	0.02075983416378651	0.001056890409647522	0.0012710949500340898	0.001308584741082893	0.0013918272641835535
nematode_0.001_2x_1	0.0	0.0	0.0	0.0	0.0031187286878828417	0.003516521111234607	0.00356728200422104	0.003529615682563146	0.005114304362413528	0.005447679267219472	0.005376122495408148	0.005321370676722052	0.007170065988608177	0.007396967627644779	0.007353713363022221	0.007259907860657521	0.009059495981674014	0.009433111297081428	0.009297940608408129	0.00938718022980919	0.011240523416471518	0.011318572660204843	0.011237623170028842	0.011212888249816097	0.021351854672343188	0.021340877796983328	0.02097795133044522	0.0208777566143921	0.0011462188842946502	0.0013695972643704114	0.0014662247486370644	0.0015719783485655043
nematode_0.001_4x_1	0.0	0.0	0.0	0.0	0.0030969852302353876	0.003419712476955881	0.0034338745368093174	0.0034690737573392968	0.00523599330123207	0.005356553411493005	0.005297996118230672	0.005278342178806686	0.007231601330872074	0.007244610386969106	0.007164811348740467	0.007132343610180371	0.009088965180932029	0.009273403876024098	0.00912425336857646	0.009163650137403367	0.011246228584208724	0.011295816038619757	0.011245599213639474	0.011183095400519462	0.02122816357698168	0.02117368786904701	0.021031667526812015	0.020795568538420208	0.001294007939911125	0.0014119212310859967	0.0014217604055027707	0.0015228362468751263
nematode_0.001_8x_1	0.0	0.0	0.0	0.0	0.003094220027190863	0.003442666508695133	0.0034673101710574602	0.0035662566371046237	0.005264724491467676	0.005415330680473026	0.005364775082835651	0.005302884232047828	0.007291901827838426	0.0073238409781315825	0.007307041402551347	0.0072242582786997255	0.009181009739361898	0.009410105063880295	0.009222764059731135	0.009155307929841462	0.011349360154724297	0.01137224944958888	0.01133650161007191	0.011195243122745075	0.021267211575572827	0.021156271917941217	0.021018706300422216	0.020766682400351035	0.001209399593405115	0.0014362950365536895	0.0015120548018153874	0.0015517924464217552
nematode_0.002_1x_1	0.0032815184588521583	0.0034229928570027935	0.0033904193276191002	0.003321853324016756	0.0	0.0	0.0	0.0	0.00585569322465808	0.00631831152204032	0.00618257005608781	0.005968478353521716	0.008024091902667929	0.008163189870751077	0.008083290506438712	0.007734332215493083	0.009851030220035327	0.009989597660892715	0.009933323114317258	0.009806499492608286	0.011968271851302021	0.012145104859698923	0.011922012444592846	0.011826724893142817	0.02221335975562882	0.02202803343879888	0.02153772576751708	0.02121638858885277	0.0022637338180675703	0.0024779098652895713	0.0023716842899004177	0.0023094599526964376
nematode_0.002_2x_1	0.003330286145087311	0.003694997649520329	0.003719954015777353	0.0037599166009539154	0.0	0.0	0.0	0.0	0.0062931582765351195	0.0065266659950060585	0.006544245802463732	0.0065162724120415285	0.008315504579963549	0.00851021885086188	0.008421297934313333	0.008383798880551135	0.010178401497868179	0.01048330481729394	0.010255355259463717	0.010388409228926955	0.012332973623566149	0.012356603211516408	0.012337490605611845	0.01225695200434637	0.022482435890615018	0.022390130985310782	0.022057355931591232	0.021980995459124356	0.0023664495232255207	0.00262251632972977	0.0026717706966348912	0.0027851936847708226
nematode_0.002_4x_1	0.0032763876141330196	0.0037305730037439505	0.0037236550609902226	0.0037744660003384187	0.0	0.0	0.0	0.0	0.00628202496554283	0.00649683904237856	0.00655549757699378	0.006543185801341709	0.008361105145170992	0.008502408780867273	0.00846004124671219	0.008363498899531918	0.010117522924155799	0.010446717916879556	0.010361710244984269	0.010401932736685344	0.01237724378367599	0.012481107870119669	0.012437816320435257	0.012387553826784595	0.022269811022801282	0.0222269805482078	0.02208204251207853	0.02185782658376579	0.0023440968533109995	0.002662623141658429	0.0027276601238991707	0.0028571901923044266
nematode_0.002_8x_1	0.003273894880631853	0.0037162566404929376	0.003786202007269008	0.0039012847898510254	0.0	0.0	0.0	0.0	0.006310791610272728	0.006548021916262469	0.0066471556849217964	0.006608283948544952	0.008394564003093965	0.008474189289628382	0.008588165092172388	0.008545950551421573	0.010133299840754059	0.010490611533289942	0.010454048525751138	0.010375522808109713	0.012346736277800899	0.012479551229403961	0.0125508113137507	0.012454327397359353	0.02230870876069308	0.022321955839156922	0.02222353609528237	0.021961141755380786	0.002336512381912827	0.0027041644166559513	0.0028353554214127427	0.0029166923092717664
nematode_0.004_1x_1	0.005020987434706853	0.005604336046558491	0.005984971202377802	0.006054363650380344	0.005790044958961333	0.006702947369959047	0.006901973230516639	0.006947935558388122	0.0	0.0	0.0	0.0	0.009895392030142985	0.010488429480059467	0.010495630799807042	0.010591023682738255	0.01184367133240385	0.01230288761470714	0.012239667341248197	0.012471785778754655	0.014059544637443232	0.014442052843115023	0.014379880505740223	0.014513758913967195	0.023721552244993185	0.023910448416615996	0.023800841083120475	0.023680955228202134	0.004077601690764809	0.004694961966407145	0.004889657878430353	0.005092044604496501
nematode_0.004_2x_1	0.005269530510674799	0.005957407003042445	0.006143840812423672	0.006256111518314694	0.006236382885235451	0.006859582116558832	0.007060611553613921	0.00713676150907622	0.0	0.0	0.0	0.0	0.010215749072533737	0.01055552601018487	0.01080891655090016	0.010691606224372341	0.012199120076805365	0.012570946354519627	0.012617095034414941	0.01277453250115576	0.014281491420381655	0.014364374955349386	0.014575351212114162	0.014642440618795771	0.02406791615043693	0.024090302049211594	0.024036112890204273	0.023951850699882413	0.004275923495891437	0.004869088705995379	0.005084746209903683	0.005313938052479381
