sample	oyster_0.001_1x_1	oyster_0.001_2x_1	oyster_0.001_4x_1	oyster_0.001_8x_1	oyster_0.002_1x_1	oyster_0.002_2x_1	oyster_0.002_4x_1	oyster_0.002_8x_1	oyster_0.004_1x_1	oyster_0.004_2x_1	oyster_0.004_4x_1	oyster_0.004_8x_1	oyster_0.006_1x_1	oyster_0.006_2x_1	oyster_0.006_4x_1	oyster_0.006_8x_1	oyster_0.008_1x_1	oyster_0.008_2x_1	oyster_0.008_4x_1	oyster_0.008_8x_1	oyster_0.01_1x_1	oyster_0.01_2x_1	oyster_0.01_4x_1	oyster_0.01_8x_1	oyster_0.02_1x_1	oyster_0.02_2x_1	oyster_0.02_4x_1	oyster_0.02_8x_1	oyster_0.0_1x_1	oyster_0.0_2x_1	oyster_0.0_4x_1	oyster_0.0_8x_1	
oyster_0.004_8x_1	0.0184152	0.012945	0.0121659	0.00618714	0.0193766	0.0139525	0.0132408	0.0072656	0.0127416	0.00717401	0.00639002	0.0	0.0231192	0.0177857	0.0171727	0.0113276	0.0248434	0.0197787	0.0191695	0.0132812	0.0268924	0.0216704	0.0210619	0.0153555	0.0363674	0.0312255	0.030734	0.0251612	0.0174323	0.0118474	0.0111515	0.00511421	
oyster_0.006_1x_1	0.029784	0.0263784	0.0269607	0.0201847	0.0306622	0.0273301	0.0280033	0.0212459	0.0324139	0.0292167	0.029832	0.0231192	0.0	0.00745329	0.0137791	0.0128914	0.0358117	0.0328714	0.0336854	0.0270908	0.0377507	0.0347402	0.0355064	0.0290034	0.0468598	0.0438411	0.0447147	0.0384037	0.0286622	0.0253207	0.0260473	0.0191108	
oyster_0.006_2x_1	0.0265629	0.0213434	0.0207778	0.0148623	0.0272855	0.0222671	0.0217715	0.0158655	0.0292208	0.0241454	0.0236454	0.0177857	0.00745329	0.0	0.00534383	0.00712107	0.0326171	0.0278694	0.0275111	0.0217202	0.0347037	0.0298017	0.0293666	0.0237137	0.0436928	0.0388644	0.0385001	0.03308	0.0255964	0.0202794	0.0197977	0.0138214	
oyster_0.006_4x_1	0.0271893	0.0209032	0.0193747	0.0142598	0.0280408	0.0218082	0.0203779	0.0152434	0.0299505	0.0237082	0.0222924	0.0171727	0.0137791	0.00534383	0.0	0.00630953	0.0334391	0.0274213	0.0260046	0.0210104	0.0354082	0.0292432	0.0278266	0.022983	0.0445277	0.0384587	0.0369841	0.0323446	0.0263943	0.0199007	0.0184706	0.0132282	
oyster_0.006_8x_1	0.0203864	0.0149339	0.01418	0.00825713	0.021298	0.0159235	0.0152179	0.00932752	0.0232699	0.0179041	0.0172056	0.0113276	0.0128914	0.00712107	0.00630953	0.0	0.0267844	0.0217083	0.0210606	0.015262	0.0288431	0.0235202	0.0229247	0.017307	0.0381805	0.0330509	0.0325188	0.0269699	0.0194548	0.0139008	0.0131511	0.00717256	
oyster_0.008_1x_1	0.0313272	0.0280331	0.0287455	0.0218788	0.0322335	0.0289061	0.029681	0.0228538	0.0339887	0.0308948	0.031643	0.0248434	0.0358117	0.0326171	0.0334391	0.0267844	0.0	0.00733697	0.0137101	0.0127774	0.0396936	0.0365571	0.0372238	0.0307896	0.0484682	0.045542	0.0463889	0.04008	0.0303462	0.0269827	0.0277449	0.0208696	
oyster_0.008_2x_1	0.0284054	0.0232806	0.022628	0.0168393	0.0291599	0.02417	0.023671	0.0178385	0.0309431	0.0260587	0.0255495	0.0197787	0.0328714	0.0278694	0.0274213	0.0217083	0.00733697	0.0	0.00534763	0.00713754	0.0365585	0.0316521	0.0311033	0.0255811	0.0454849	0.0407755	0.0403399	0.03498	0.0272614	0.0222051	0.0216655	0.0157939	
oyster_0.008_4x_1	0.0292819	0.0229023	0.0212974	0.0162725	0.0299852	0.0238456	0.0223526	0.0172579	0.031782	0.0256221	0.0242027	0.0191695	0.0336854	0.0275111	0.0260046	0.0210606	0.0137101	0.00534763	0.0	0.00625199	0.0373417	0.0311399	0.0295681	0.0249209	0.0464312	0.0403003	0.0388317	0.0342539	0.0282165	0.0218075	0.0203531	0.0152586	
oyster_0.008_8x_1	0.0224136	0.0169029	0.0161201	0.0102619	0.0231986	0.017863	0.0171387	0.0112984	0.0250095	0.0197946	0.0191188	0.0132812	0.0270908	0.0217202	0.0210104	0.015262	0.0127774	0.00713754	0.00625199	0.0	0.0307525	0.0255376	0.0248237	0.0192432	0.0400032	0.0348906	0.0342756	0.0288241	0.02125	0.0157717	0.0150882	0.00919597	
oyster_0.01_1x_1	0.033396	0.0300812	0.030673	0.0239626	0.034432	0.031121	0.0317249	0.0250394	0.0361142	0.0330425	0.0335106	0.0268924	0.0377507	0.0347037	0.0354082	0.0288431	0.0396936	0.0365585	0.0373417	0.0307525	0.0	0.00753484	0.013834	0.0129835	0.0505605	0.0473329	0.0480616	0.0419097	0.0326777	0.0289914	0.0296872	0.0229538	
oyster_0.01_2x_1	0.0301904	0.0251169	0.0245023	0.0187678	0.0312757	0.0261191	0.0255546	0.019825	0.0330824	0.028061	0.027398	0.0216704	0.0347402	0.0298017	0.0292432	0.0235202	0.0365571	0.0316521	0.0311399	0.0255376	0.00753484	0.0	0.0052868	0.00705742	0.0472957	0.042642	0.0420548	0.0368224	0.0293809	0.0240906	0.0235943	0.0177471	
oyster_0.01_4x_1	0.0309541	0.0247154	0.0231252	0.0182357	0.0319299	0.0256898	0.0241923	0.0192328	0.0337902	0.0275975	0.0260351	0.0210619	0.0355064	0.0293666	0.0278266	0.0229247	0.0372238	0.0311033	0.0295681	0.0248237	0.013834	0.0052868	0.0	0.00613119	0.0480346	0.0420122	0.0404759	0.0360134	0.0301543	0.0236849	0.0222188	0.0171913	
oyster_0.01_8x_1	0.0243266	0.018879	0.0181451	0.0123657	0.0253781	0.0199518	0.019199	0.0133953	0.0272411	0.0218852	0.0211435	0.0153555	0.0290034	0.0237137	0.022983	0.017307	0.0307896	0.0255811	0.0249209	0.0192432	0.0129835	0.00705742	0.00613119	0.0	0.0419238	0.0368752	0.0361904	0.0308662	0.0234065	0.0178488	0.0171798	0.0113238	
oyster_0.02_1x_1	0.0426439	0.0393277	0.0399967	0.0335811	0.0435302	0.0403416	0.0410346	0.0345571	0.0454584	0.0422973	0.0429419	0.0363674	0.0468598	0.0436928	0.0445277	0.0381805	0.0484682	0.0454849	0.0464312	0.0400032	0.0505605	0.0472957	0.0480346	0.0419238	0.0	0.00756075	0.0138421	0.013155	0.0416849	0.0384817	0.0390863	0.0327063	
oyster_0.02_2x_1	0.0395188	0.0345713	0.0339257	0.0284847	0.0402706	0.0355455	0.0349866	0.0294918	0.0421811	0.0373125	0.036801	0.0312255	0.0438411	0.0388644	0.0384587	0.0330509	0.045542	0.0407755	0.0403003	0.0348906	0.0473329	0.042642	0.0420122	0.0368752	0.00756075	0.0	0.00527799	0.00703789	0.0387217	0.033734	0.033074	0.0275318	
oyster_0.02_4x_1	0.0403714	0.034166	0.0325898	0.0280197	0.0412981	0.0351387	0.0335526	0.0289713	0.0430637	0.0369726	0.0353693	0.030734	0.0447147	0.0385001	0.0369841	0.0325188	0.0463889	0.0403399	0.0388317	0.0342756	0.0480616	0.0420548	0.0404759	0.0361904	0.0138421	0.00527799	0.0	0.00591975	0.0395876	0.0333371	0.0316805	0.027088	
oyster_0.02_8x_1	0.0338353	0.0286009	0.0277724	0.0222924	0.0347415	0.0295196	0.0287843	0.0232836	0.0365754	0.0314293	0.0306491	0.0251612	0.0384037	0.03308	0.0323446	0.0269699	0.04008	0.03498	0.0342539	0.0288241	0.0419097	0.0368224	0.0360134	0.0308662	0.013155	0.00703789	0.00591975	0.0	0.0330328	0.0276853	0.0268143	0.0213035	
oyster_0.0_1x_1	0.0241263	0.0207098	0.0213931	0.0143455	0.0251119	0.0217286	0.0224194	0.0154401	0.027033	0.0236873	0.024436	0.0174323	0.0286622	0.0255964	0.0263943	0.0194548	0.0303462	0.0272614	0.0282165	0.02125	0.0326777	0.0293809	0.0301543	0.0234065	0.0416849	0.0387217	0.0395876	0.0330328	0.0	0.00736691	0.0137021	0.0127344	
oyster_0.0_2x_1	0.020593	0.0154084	0.0149156	0.00879624	0.0215288	0.0165237	0.0160274	0.00989836	0.0234686	0.0183894	0.0179442	0.0118474	0.0253207	0.0202794	0.0199007	0.0139008	0.0269827	0.0222051	0.0218075	0.0157717	0.0289914	0.0240906	0.0236849	0.0178488	0.0384817	0.033734	0.0333371	0.0276853	0.00736691	0.0	0.0053656	0.0071856	
oyster_0.0_4x_1	0.0213138	0.0149623	0.0135044	0.00813432	0.0221835	0.0159026	0.0145682	0.0091963	0.0241199	0.017903	0.0165168	0.0111515	0.0260473	0.0197977	0.0184706	0.0131511	0.0277449	0.0216655	0.0203531	0.0150882	0.0296872	0.0235943	0.0222188	0.0171798	0.0390863	0.033074	0.0316805	0.0268143	0.0137021	0.0053656	0.0	0.0065674	
oyster_0.0_8x_1	0.0142473	0.0088151	0.00812718	0.0019633	0.0152218	0.00984241	0.00920332	0.00306003	0.0171119	0.0118877	0.011234	0.00511421	0.0191108	0.0138214	0.0132282	0.00717256	0.0208696	0.0157939	0.0152586	0.00919597	0.0229538	0.0177471	0.0171913	0.0113238	0.0327063	0.0275318	0.027088	0.0213035	0.0127344	0.0071856	0.0065674	0.0	
