sample	nematode_0.001_1x_1	nematode_0.001_2x_1	nematode_0.001_4x_1	nematode_0.001_8x_1	nematode_0.002_1x_1	nematode_0.002_2x_1	nematode_0.002_4x_1	nematode_0.002_8x_1	nematode_0.004_1x_1	nematode_0.004_2x_1	nematode_0.004_4x_1	nematode_0.004_8x_1	nematode_0.006_1x_1	nematode_0.006_2x_1	nematode_0.006_4x_1	nematode_0.006_8x_1	nematode_0.008_1x_1	nematode_0.008_2x_1	nematode_0.008_4x_1	nematode_0.008_8x_1	nematode_0.01_1x_1	nematode_0.01_2x_1	nematode_0.01_4x_1	nematode_0.01_8x_1	nematode_0.02_1x_1	nematode_0.02_2x_1	nematode_0.02_4x_1	nematode_0.02_8x_1	nematode_0.0_1x_1	nematode_0.0_2x_1	nematode_0.0_4x_1	nematode_0.0_8x_1
nematode_0.001_1x_1	0.0	0.0	0.0	0.0	0.0030771375783392387	0.003099690302567482	0.0029629762045803878	0.002937027434423991	0.004774273565789825	0.004898017241735213	0.004722353730820186	0.004673464921864481	0.006753157085506779	0.006767286832461672	0.006836386601955648	0.006587419176235957	0.00869208768831155	0.008832562016525413	0.008634843448260763	0.008745593109839973	0.010786891214260772	0.011005849615172588	0.010811930014546431	0.010909544176540501	0.02128690310131024	0.02091898000575877	0.020533837250420572	0.020600022233475426	0.0010443402462532812	0.001028344923677774	0.0009417669118172377	0.0009514085391809265
nematode_0.001_2x_1	0.0	0.0	0.0	0.0	0.0029950691307440336	0.0031968006963991914	0.0031727242689487557	0.0031321198070593226	0.004869620013556447	0.005109228768415899	0.004981007669431325	0.004953360275304769	0.0068579230045188976	0.007026239837215474	0.006956231357259391	0.006924094701922445	0.008697249152717398	0.00905713021382915	0.008903155470425056	0.00908289679779557	0.010805807993606793	0.01093018923074044	0.010853405132860518	0.0109305709481235	0.02111784783682666	0.020818848945443558	0.020588121194732627	0.0207104489582257	0.0009848224669141332	0.001039098661058224	0.0010762473025395414	0.0011383088267599452
nematode_0.001_4x_1	0.0	0.0	0.0	0.0	0.0029037770791409965	0.00304046763750481	0.002990145853056262	0.0030210516438764112	0.004929007347024095	0.0049596512903243685	0.004853346377826066	0.004858510706956617	0.006861481684474604	0.006816159903119323	0.006716189273537043	0.006745640282396121	0.008673312641328047	0.008841301956733503	0.00867831725707384	0.008809098427575181	0.01076344492205711	0.010854947525926676	0.010811748594030886	0.010851126272624809	0.020969206647150535	0.020615732540079274	0.020604739775517966	0.02059675624457445	0.001061076138968747	0.0010240753186077194	0.0009851630048861415	0.001039854551912058
nematode_0.001_8x_1	0.0	0.0	0.0	0.0	0.0029069538548863226	0.003073406665374267	0.003030899284823854	0.003106132718983285	0.004972640574597873	0.005034650206618988	0.004935097324430837	0.004878729455723626	0.006944399380189889	0.006917553421975275	0.006881994971480971	0.006848697656555076	0.008795027545314934	0.009005926712661668	0.00880612317575954	0.00882378456126105	0.010903596473935129	0.01096356285440864	0.010936294936711324	0.010889862448574499	0.021070316626286313	0.02065746709985856	0.020657340960937215	0.020646230374403836	0.0009739559574702004	0.0010535038357314668	0.001073609263466068	0.0010426869572724526
nematode_0.002_1x_1	0.0030775280284596677	0.0031200661076720643	0.0030824687263559442	0.0030560241594113154	0.0	0.0	0.0	0.0	0.005663603170620949	0.006031682183721675	0.005913924477181586	0.00578751260700373	0.0077858809187416715	0.007865520429512595	0.007837443470665548	0.007607159000770525	0.009578298361324669	0.009705920634431276	0.009713664785220613	0.009737713134416865	0.011640651363521553	0.011876548075116383	0.011739005373869226	0.011808798920597812	0.02216628949969892	0.02172463877585614	0.02145763778016502	0.021416505011318324	0.0021260494851724904	0.002154234753979967	0.0020545359262883456	0.002010377883913875
nematode_0.002_2x_1	0.0029753197392035306	0.0031962570715619006	0.003099021098450284	0.0031027582400780674	0.0	0.0	0.0	0.0	0.005940008163567166	0.006017794443491305	0.0059350685943318415	0.005919864563460024	0.007900749821399874	0.007977023635774115	0.007816421682811929	0.007826785445620885	0.009719207688324712	0.00995178164855024	0.009659736472801404	0.009870213649833953	0.011807664753314953	0.011819711133134752	0.011763008071843838	0.01176958404131407	0.02218855408258291	0.02175599281482744	0.021515677987309596	0.02164883573543648	0.002085434586713713	0.0021092267917595126	0.0020518451823039966	0.0021066888069329937
nematode_0.002_4x_1	0.002791978406837518	0.0031130192280873514	0.002990817449956846	0.003003484560862414	0.0	0.0	0.0	0.0	0.005809395921799489	0.00587108627701666	0.005835146224194045	0.0058350857926838156	0.007834135558380497	0.007855538298023781	0.007745754066929143	0.007697507521784916	0.009550199526144183	0.009804004875649896	0.009659084769993179	0.00977860204550973	0.011752284894876595	0.011838843878571573	0.011757340235307666	0.011797097628808555	0.021901801920591744	0.02150695027517572	0.02145186789688903	0.021444324925912143	0.0019311413453627772	0.0020299817035781885	0.001996424932838351	0.0020670445309683857
nematode_0.002_8x_1	0.0027945595886926388	0.0031027048321420354	0.003049996963676806	0.0031068214018343276	0.0	0.0	0.0	0.0	0.005856494444582105	0.005936873308792726	0.005936438999887905	0.005894238110474324	0.007894601832917092	0.007847195845264238	0.007892612320017698	0.007890931604796323	0.009599882261493798	0.00987507660181593	0.009776621048115042	0.00977326482200186	0.01176350673398834	0.011869884017259405	0.011901471616554327	0.011891085130069652	0.0220158258607967	0.021669973287914267	0.02166305413094087	0.021631909491856734	0.001923850624991272	0.0020737915652394657	0.002095760694882069	0.0020979703076164963
nematode_0.004_1x_1	0.004774491113881926	0.005068671329958454	0.00522518396351162	0.005221449182397947	0.005663180574771985	0.006181191024377076	0.006153609456825133	0.006145068046229263	0.0	0.0	0.0	0.0	0.009617721137261377	0.00995925464910581	0.009790784075835833	0.009899934150035199	0.011534975530546623	0.011787522710502346	0.011558558295609561	0.011834370495056937	0.013698805043450637	0.013941912497670756	0.013740568869893794	0.013929625998595168	0.023642277455265297	0.0233729744379721	0.023265823617876238	0.023316931255795988	0.0039001733198161356	0.004140046003031192	0.00411945312700684	0.004227570697613152
nematode_0.004_2x_1	0.004705090099095171	0.005108734632093329	0.00505351700329877	0.005082297710597287	0.005795981131023531	0.006018184873670401	0.005979711173843118	0.005991105272821894	0.0	0.0	0.0	0.0	0.009621241389088505	0.009700428329397099	0.009768654640430013	0.009648910430691014	0.011574335150575306	0.011732587669816172	0.01159930248042258	0.011788126541421058	0.013601903640712504	0.013532161350222002	0.013591915778500037	0.013701886169300249	0.023671941001026646	0.0232233144716603	0.02315158683015223	0.023231079449579625	0.003779450151373416	0.003997998533046195	0.003987586571821781	0.004112048674542573
