sample	nematode_0.001_1x_1	nematode_0.001_2x_1	nematode_0.001_4x_1	nematode_0.001_8x_1	nematode_0.002_1x_1	nematode_0.002_2x_1	nematode_0.002_4x_1	nematode_0.002_8x_1	nematode_0.004_1x_1	nematode_0.004_2x_1	nematode_0.004_4x_1	nematode_0.004_8x_1	nematode_0.006_1x_1	nematode_0.006_2x_1	nematode_0.006_4x_1	nematode_0.006_8x_1	nematode_0.008_1x_1	nematode_0.008_2x_1	nematode_0.008_4x_1	nematode_0.008_8x_1	nematode_0.01_1x_1	nematode_0.01_2x_1	nematode_0.01_4x_1	nematode_0.01_8x_1	nematode_0.02_1x_1	nematode_0.02_2x_1	nematode_0.02_4x_1	nematode_0.02_8x_1	nematode_0.0_1x_1	nematode_0.0_2x_1	nematode_0.0_4x_1	nematode_0.0_8x_1	
nematode_0.004_8x_1	0.0183197	0.0127563	0.0117542	0.00602079	0.0193834	0.0137195	0.0127715	0.00701123	0.0135921	0.00764264	0.00655992	0.0	0.0232342	0.0176011	0.0166467	0.0109748	0.0251838	0.0195434	0.0185462	0.0129976	0.0272475	0.0215121	0.0206274	0.0150363	0.0370402	0.0315172	0.0303751	0.024983	0.0174846	0.0117174	0.0106808	0.00497334	
nematode_0.006_1x_1	0.0302639	0.0266015	0.0270211	0.0203923	0.0313014	0.0276796	0.028061	0.0213903	0.03312	0.0295206	0.0297048	0.0232342	0.0	0.019787	0.0202158	0.0136686	0.0369726	0.0333445	0.033627	0.0273645	0.0390502	0.0352317	0.0355685	0.0291924	0.0482471	0.0446653	0.0449828	0.0387557	0.0294178	0.0256966	0.0259993	0.0193766	
nematode_0.006_2x_1	0.0265128	0.0212939	0.0203465	0.0146097	0.0275703	0.0222513	0.0214138	0.0156457	0.0295547	0.0240265	0.0232114	0.0176011	0.019787	0.0	0.0131576	0.00758968	0.0331285	0.0278828	0.0269425	0.0216194	0.0351267	0.0296924	0.0289632	0.0234817	0.0448216	0.0393705	0.0384266	0.0330667	0.0256478	0.0202119	0.0194163	0.0136419	
nematode_0.006_4x_1	0.0270385	0.0205329	0.0186829	0.0138092	0.0279851	0.0213834	0.0197161	0.0147686	0.0297986	0.0233141	0.0216208	0.0166467	0.0202158	0.0131576	0.0	0.00652975	0.0335316	0.027066	0.0253375	0.0205811	0.0353747	0.0289723	0.0273357	0.0224522	0.0450888	0.0385353	0.036901	0.0320499	0.0260229	0.0195384	0.0177993	0.0128091	
nematode_0.006_8x_1	0.0204034	0.0148049	0.0137477	0.00805354	0.0214006	0.015758	0.0147663	0.00905235	0.0232988	0.017632	0.0166291	0.0109748	0.0136686	0.00758968	0.00652975	0.0	0.0271092	0.0215532	0.0204796	0.0150581	0.0291285	0.0234725	0.0224785	0.0169932	0.0388131	0.0331796	0.0321625	0.0268125	0.0194878	0.0137764	0.0127184	0.00703703	
nematode_0.008_1x_1	0.0321985	0.0284455	0.0288231	0.0222816	0.0331079	0.0295083	0.0297777	0.0232061	0.035046	0.0314789	0.0316521	0.0251838	0.0369726	0.0331285	0.0335316	0.0271092	0.0	0.0197061	0.0200711	0.0136601	0.0406311	0.0370431	0.0374118	0.0310369	0.050125	0.0465032	0.0468297	0.0406412	0.0313518	0.0274793	0.0278351	0.0212363	
nematode_0.008_2x_1	0.0285575	0.0233118	0.0223424	0.0167288	0.0294209	0.0242226	0.0233438	0.0177245	0.0314035	0.0260569	0.0251695	0.0195434	0.0333445	0.0278828	0.027066	0.0215532	0.0197061	0.0	0.0131273	0.00762257	0.0371181	0.0316044	0.0309916	0.0253924	0.0467054	0.041405	0.0404643	0.0350486	0.0276928	0.0222275	0.0214165	0.0157131	
nematode_0.008_4x_1	0.0288461	0.0224778	0.0206281	0.0157292	0.0298655	0.0232395	0.0216215	0.0166706	0.031593	0.025167	0.0234817	0.0185462	0.033627	0.0269425	0.0253375	0.0204796	0.0200711	0.0131273	0.0	0.00644046	0.0372238	0.030841	0.0292666	0.0243387	0.0467868	0.0403647	0.0387588	0.033883	0.0279573	0.0213029	0.0196865	0.0147448	
nematode_0.008_8x_1	0.0223526	0.0168506	0.0157141	0.0100859	0.0233408	0.0177562	0.0167304	0.0110923	0.0252114	0.0196355	0.0186019	0.0129976	0.0273645	0.0216194	0.0205811	0.0150581	0.0136601	0.00762257	0.00644046	0.0	0.0310236	0.0253958	0.0245412	0.0189697	0.0407351	0.0352171	0.0341228	0.0287465	0.0214553	0.0156768	0.014685	0.00905268	
nematode_0.01_1x_1	0.0342181	0.0304858	0.0308345	0.024333	0.0351015	0.0315342	0.0318954	0.0253274	0.0371398	0.0334551	0.0337627	0.0272475	0.0390502	0.0351267	0.0353747	0.0291285	0.0406311	0.0371181	0.0372238	0.0310236	0.0	0.0198956	0.0201284	0.0137164	0.0521222	0.0484522	0.048719	0.0425694	0.0332576	0.0295227	0.0298519	0.0233537	
