sample	rotifer_0.001_1x	rotifer_0.001_2x	rotifer_0.001_4x	rotifer_0.001_8x	rotifer_0.002_1x	rotifer_0.002_2x	rotifer_0.002_4x	rotifer_0.002_8x	rotifer_0.004_1x	rotifer_0.004_2x	rotifer_0.004_4x	rotifer_0.004_8x	rotifer_0.006_1x	rotifer_0.006_2x	rotifer_0.006_4x	rotifer_0.006_8x	rotifer_0.008_1x	rotifer_0.008_2x	rotifer_0.008_4x	rotifer_0.008_8x	rotifer_0.01_1x	rotifer_0.01_2x	rotifer_0.01_4x	rotifer_0.01_8x	rotifer_0.02_1x	rotifer_0.02_2x	rotifer_0.02_4x	rotifer_0.02_8x	rotifer_0.0_1x	rotifer_0.0_2x	rotifer_0.0_4x	rotifer_0.0_8x
rotifer_0.01_1x	0.01087	0.01099	0.01092	0.0	0.01169	0.0119	0.01186	0.00055	0.01372	0.01398	0.0138	0.00277	0.01557	0.01574	0.01554	0.00458	0.01764	0.01765	0.01756	0.00645	0.0	0.0	0.0	0.0	0.02906	0.02894	0.02898	0.01827	0.00989	0.01003	0.01002	0.0
rotifer_0.01_2x	0.01066	0.01077	0.01062	0.00125	0.01161	0.01159	0.01154	0.00217	0.01336	0.01372	0.01348	0.00429	0.01556	0.01559	0.0153	0.00618	0.01733	0.0175	0.01733	0.00815	0.0	0.0	0.0	0.0	0.02903	0.0288	0.02859	0.01986	0.00968	0.00975	0.00972	0.0
rotifer_0.01_4x	0.0103	0.0103	0.01015	0.00226	0.01126	0.01127	0.01111	0.00315	0.01313	0.01328	0.013	0.00522	0.01508	0.01516	0.01488	0.00709	0.0171	0.01707	0.01702	0.00912	0.0	0.0	0.0	0.0	0.02874	0.02859	0.02822	0.02086	0.00934	0.00936	0.00924	0.00129
rotifer_0.01_8x	0.0	0.0011	0.00229	0.0	0.0	0.00204	0.00326	0.0	0.00224	0.00419	0.00526	0.0	0.00435	0.00613	0.00723	0.0	0.00639	0.00811	0.00939	0.00144	0.0	0.0	0.0	0.0	0.01855	0.01998	0.02101	0.01346	0.0	0.0	0.00134	0.0
rotifer_0.02_1x	0.02066	0.02112	0.0211	0.01011	0.02186	0.02196	0.02194	0.01102	0.02376	0.02422	0.02384	0.01308	0.02546	0.02579	0.02564	0.01484	0.02755	0.02756	0.0276	0.01686	0.02906	0.02941	0.02921	0.01873	0.0	0.0	0.0	0.0	0.02016	0.02017	0.02024	0.00913
rotifer_0.02_2x	0.02015	0.02034	0.02031	0.01124	0.02113	0.02132	0.0212	0.01217	0.02296	0.02333	0.02307	0.01421	0.02487	0.02528	0.02498	0.01599	0.02692	0.02695	0.02696	0.01791	0.02856	0.02881	0.02869	0.01992	0.0	0.0	0.0	0.0	0.01947	0.0195	0.01943	0.01032
rotifer_0.02_4x	0.01984	0.02007	0.02	0.01237	0.02092	0.02098	0.02105	0.01328	0.02288	0.02298	0.02273	0.01528	0.02455	0.02477	0.02454	0.01698	0.02649	0.02651	0.02646	0.0189	0.02852	0.02851	0.02823	0.02089	0.0	0.0	0.0	0.0	0.01924	0.01925	0.01909	0.01136
rotifer_0.02_8x	0.00915	0.01112	0.01236	0.0046	0.01032	0.01208	0.01331	0.00553	0.01217	0.01428	0.0152	0.00764	0.01408	0.01607	0.01713	0.00946	0.01619	0.01787	0.01914	0.01148	0.0181	0.01993	0.021	0.01346	0.0	0.0	0.0	0.0	0.0085	0.01021	0.01137	0.00358
rotifer_0.0_1x	0.00109	0.0009	0.00084	0.0	0.00191	0.00179	0.00177	0.0	0.00406	0.00418	0.0038	0.0	0.00592	0.00579	0.00566	0.0	0.00805	0.00799	0.00782	0.0	0.00989	0.00982	0.00949	0.0	0.02016	0.01973	0.01956	0.00857	0.0	0.0	0.0	0.0
rotifer_0.0_2x	0.00096	0.00076	0.00059	0.0	0.00191	0.00179	0.0016	0.0	0.00391	0.0039	0.00353	0.0	0.00591	0.00568	0.00554	0.0	0.00794	0.00776	0.00763	0.0	0.0099	0.00976	0.0094	0.0	0.01991	0.0195	0.01932	0.01018	0.0	0.0	0.0	0.0
rotifer_0.0_4x	0.00076	0.00064	0.00043	0.0	0.00178	0.00163	0.00139	0.0	0.00371	0.00382	0.00338	0.0	0.00588	0.00561	0.00523	0.0	0.0078	0.00759	0.00741	0.0	0.00986	0.00968	0.00924	0.00134	0.01991	0.01936	0.01908	0.0113	0.0	0.0	0.0	0.0
rotifer_0.0_8x	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013	0.0	0.00906	0.01036	0.01144	0.00359	0.0	0.0	0.0	0.0
