sample	rotifer_0.05_1x_1	rotifer_0.05_2x_1	rotifer_0.05_4x_1	rotifer_0.05_8x_1	rotifer_0.0_1x_1	rotifer_0.0_2x_1	rotifer_0.0_4x_1	rotifer_0.0_8x_1	rotifer_0.15_1x_1	rotifer_0.15_2x_1	rotifer_0.15_4x_1	rotifer_0.15_8x_1	rotifer_0.1_1x_1	rotifer_0.1_2x_1	rotifer_0.1_4x_1	rotifer_0.1_8x_1	rotifer_0.2_1x_1	rotifer_0.2_2x_1	rotifer_0.2_4x_1	rotifer_0.2_8x_1
rotifer_0.05_1x_1	0.0	0	0	9.91969157537742e-06	0.047017772483119225	0.048309583456385474	0.04823481163399168	0.04879721635894907	0.17838935878855233	0.17555357525116566	0.17358332082107697	0.17726087689869496	0.13266712182820783	0.1347427631832966	0.13424653888953775	0.13448495890433387	0.22044654459529878	0.21765825696374297	0.21797132867171154	0.22094886834414096
rotifer_0.05_2x_1	0	0.0	0	0	0.04793949241642559	0.0492692146523791	0.04908553764274315	0.049690271833845	0.18040328414899176	0.1771040350881138	0.1756599900930248	0.17711532784025308	0.13619561337897845	0.1377858870802683	0.13769767865078963	0.13744023650661097	0.2218601571054717	0.22081157189089862	0.2219443338270194	0.2244016513158289
rotifer_0.05_4x_1	0	0	0.0	0	0.04830726003056629	0.04907960862065064	0.04909245335651613	0.04965866527338847	0.1792637517610599	0.17622816138916542	0.174173843658179	0.1759752756035322	0.13667190297878462	0.13813763047505845	0.13729738997895624	0.1376454902649391	0.2179087971898268	0.22188988212102168	0.21874925220524843	0.22560823777589
rotifer_0.05_8x_1	9.91969157537742e-06	0	0	0.0	0.048411116440510105	0.049463489036632	0.049295751274705646	0.04989629833530118	0.18140599776117505	0.17766727629935564	0.1745161388373433	0.1769733607808931	0.13669234957173015	0.13847604189023355	0.13742884565427427	0.1381645838988257	0.21921478463706456	0.22126362988373216	0.22252549509936992	0.22660332640626168
rotifer_0.0_1x_1	0.047017772483119225	0.04793949241642559	0.04830726003056629	0.048411116440510105	0.0	0	0	0	0.14626545071384978	0.14289345724575686	0.14177585754798816	0.143086527093919	0.0957073562921067	0.09640900958975163	0.0959919032057236	0.09622612680769937	0.20317512178811914	0.19410156010455726	0.19286370025730215	0.19507512802256466
rotifer_0.0_2x_1	0.048309583456385474	0.0492692146523791	0.04907960862065064	0.049463489036632	0	0.0	0	0	0.1471990706116839	0.14470292601027546	0.1446643085767516	0.1447641018033663	0.09607293617386758	0.09697994413323985	0.09711928333556175	0.09680671445336753	0.19796774408746642	0.19080303916711683	0.1931497597727616	0.1946444086073228
rotifer_0.0_4x_1	0.04823481163399168	0.04908553764274315	0.04909245335651613	0.049295751274705646	0	0	0.0	0	0.14488473099695398	0.14431574700517447	0.1443500690328472	0.1446917587508727	0.09663333428828491	0.09769696200827249	0.09751380072546811	0.097683377096906	0.20188151135170607	0.19471528386052406	0.19719324893811552	0.196181359749096
rotifer_0.0_8x_1	0.04879721635894907	0.049690271833845	0.04965866527338847	0.04989629833530118	0	0	0	0.0	0.14804880899111228	0.14586661742421292	0.14554491048433094	0.14620363655582425	0.0975162230538581	0.09882644304472177	0.0988860452816398	0.09852857226740142	0.2007690944596029	0.19319010443829066	0.1960420519217958	0.19676288527527885
rotifer_0.15_1x_1	0.17838935878855233	0.18040328414899176	0.1792637517610599	0.18140599776117505	0.14626545071384978	0.1471990706116839	0.14488473099695398	0.14804880899111228	0.0	0	0	0	0.20697480382323175	0.2140199786507676	0.2070060531367146	0.2119245680329479	0.27623000975077583	0.2797683071946361	0.2800598591540514	1.0
rotifer_0.15_2x_1	0.17555357525116566	0.1771040350881138	0.17622816138916542	0.17766727629935564	0.14289345724575686	0.14470292601027546	0.14431574700517447	0.14586661742421292	0	0.0	0	0	0.20937391062043242	0.213068538852624	0.20935316174777796	0.2104956027759658	1.0	0.28437289465279525	1.0	1.0
rotifer_0.15_4x_1	0.17358332082107697	0.1756599900930248	0.174173843658179	0.1745161388373433	0.14177585754798816	0.1446643085767516	0.1443500690328472	0.14554491048433094	0	0	0.0	3.031595597391412e-05	0.20234007637738605	0.21050561034915138	0.2035015181937393	0.2081479452479693	1.0	0.28542842318949657	0.28702185836083993	1.0
rotifer_0.15_8x_1	0.17726087689869496	0.17711532784025308	0.1759752756035322	0.1769733607808931	0.143086527093919	0.1447641018033663	0.1446917587508727	0.14620363655582425	0	0	3.031595597391412e-05	0.0	0.2042533713584458	0.2095451879265624	0.20419844670320886	0.20627345974575906	1.0	0.2892690972952606	0.29042970450537575	1.0
rotifer_0.1_1x_1	0.13266712182820783	0.13619561337897845	0.13667190297878462	0.13669234957173015	0.0957073562921067	0.09607293617386758	0.09663333428828491	0.0975162230538581	0.20697480382323175	0.20937391062043242	0.20234007637738605	0.2042533713584458	0.0	0	0	0.00014504091806522013	0.25987233888740324	0.26348857743016285	0.2540934529082277	0.2683380120362856
rotifer_0.1_2x_1	0.1347427631832966	0.1377858870802683	0.13813763047505845	0.13847604189023355	0.09640900958975163	0.09697994413323985	0.09769696200827249	0.09882644304472177	0.2140199786507676	0.213068538852624	0.21050561034915138	0.2095451879265624	0	0.0	0	0	0.24682731206533715	0.24180880401130156	0.2473535167750962	0.25139590534729805
rotifer_0.1_4x_1	0.13424653888953775	0.13769767865078963	0.13729738997895624	0.13742884565427427	0.0959919032057236	0.09711928333556175	0.09751380072546811	0.0988860452816398	0.2070060531367146	0.20935316174777796	0.2035015181937393	0.20419844670320886	0	0	0.0	3.657941235568618e-05	0.24712435774182784	0.24734753097039308	0.25441337350940496	0.2579696021442981
rotifer_0.1_8x_1	0.13448495890433387	0.13744023650661097	0.1376454902649391	0.1381645838988257	0.09622612680769937	0.09680671445336753	0.097683377096906	0.09852857226740142	0.2119245680329479	0.2104956027759658	0.2081479452479693	0.20627345974575906	0.00014504091806522013	0	3.657941235568618e-05	0.0	0.2463889794255658	0.2514012031209264	0.2526188779407271	0.2565352895583747
rotifer_0.2_1x_1	0.22044654459529878	0.2218601571054717	0.2179087971898268	0.21921478463706456	0.20317512178811914	0.19796774408746642	0.20188151135170607	0.2007690944596029	0.27623000975077583	1.0	1.0	1.0	0.25987233888740324	0.24682731206533715	0.24712435774182784	0.2463889794255658	0.0	0	0	7.383718035214315e-06
