sample	leech_0.001_1x_1	leech_0.001_2x_1	leech_0.001_4x_1	leech_0.001_8x_1	leech_0.002_1x_1	leech_0.002_2x_1	leech_0.002_4x_1	leech_0.002_8x_1	leech_0.004_1x_1	leech_0.004_2x_1	leech_0.004_4x_1	leech_0.004_8x_1	leech_0.006_1x_1	leech_0.006_2x_1	leech_0.006_4x_1	leech_0.006_8x_1	leech_0.008_1x_1	leech_0.008_2x_1	leech_0.008_4x_1	leech_0.008_8x_1	leech_0.01_1x_1	leech_0.01_2x_1	leech_0.01_4x_1	leech_0.01_8x_1	leech_0.02_1x_1	leech_0.02_2x_1	leech_0.02_4x_1	leech_0.02_8x_1	leech_0.0_1x_1	leech_0.0_2x_1	leech_0.0_4x_1	leech_0.0_8x_1
leech_0.001_1x_1	0.0	0.0	0.0	0.0	0.0024075548090756365	0.0027536203071781484	0.00270777536419906	0.002804301913723744	0.004537795300049993	0.004664265428771059	0.004752486540556445	0.004612507159155122	0.006395289742674916	0.006485018422460076	0.00652866334678043	0.006618992869908374	0.008456416318418581	0.008556880672817204	0.008731559232885362	0.008749192070297607	0.010677743469916972	0.010796419124209738	0.01072427985688964	0.010658982521799169	0.02023263407551839	0.020384024529147046	0.020470848881597094	0.020575550917384593	0.0007154599373033764	0.0007362639269148642	0.0007432384639116407	0.000839525207328442
leech_0.001_2x_1	0.0	0.0	0.0	0.0	0.0025156572052059383	0.0028102732525850434	0.0028208360752270713	0.0028502626997787845	0.004767109599318277	0.004786907384957498	0.004932569778122315	0.004693500645398378	0.006620535065695625	0.006529225115541864	0.00668855811856643	0.0066518275837914535	0.008456253062573	0.00868493213195526	0.008848067466962624	0.008852513699552969	0.010755982813949147	0.010880701678785125	0.010879399950832315	0.010687505260552881	0.02043109616666091	0.02045094037847204	0.020487386998001123	0.020553254916369768	0.0007947959809370669	0.0008283560115129344	0.0008544096735263672	0.0008503999802254652
leech_0.001_4x_1	0.0	0.0	0.0	0.0	0.0026730561550592892	0.0028543716660199203	0.0028804799989461324	0.002916355046478206	0.004695703181193595	0.004887555006960224	0.004893953636364828	0.004735312891353278	0.006494268031769443	0.006644249328663674	0.006713224646103702	0.006715581016508251	0.008585471591355266	0.008738998514113845	0.008870070555495834	0.008858041661520336	0.010710448647926574	0.010822128513158063	0.010764011050174037	0.010685925285686392	0.020491373123798146	0.02059616080078143	0.02065752806211276	0.02054632339679571	0.0007342586978531473	0.0008305510406104446	0.000881304905377633	0.000861197951045962
leech_0.001_8x_1	0.0	0.0	0.0	0.0	0.0028156345176122877	0.003026937595036217	0.003012061992979348	0.0029948391499456345	0.004843701120471295	0.005058638703801142	0.005065188678420841	0.004876768603446181	0.0067439336155960755	0.0067575456327212255	0.00680433062537361	0.006810120764317631	0.008729216742965213	0.008877012010577475	0.0089813813035169	0.008908997365945517	0.010870146872070796	0.010971157108414162	0.010936182211572693	0.010790985756338481	0.020552490470215387	0.020870950461207478	0.020789512715897063	0.020751758215137327	0.0009088476049190009	0.0009236553817908531	0.000994413407656775	0.001004391484836296
leech_0.002_1x_1	0.00240742485679309	0.002535269644818297	0.002695924507257374	0.002821320301772437	0.0	0.0	0.0	0.0	0.005663170553608405	0.005811974257164763	0.005752604894495839	0.005672783284027049	0.007586187077507783	0.0074878011564817925	0.007556676578651836	0.00760341153212104	0.009669989754038202	0.00984536564284042	0.009957400303665303	0.00989212866733056	0.011558164818992488	0.01146111847844107	0.011555827528152986	0.011507013928052269	0.021519523155454027	0.02155639300100008	0.021608408316719372	0.021722879894946354	0.0016135214862864223	0.0017548033128915773	0.0016381555764157787	0.0018672523798947875
leech_0.002_2x_1	0.002732319751327598	0.0028104342367247766	0.002859830936997363	0.003018705513327862	0.0	0.0	0.0	0.0	0.005774569127998226	0.005974550625725317	0.005952662766394332	0.00584787385874825	0.007768346635695144	0.007692479846438924	0.007836969439312155	0.007793941065499671	0.009646743530201807	0.009843768015027296	0.010013369547119148	0.009977517419340184	0.011699786377374108	0.011693953802314756	0.011826578742023024	0.011750717442042065	0.021302885665152843	0.021495329280931327	0.021580746081345945	0.02169423839835771	0.0018096591906404647	0.001823786705967047	0.0018790069895721574	0.0019579452657045963
leech_0.002_4x_1	0.0026847945582693833	0.0028156748632977746	0.0028805470571652914	0.003001049632251275	0.0	0.0	0.0	0.0	0.005636779846375822	0.005936203692669817	0.005937753209498683	0.005824642574815425	0.007686063992763836	0.007726692013705875	0.007842951052192113	0.007813720116050995	0.00955499730966741	0.009812948352354602	0.009910951417187217	0.009932153063001934	0.011644785345278257	0.011769321791953785	0.011770304622795909	0.011662347213208451	0.021429942964167423	0.021645653559540425	0.021785696045861537	0.021694717995371933	0.0016865835312607276	0.001795170867629095	0.0019252042636577226	0.00196345441212444
leech_0.002_8x_1	0.002797888675655182	0.002857697103637845	0.0029266931273273867	0.0029944185110709906	0.0	0.0	0.0	0.0	0.005730076991336741	0.006043177520512029	0.00603014953281552	0.005772591670461329	0.007796905309055859	0.007771346386109984	0.007796275236099607	0.0077433463110030375	0.009641567311906156	0.009890490118256077	0.009969053994196219	0.009898441844331588	0.011799124698502342	0.011874779103160909	0.01187952794791369	0.011707243056220154	0.021467915669698658	0.02184058207381635	0.021711542566331555	0.02171694499672694	0.001882050840755718	0.0018971117363342825	0.0019573879376037907	0.0019686215771888
leech_0.004_1x_1	0.004538066678255046	0.004805783737016232	0.004737796317489405	0.004855926317658692	0.00566377704525292	0.005821404336317664	0.005687729962975858	0.005746682819314285	0.0	0.0	0.0	0.0	0.009381739980812886	0.009426039968090487	0.009508096272686856	0.009495697599500384	0.011418637025615623	0.011618548789897166	0.0116460085320628	0.011638492169111612	0.013523174456495682	0.013725902099334285	0.013660360883945476	0.013658450400137752	0.02298024182054665	0.023238895683746284	0.023124660137906646	0.02309553847583596	0.003599577280517129	0.003816640340456472	0.003816211712545372	0.0038533759831262835
leech_0.004_2x_1	0.004627429710182079	0.004787261986109407	0.004897495081071252	0.005045860817966499	0.0057658556663852415	0.005974660635952757	0.005948350067103023	0.006029403825004918	0.0	0.0	0.0	0.0	0.009717712660101636	0.009617803586507018	0.009745867107672156	0.009742669146154747	0.01143973724282538	0.011675670552470027	0.011935480972030137	0.011951887134728011	0.013765072065736225	0.013699547124423356	0.01375715811637906	0.013721956841451756	0.023368365323380737	0.023386837172482966	0.023540305087276073	0.02365830951068384	0.0037192444987080844	0.003833732185635941	0.003947422468956605	0.003984926067616918
leech_0.004_4x_1	0.004711085155027091	0.004923370084404958	0.0048943734943574235	0.005047280987708889	0.005702031869241642	0.005941045788029841	0.005938123881936602	0.006009857104077509	0.0	0.0	0.0	0.0	0.009685299579475122	0.009649421663998842	0.009658161204002239	0.009688186778680065	0.011534413935554256	0.011773707823729293	0.011795393635331065	0.011884446995643378	0.013714379001177097	0.013780649583230518	0.013736159018813282	0.013696945309414664	0.023325019635139183	0.02345814153450854	0.02357708068746008	0.023490302397018683	0.003773530433743775	0.003909194002843166	0.003968456825246077	0.003986869499799787
leech_0.004_8x_1	0.0046002661846641976	0.004704984260994201	0.00475186771192385	0.00487611859812239	0.005656967827970614	0.005861435234617336	0.005844717367265933	0.005772625906515974	0.0	0.0	0.0	0.0	0.0095613146719916	0.009532411568968743	0.009550411041965422	0.009509305432385139	0.01132833760173379	0.011629985236358881	0.011723685393003202	0.011667277249775258	0.013585912860269148	0.013673270774982121	0.013637742861936543	0.013507040654715084	0.02317423699207505	0.023464789905356855	0.02336528659482474	0.02332732275660495	0.0036673868888374758	0.003731339778700102	0.003847037741561691	0.0038203590633602794
leech_0.006_1x_1	0.006395901554415111	0.00667517196891757	0.006553925214180769	0.006763028523797613	0.007587252867885314	0.007832287929933533	0.007757115165271971	0.007821707607514647	0.009382079561418904	0.009797935969185687	0.009774972153636033	0.009593098976392959	0.0	0.0	0.0	0.0	0.01324791227389188	0.013623858093738936	0.013576157473593585	0.013507331903816927	0.01566996081063793	0.015621603681321731	0.01563690896383523	0.015450708754606966	0.024778583368965847	0.025077748843906414	0.025232602578794644	0.02514722012342972	0.005439705532699476	0.005869596456211673	0.005750541312811805	0.00574197437757347
leech_0.006_2x_1	0.006433583919373071	0.006530115553203327	0.006658539162639735	0.006741579500093322	0.0074283687882715456	0.0076931044216119494	0.007743318671764235	0.007754777734924285	0.00934991545067811	0.00961839936952679	0.009669828265228053	0.009512714533998875	0.0	0.0	0.0	0.0	0.013410261384681712	0.013478123366406027	0.013650778264924845	0.013597099928446734	0.015723075807773837	0.015552587370469027	0.0156540906512226	0.015500025149834814	0.02501525789916355	0.025138208651774584	0.025243154478241984	0.025305634781633057	0.005523096484366917	0.005574419662142046	0.005744486280719925	0.005705806239693584
leech_0.006_4x_1	0.006471101544031344	0.006676098829543448	0.006714165981702407	0.006780909379465388	0.007489685205371019	0.007821762899318034	0.007843867230935149	0.0077707279915174765	0.009422017244524988	0.009726439973831963	0.009658688974201085	0.009519333634904273	0.0	0.0	0.0	0.0	0.013315976400503237	0.013516578811053172	0.01358974294345029	0.01361584837681498	0.015614230371551916	0.015627026765348776	0.015623139416429276	0.015491531580640032	0.02515883157175062	0.02533032719304226	0.025372210938566443	0.025234249841439335	0.005635189902446848	0.00562474071318928	0.005786532288373126	0.005752017985833402
leech_0.006_8x_1	0.006597717613441054	0.006665869732794635	0.006737619272888806	0.0068081580450314785	0.0075783913118806865	0.00780958918082403	0.007839025853225863	0.007742188302607092	0.009462129820442254	0.009761312372804068	0.009718701202268453	0.009507836378201585	0.0	0.0	0.0	0.0	0.013332273786139479	0.01349315769563652	0.013689814862760642	0.013604342650720707	0.01562570136502714	0.015789691718533342	0.015619975629788372	0.015419290328048244	0.025070185721533814	0.02544240156186978	0.025266182912905277	0.025242005895673325	0.005672784771157244	0.005669825231836366	0.005833547113711023	0.005780100652799581
leech_0.008_1x_1	0.008457247539511768	0.008526624591320659	0.008665653036966883	0.008755780906763681	0.009671363153294602	0.009726631425113477	0.009644355635544296	0.009673819793620943	0.011419106448282737	0.011534411670700658	0.011641933587013894	0.01136727742540054	0.013247989422665753	0.01352015195450221	0.013439324118362211	0.013382539096898568	0.0	0.0	0.0	0.0	0.017369331038927793	0.0175566761030063	0.017545319481894552	0.017480353224150865	0.02684998071870258	0.027076696788072247	0.027111148812439333	0.02702877464284268	0.007638717163263942	0.007627701040874221	0.0077179117407466516	0.007751594555911997
leech_0.008_2x_1	0.00848827829608949	0.008686050360922041	0.008758190608415001	0.008856911310554367	0.009766520754950579	0.009844508124763894	0.009834408715000896	0.00987021273499567	0.011524361947886544	0.011676333467477654	0.01179884914397223	0.011606642164134156	0.013513115562933019	0.013478069399450085	0.013544689639565498	0.013469233871454054	0.0	0.0	0.0	0.0	0.017399742044335885	0.01759268629339059	0.01761071244862223	0.01757540312917594	0.026938173524543026	0.027088833591938852	0.027265648326678132	0.027253389429686397	0.007657164837648039	0.007765887511253193	0.007911387892909679	0.00783792114399023
leech_0.008_4x_1	0.008653748698502467	0.00883153668581562	0.008871660216461463	0.008951178179688702	0.0098684137538158	0.009994008153841686	0.009912498778540047	0.009937121233078218	0.01154046905528556	0.01191196379478847	0.011796507494427011	0.011686321905148147	0.013452429970435381	0.013623054591867413	0.013590287592809183	0.013648668486303252	0.0	0.0	0.0	0.0	0.017598578024499104	0.017689818121916445	0.017645720889258896	0.017567242112768885	0.027132760077275907	0.027292134988733993	0.027467119275164938	0.02740044872528996	0.007854397028385552	0.007821074193764046	0.007943558797047948	0.007947915989191829
leech_0.008_8x_1	0.008717483876405729	0.008868952984710948	0.008885684060222119	0.008905436425014878	0.009855767393771357	0.009995215160478115	0.009962777284008354	0.00989585088020575	0.0115936999561372	0.011972271597979412	0.011920119597391254	0.011664171968581286	0.013454104192661995	0.013619208326100096	0.013655795736748914	0.013602817563160082	0.0	0.0	0.0	0.0	0.01763853460157181	0.017789077227519552	0.0176086728693595	0.017472801964706994	0.027037816585477246	0.0274045542486781	0.027400049188200035	0.02732496964697109	0.007822278295598076	0.007885633479154993	0.007994463834663533	0.007993861066751953
leech_0.01_1x_1	0.010680556642440565	0.010847402118988606	0.010812787737780386	0.010906268256908014	0.011561694696792553	0.011798511078920222	0.011755912943496063	0.011841559447834556	0.01352593013185054	0.013880750179816851	0.013844271262501774	0.013635454380673527	0.015672570114170552	0.01585352216669275	0.015760660705278203	0.01568711575146001	0.017372091579558456	0.017543474627997543	0.01776185484066671	0.017711009072416815	0.0	0.0	0.0	0.0	0.028698100641080297	0.02939983932146539	0.029209762568226074	0.029393521605860003	0.009610442183138775	0.009821576753624398	0.009803542267897761	0.009915262468216165
leech_0.01_2x_1	0.010709835408162326	0.010882390432637888	0.01084648010279912	0.010947375587341324	0.011369565168623757	0.011695155601245585	0.011795590198771105	0.011851393486389469	0.01361522723128412	0.013700700915814004	0.01381053271063399	0.013646709667637973	0.015495625571978276	0.01555295952159029	0.015659892949044154	0.015762468509606328	0.017415791577491263	0.017593170490152115	0.017725991358478563	0.017761055015186388	0.0	0.0	0.0	0.0	0.028917720068683032	0.02936667309853437	0.029131240789145835	0.029250943527856392	0.009741635245638001	0.009797891145084725	0.009895302479511923	0.00991680901260278
leech_0.01_4x_1	0.010628742272747623	0.01085948165559522	0.01076654826367466	0.010900320190103608	0.011452990741892476	0.01180428563829777	0.011772808641239687	0.011842414227593755	0.013537405363494572	0.013730869499147608	0.013738236310937341	0.013595289567163502	0.015495861260760002	0.015623372391649463	0.015624654196704005	0.015574099063474544	0.01738754843623623	0.017576367581709676	0.017646723233773715	0.017559210111471157	0.0	0.0	0.0	0.0	0.028915843246712866	0.0292627565851651	0.029135004909134916	0.02909179567587973	0.009723061207932548	0.009779722568785697	0.009855755649618762	0.009856108693378966
leech_0.01_8x_1	0.010618615261720112	0.010706437511412044	0.010718789358402878	0.010786510210371	0.011463321184635085	0.011770715881958138	0.011697832320547705	0.01170399170464859	0.013604553301769831	0.013744610964468917	0.013737563785906527	0.0135032298880871	0.015388907363632439	0.015524562646044654	0.015536480069812546	0.015417303693570165	0.017410399065991088	0.01760315504323484	0.017617354750875776	0.017472502056174368	0.0	0.0	0.0	0.0	0.028768730385055383	0.029338218513596394	0.02904453656727421	0.029045728803800127	0.009710605310850539	0.009756631781843658	0.009805387067514873	0.00978728754178078
