sample	club-moss_0.001_1x_1	club-moss_0.001_2x_1	club-moss_0.001_4x_1	club-moss_0.001_8x_1	club-moss_0.002_1x_1	club-moss_0.002_2x_1	club-moss_0.002_4x_1	club-moss_0.002_8x_1	club-moss_0.004_1x_1	club-moss_0.004_2x_1	club-moss_0.004_4x_1	club-moss_0.004_8x_1	club-moss_0.006_1x_1	club-moss_0.006_2x_1	club-moss_0.006_4x_1	club-moss_0.006_8x_1	club-moss_0.008_1x_1	club-moss_0.008_2x_1	club-moss_0.008_4x_1	club-moss_0.008_8x_1	club-moss_0.01_1x_1	club-moss_0.01_2x_1	club-moss_0.01_4x_1	club-moss_0.01_8x_1	club-moss_0.02_1x_1	club-moss_0.02_2x_1	club-moss_0.02_4x_1	club-moss_0.02_8x_1	club-moss_0.0_1x_1	club-moss_0.0_2x_1	club-moss_0.0_4x_1	club-moss_0.0_8x_1	
club-moss_0.01_1x_1	0.0306123	0.0280543	0.0291873	0.0223265	0.0314935	0.0289442	0.030233	0.0232532	0.0333617	0.0306188	0.0316396	0.0250286	0.0349063	0.0323388	0.0335539	0.0268978	0.0367284	0.034208	0.0353532	0.0287594	0.0	0.0185077	0.0194355	0.0127778	0.0469697	0.0445512	0.045634	0.0393817	0.0299842	0.0270522	0.0283721	0.021371	
club-moss_0.01_2x_1	0.0282514	0.0239555	0.0239476	0.0181683	0.0290932	0.0248986	0.024935	0.0190821	0.0307863	0.0266158	0.0264086	0.0207839	0.0326718	0.0281739	0.0282271	0.0226406	0.0342322	0.0298844	0.0299578	0.0243555	0.0185077	0.0	0.0131684	0.00748793	0.0448732	0.0401685	0.0400636	0.0346972	0.0274559	0.0231229	0.0230348	0.0172062	
club-moss_0.01_4x_1	0.0296478	0.024182	0.0233438	0.0183847	0.0305776	0.0250137	0.024265	0.0192229	0.0321056	0.0267004	0.0257482	0.0208073	0.0338278	0.0282805	0.0275093	0.0225238	0.0355428	0.030077	0.0292778	0.0244175	0.0194355	0.0131684	0.0	0.00684525	0.045935	0.0401439	0.0390549	0.0345248	0.0289181	0.0234019	0.0224588	0.0174896	
club-moss_0.01_8x_1	0.0227321	0.0181677	0.0179797	0.0120982	0.0236337	0.0191029	0.0190006	0.0130409	0.0252912	0.0208844	0.0205864	0.0148126	0.0271967	0.0225583	0.022434	0.0167203	0.0289161	0.0244562	0.0243202	0.0186507	0.0127778	0.00748793	0.00684525	0.0	0.0396872	0.0348762	0.0347089	0.029287	0.0218626	0.017265	0.017089	0.0111268	
club-moss_0.02_1x_1	0.039839	0.0372616	0.0384389	0.0317363	0.0409411	0.038176	0.0393563	0.032578	0.0424429	0.0399007	0.0408126	0.0344037	0.0441791	0.0414829	0.0425368	0.0362391	0.045489	0.043023	0.043975	0.0378235	0.0469697	0.0448732	0.045935	0.0396872	0.0	0.019164	0.0197673	0.0133817	0.0390455	0.0363814	0.0374513	0.0307809	
club-moss_0.02_2x_1	0.0373577	0.0328414	0.0328966	0.0273496	0.0382395	0.0336693	0.0337727	0.0282058	0.0395988	0.0353318	0.0350579	0.0297173	0.0412723	0.0368481	0.0369181	0.0315172	0.0429419	0.0384771	0.0383809	0.0331565	0.0445512	0.0401685	0.0401439	0.0348762	0.019164	0.0	0.012854	0.00747282	0.0365036	0.0320592	0.0320604	0.0265244	
club-moss_0.02_4x_1	0.0384985	0.033131	0.0320986	0.0274858	0.0393737	0.0338265	0.0329291	0.028232	0.0408531	0.0353908	0.0342922	0.0297121	0.0422866	0.0369196	0.0360355	0.0314147	0.0440499	0.0384985	0.0375968	0.0330909	0.045634	0.0400636	0.0390549	0.0347089	0.0197673	0.012854	0.0	0.00647814	0.0376855	0.0322534	0.031307	0.0266527	
club-moss_0.02_8x_1	0.0319392	0.0272244	0.0270193	0.021565	0.0327779	0.0280571	0.0279458	0.0223947	0.0342207	0.0298049	0.029338	0.0240138	0.0360548	0.0313664	0.0311299	0.0258163	0.0377863	0.0330413	0.032815	0.027574	0.0393817	0.0346972	0.0345248	0.029287	0.0133817	0.00747282	0.00647814	0.0	0.0310645	0.0263988	0.0261568	0.0207131	
club-moss_0.0_1x_1	0.0215212	0.0188814	0.0203204	0.0129813	0.0225443	0.0198797	0.0214041	0.0139588	0.0242754	0.0217322	0.0231705	0.015968	0.0261375	0.0236585	0.0251002	0.0179379	0.0279794	0.0255359	0.0268906	0.0198606	0.0299842	0.0274559	0.0289181	0.0218626	0.0390455	0.0365036	0.0376855	0.0310645	0.0	0.0175014	0.019172	0.0119236	
club-moss_0.0_2x_1	0.0189394	0.014751	0.0149233	0.0085165	0.0197762	0.0155826	0.0160192	0.00947286	0.0214733	0.0175321	0.0177047	0.0114036	0.0233973	0.0193357	0.0196085	0.0133528	0.0252988	0.0212775	0.0215003	0.0153107	0.0270522	0.0231229	0.0234019	0.017265	0.0363814	0.0320592	0.0322534	0.0263988	0.0175014	0.0	0.013653	0.00751642	
club-moss_0.0_4x_1	0.0203746	0.0149089	0.0142205	0.00866004	0.0212706	0.0158375	0.0152286	0.00959456	0.0228941	0.0176331	0.0169223	0.0114606	0.0248048	0.0194523	0.0187954	0.0133432	0.0265656	0.0212994	0.0207785	0.0152787	0.0283721	0.0230348	0.0224588	0.017089	0.0374513	0.0320604	0.031307	0.0261568	0.019172	0.013653	0.0	0.00768196	
club-moss_0.0_8x_1	0.0129668	0.00854043	0.008661	0.00203775	0.0138981	0.00948376	0.0097554	0.00304654	0.0156738	0.0114207	0.0115588	0.00507327	0.0177104	0.0133642	0.0136054	0.00715373	0.0195084	0.0153397	0.0155052	0.0091746	0.021371	0.0172062	0.0174896	0.0111268	0.0307809	0.0265244	0.0266527	0.0207131	0.0119236	0.00751642	0.00768196	0.0	
