sample	club-moss_0.001_1x_1	club-moss_0.001_2x_1	club-moss_0.001_4x_1	club-moss_0.001_8x_1	club-moss_0.002_1x_1	club-moss_0.002_2x_1	club-moss_0.002_4x_1	club-moss_0.002_8x_1	club-moss_0.004_1x_1	club-moss_0.004_2x_1	club-moss_0.004_4x_1	club-moss_0.004_8x_1	club-moss_0.006_1x_1	club-moss_0.006_2x_1	club-moss_0.006_4x_1	club-moss_0.006_8x_1	club-moss_0.008_1x_1	club-moss_0.008_2x_1	club-moss_0.008_4x_1	club-moss_0.008_8x_1	club-moss_0.01_1x_1	club-moss_0.01_2x_1	club-moss_0.01_4x_1	club-moss_0.01_8x_1	club-moss_0.02_1x_1	club-moss_0.02_2x_1	club-moss_0.02_4x_1	club-moss_0.02_8x_1	club-moss_0.0_1x_1	club-moss_0.0_2x_1	club-moss_0.0_4x_1	club-moss_0.0_8x_1
club-moss_0.001_1x_1	0.0	0	0	0.0005735461546886311	0.0016741920323032344	0.0019450148762085728	0.001438009413933905	0.003399441402478831	0.003211028944843486	0.0037970828774002152	0.0035238195582357745	0.005362055311024738	0.004987240079620481	0.005747350592645528	0.005667651155831566	0.007361012193283778	0.006630133532433136	0.007514592242943374	0.007646178282884497	0.009103389715504284	0.008182319396245474	0.009409089692162809	0.009702865962809004	0.011048249709505464	0.017003514925615804	0.018567720682032607	0.019180263390982777	0.020084109719837984	0	0	0	0.001411938758029474
club-moss_0.001_2x_1	0	0.0	0	0	0.001758585754287778	0.0016078650727971988	0.0012047010984816975	0.002818017764278702	0.0032808114477791417	0.003575830399912827	0.0032084947619827053	0.004753112857145969	0.004944724972915093	0.005436357564264305	0.005343531917844979	0.006718297562751441	0.006602774563409075	0.007217756048245039	0.007449611093904074	0.0086451320804809	0.008238752283127981	0.009107337553737604	0.009408418483548342	0.01049458833366057	0.016938083261125225	0.01800552111219722	0.018895400782971694	0.019429701823389767	2.778373545830881e-05	0	0	0.0008852880081015035
club-moss_0.001_4x_1	0	0	0.0	0	0.0009756070299666852	0.0009330873076546231	0.0007142458668876195	0.002005025685536621	0.0023450625091494537	0.002762111747298679	0.0026491226608925666	0.003885091214691605	0.004037454552349273	0.004614864872869551	0.004781647539843448	0.005790048414247018	0.005749286580421287	0.006436153217684648	0.006922105741529405	0.007735648540065809	0.007230803268218899	0.008204977503183719	0.008804377784382478	0.009502379321684296	0.015964669039921442	0.017176958794078656	0.018043578780150837	0.018481751568383054	0	0	0	6.14454188299085e-05
club-moss_0.001_8x_1	0.0005735461546886311	0	0	0.0	0.0032935246120343598	0.0028389084758754235	0.0022759660694462447	0.003508560219143919	0.004733293148267426	0.0047392382475303085	0.004360299723877525	0.005493326288283251	0.006461130988595021	0.006647606374223569	0.006467478960915374	0.007526238048490619	0.008098013197808118	0.008553439782659877	0.008596944641233728	0.009483838393687494	0.00976221922242193	0.010459497019359332	0.010725281265923536	0.011439391866691628	0.01851299565772979	0.019557180267237406	0.020311282783546658	0.020744534464363418	0.0015824679476786896	0.0008745413678484804	0	0.0014647811784443965
club-moss_0.002_1x_1	0.0016741920323032344	0.001758585754287778	0.0009756070299666852	0.0032935246120343598	0.0	0	0	0.0005164288094057223	0.004049181569057647	0.004618889428267492	0.004278713773247955	0.006149184309705791	0.0056194016862546325	0.006396073646710909	0.006291788416028732	0.008030416067694501	0.007569720392507362	0.008472326609304082	0.008409181868963667	0.009933555250719706	0.00894947195085527	0.010125899796716298	0.010504816906381609	0.01180893466307309	0.01796527106448842	0.019308390757905247	0.019916761375681546	0.020773777590819997	0.0008836341574135487	0.0006666777121192569	0	0.002215945963059407
club-moss_0.002_2x_1	0.0019450148762085728	0.0016078650727971988	0.0009330873076546231	0.0028389084758754235	0	0.0	0	0	0.004013133919162137	0.0044056436677722965	0.004091724130129926	0.005613126442903571	0.005752208283714366	0.006314619562066026	0.006217568805503615	0.007603525109754594	0.007489415837062863	0.008209432008632	0.00826876810801691	0.009476520552946122	0.009125744789739598	0.01004225751975163	0.01023516595462659	0.01141045890992698	0.017830397156836875	0.0188126688751179	0.019577476636807423	0.02023528856866952	0.0010459357554210014	0.000650461340198194	0	0.001822338243600452
club-moss_0.002_4x_1	0.001438009413933905	0.0012047010984816975	0.0007142458668876195	0.0022759660694462447	0	0	0.0	0	0.003573705600556809	0.003943548230235017	0.0037658156365020234	0.005068428886307874	0.0053023674638329465	0.005685210555742781	0.005879299138733973	0.006997962761518539	0.0069668646432282655	0.007635625734557783	0.008043953559245143	0.008927801053389639	0.008453769346239204	0.009348930791029497	0.009870035782661768	0.010667425406309272	0.017040536176929466	0.018195283164499587	0.01900801163236643	0.019541497023991106	0.0005951895244789007	0.00032668913926292564	0	0.001316663406577212
club-moss_0.002_8x_1	0.003399441402478831	0.002818017764278702	0.002005025685536621	0.003508560219143919	0.0005164288094057223	0	0	0.0	0.0056737273484283035	0.005670064078863835	0.005272826682719334	0.006443796461048645	0.0073601217729375445	0.0075110067618909815	0.007344800314254218	0.008444901429039753	0.009026305461830475	0.009485872325798006	0.009495057748728386	0.010399999919445624	0.010660277124543205	0.011361807003036462	0.011571202386437607	0.012365227299000248	0.019313567672886056	0.020391354864702005	0.021056095168631273	0.02155103301424255	0.0025466356786320032	0.0018341971030947368	0.0008674218113478016	0.0024661713579380296
club-moss_0.004_1x_1	0.003211028944843486	0.0032808114477791417	0.0023450625091494537	0.004733293148267426	0.004049181569057647	0.004013133919162137	0.003573705600556809	0.0056737273484283035	0.0	0	0	0.00039429783102085114	0.007259448262496582	0.007940271873363991	0.0076708518185472085	0.009492624108278114	0.008823550656785861	0.009497613548876793	0.00955705931092743	0.011145953336450742	0.010559581418325137	0.01155402586036225	0.011772641906006798	0.013179100700089208	0.01917873537982706	0.02038327814378571	0.021118425677759234	0.021918173718202594	0.002402675671423049	0.0021374378025303953	0.0012155656194748898	0.003725785828969097
club-moss_0.004_2x_1	0.0037970828774002152	0.003575830399912827	0.002762111747298679	0.0047392382475303085	0.004618889428267492	0.0044056436677722965	0.003943548230235017	0.005670064078863835	0	0.0	0	0	0.007671594475338717	0.008192523004052599	0.0080039188717147	0.009474980700186597	0.009208451775869486	0.009793085761863773	0.009999810375750706	0.011277817995259842	0.010804528230661137	0.01174937643146201	0.011914445007419672	0.013156176953898813	0.019518836080411717	0.02043693805342084	0.02111382994627886	0.02192850943331115	0.0029508209840560795	0.002632974654433351	0.0016437537880200637	0.003749544234166291
club-moss_0.004_4x_1	0.0035238195582357745	0.0032084947619827053	0.0026491226608925666	0.004360299723877525	0.004278713773247955	0.004091724130129926	0.0037658156365020234	0.005272826682719334	0	0	0.0	0	0.007239378278895425	0.007730967820370305	0.007777884772224741	0.00898633933736026	0.008795910829761944	0.009415863523921986	0.009766031252443907	0.010802756423165194	0.010174443216129925	0.011099092504176178	0.011607344209853987	0.012507873247872281	0.0187776937509746	0.019734706345514885	0.020607682629231183	0.021171983781979598	0.0027138288617007955	0.0023245548194564813	0.0015904954752156142	0.003401179894078399
club-moss_0.004_8x_1	0.005362055311024738	0.004753112857145969	0.003885091214691605	0.005493326288283251	0.006149184309705791	0.005613126442903571	0.005068428886307874	0.006443796461048645	0.00039429783102085114	0	0	0.0	0.009240069373133375	0.009442111079371651	0.009154185684214111	0.010370541501286024	0.010830368274426294	0.011235683662547014	0.011201096283743994	0.01225515954275036	0.01238758862062106	0.013042814171748685	0.013165214666109648	0.014107339071014358	0.02106549918171674	0.021865766486165228	0.022528670455491784	0.02312779631189088	0.004533155744602335	0.003769093021502967	0.002771839095936035	0.004479978622892067
club-moss_0.006_1x_1	0.004987240079620481	0.004944724972915093	0.004037454552349273	0.006461130988595021	0.0056194016862546325	0.005752208283714366	0.0053023674638329465	0.0073601217729375445	0.007259448262496582	0.007671594475338717	0.007239378278895425	0.009240069373133375	0.0	0	0	0.0003943232228925675	0.010224543755004256	0.011106306189543003	0.011206744372805444	0.012792707193269304	0.011904413013658077	0.013215295986717224	0.013269003231541565	0.014832307276547274	0.020672123246198826	0.021806764498777165	0.022310814761398845	0.02348250373253158	0.004114122474571658	0.0038834518906761817	0.0029496732983189666	0.005536400324015145
club-moss_0.006_2x_1	0.005747350592645528	0.005436357564264305	0.004614864872869551	0.006647606374223569	0.006396073646710909	0.006314619562066026	0.005685210555742781	0.0075110067618909815	0.007940271873363991	0.008192523004052599	0.007730967820370305	0.009442111079371651	0	0.0	0	0	0.011095490767391691	0.01151509413352847	0.011710134416968776	0.013104152525864499	0.012520203691046672	0.013294664628883068	0.01348282045726179	0.014797429350190128	0.021067150148664004	0.021917644686836324	0.022612294357691187	0.023442718445750743	0.004910181667720281	0.004456343891930725	0.0034884614697179295	0.005681475787270185
club-moss_0.006_4x_1	0.005667651155831566	0.005343531917844979	0.004781647539843448	0.006467478960915374	0.006291788416028732	0.006217568805503615	0.005879299138733973	0.007344800314254218	0.0076708518185472085	0.0080039188717147	0.007777884772224741	0.009154185684214111	0	0	0.0	0	0.010916241035095697	0.011412970927892507	0.011821719965063981	0.012815299177303952	0.012201324701110239	0.013042659249190347	0.013539368037135513	0.01443356677585561	0.020549314699530696	0.02167271979628116	0.022487339788034078	0.023020079190455234	0.004842665142033686	0.004425712858092901	0.0037179910858619047	0.005558330590773708
club-moss_0.006_8x_1	0.007361012193283778	0.006718297562751441	0.005790048414247018	0.007526238048490619	0.008030416067694501	0.007603525109754594	0.006997962761518539	0.008444901429039753	0.009492624108278114	0.009474980700186597	0.00898633933736026	0.010370541501286024	0.0003943232228925675	0	0	0.0	0.012693163429128851	0.013029391654063027	0.013008168621825966	0.014149866088904783	0.014210508226276342	0.014873949509521256	0.014881050528848028	0.015981835820569446	0.02283198456204194	0.0236210070547912	0.024211205171137617	0.024882429288780927	0.00648025106190897	0.005716774637459565	0.004680524599748326	0.006544668547227017
club-moss_0.008_1x_1	0.006630133532433136	0.006602774563409075	0.005749286580421287	0.008098013197808118	0.007569720392507362	0.007489415837062863	0.0069668646432282655	0.009026305461830475	0.008823550656785861	0.009208451775869486	0.008795910829761944	0.010830368274426294	0.010224543755004256	0.011095490767391691	0.010916241035095697	0.012693163429128851	0.0	0	0	0.0002549440741228537	0.013560410329822581	0.014591680144248609	0.014792147396010424	0.01634010880718817	0.021788050890733768	0.023263765955101934	0.02386053344799066	0.024984766772021105	0.005838118314827945	0.005639389260527761	0.004564580348579539	0.007146918032358229
club-moss_0.008_2x_1	0.007514592242943374	0.007217756048245039	0.006436153217684648	0.008553439782659877	0.008472326609304082	0.008209432008632	0.007635625734557783	0.009485872325798006	0.009497613548876793	0.009793085761863773	0.009415863523921986	0.011235683662547014	0.011106306189543003	0.01151509413352847	0.011412970927892507	0.013029391654063027	0	0.0	0	0	0.014399096814187717	0.01500482848586504	0.015276825680930028	0.01667369608555702	0.022591316809837947	0.023523554931345503	0.02417263446796314	0.025082287766065248	0.006835488215907182	0.006430391590888207	0.005372082288361946	0.0076590754124838956
club-moss_0.008_4x_1	0.007646178282884497	0.007449611093904074	0.006922105741529405	0.008596944641233728	0.008409181868963667	0.00826876810801691	0.008043953559245143	0.009495057748728386	0.00955705931092743	0.009999810375750706	0.009766031252443907	0.011201096283743994	0.011206744372805444	0.011710134416968776	0.011821719965063981	0.013008168621825966	0	0	0.0	0	0.014244162117068138	0.01498473068338968	0.015494020627465632	0.01651532333665262	0.022212875381566022	0.02333060340993609	0.02422076144036145	0.024885007880075194	0.006904984463752317	0.006555686955218909	0.005916681079507491	0.007678925805164827
club-moss_0.008_8x_1	0.009103389715504284	0.0086451320804809	0.007735648540065809	0.009483838393687494	0.009933555250719706	0.009476520552946122	0.008927801053389639	0.010399999919445624	0.011145953336450742	0.011277817995259842	0.010802756423165194	0.01225515954275036	0.012792707193269304	0.013104152525864499	0.012815299177303952	0.014149866088904783	0.0002549440741228537	0	0	0.0	0.016022612535833702	0.016560174749367107	0.01676374733381214	0.017873280906620326	0.024351069806249903	0.025214660927360022	0.025861187783849826	0.02658854528510124	0.008376192257060211	0.00766661314933359	0.006633122638400213	0.00854420767713282
club-moss_0.01_1x_1	0.008182319396245474	0.008238752283127981	0.007230803268218899	0.00976221922242193	0.00894947195085527	0.009125744789739598	0.008453769346239204	0.010660277124543205	0.010559581418325137	0.010804528230661137	0.010174443216129925	0.01238758862062106	0.011904413013658077	0.012520203691046672	0.012201324701110239	0.014210508226276342	0.013560410329822581	0.014399096814187717	0.014244162117068138	0.016022612535833702	0.0	0	0	0.0001589079824800832	0.023067751005847348	0.024666030570962616	0.02524221238205504	0.026363335142066235	0.007697215932668255	0.007236694201322336	0.006218730099976977	0.008824354435504111
club-moss_0.01_2x_1	0.009409089692162809	0.009107337553737604	0.008204977503183719	0.010459497019359332	0.010125899796716298	0.01004225751975163	0.009348930791029497	0.011361807003036462	0.01155402586036225	0.01174937643146201	0.011099092504176178	0.013042814171748685	0.013215295986717224	0.013294664628883068	0.013042659249190347	0.014873949509521256	0.014591680144248609	0.01500482848586504	0.01498473068338968	0.016560174749367107	0	0.0	0	0	0.024390602889176938	0.025165886797905435	0.02569713810330121	0.026680130069922425	0.008769580595367255	0.008279866341137643	0.007118524884198507	0.009502345033873927
club-moss_0.01_4x_1	0.009702865962809004	0.009408418483548342	0.008804377784382478	0.010725281265923536	0.010504816906381609	0.01023516595462659	0.009870035782661768	0.011571202386437607	0.011772641906006798	0.011914445007419672	0.011607344209853987	0.013165214666109648	0.013269003231541565	0.01348282045726179	0.013539368037135513	0.014881050528848028	0.014792147396010424	0.015276825680930028	0.015494020627465632	0.01676374733381214	0	0	0.0	0	0.024317788592678302	0.02522190357384735	0.025800867376261083	0.02671528703183723	0.009129869315319228	0.008631548314913418	0.0077587238402795355	0.009821003188818178
club-moss_0.01_8x_1	0.011048249709505464	0.01049458833366057	0.009502379321684296	0.011439391866691628	0.01180893466307309	0.01141045890992698	0.010667425406309272	0.012365227299000248	0.013179100700089208	0.013156176953898813	0.012507873247872281	0.014107339071014358	0.014832307276547274	0.014797429350190128	0.01443356677585561	0.015981835820569446	0.01634010880718817	0.01667369608555702	0.01651532333665262	0.017873280906620326	0.0001589079824800832	0	0	0.0	0.02615170983739079	0.0268886651339324	0.027449425192170862	0.028253176735495877	0.010353344677221377	0.009610068506801128	0.0084511738054458	0.01047665152262256
club-moss_0.02_1x_1	0.017003514925615804	0.016938083261125225	0.015964669039921442	0.01851299565772979	0.01796527106448842	0.017830397156836875	0.017040536176929466	0.019313567672886056	0.01917873537982706	0.019518836080411717	0.0187776937509746	0.02106549918171674	0.020672123246198826	0.021067150148664004	0.020549314699530696	0.02283198456204194	0.021788050890733768	0.022591316809837947	0.022212875381566022	0.024351069806249903	0.023067751005847348	0.024390602889176938	0.024317788592678302	0.02615170983739079	0.0	0	0	0.00013262669117630743	0.016378555538086537	0.016077149275401603	0.014803254803105181	0.01758762954593962
