sample	oyster_0.001_1x_1	oyster_0.001_2x_1	oyster_0.001_4x_1	oyster_0.001_8x_1	oyster_0.002_1x_1	oyster_0.002_2x_1	oyster_0.002_4x_1	oyster_0.002_8x_1	oyster_0.004_1x_1	oyster_0.004_2x_1	oyster_0.004_4x_1	oyster_0.004_8x_1	oyster_0.006_1x_1	oyster_0.006_2x_1	oyster_0.006_4x_1	oyster_0.006_8x_1	oyster_0.008_1x_1	oyster_0.008_2x_1	oyster_0.008_4x_1	oyster_0.008_8x_1	oyster_0.01_1x_1	oyster_0.01_2x_1	oyster_0.01_4x_1	oyster_0.01_8x_1	oyster_0.02_1x_1	oyster_0.02_2x_1	oyster_0.02_4x_1	oyster_0.02_8x_1	oyster_0.0_1x_1	oyster_0.0_2x_1	oyster_0.0_4x_1	oyster_0.0_8x_1
oyster_0.001_1x_1	0.0	0.0	0.0	0.0	0.0030590532415983055	0.003255369623796725	0.003312333202071327	0.003191874464112564	0.005040187876976332	0.005295438183180299	0.005170631991480171	0.005239745229469727	0.007004837834148499	0.007113162910201363	0.00705950066272119	0.0067922967325375425	0.00898859185397389	0.00917179348119256	0.009172401704499232	0.009171361898529691	0.010835469605815199	0.011098444708079799	0.010967637390272525	0.010873622107881021	0.021159532118507685	0.020310374625500314	0.020218758535826973	0.020176117897670043	0.0010382499470868152	0.0011956324963847567	0.0011633535786514592	0.001200525404436734
oyster_0.001_2x_1	0.0	0.0	0.0	0.0	0.003044449786826892	0.0031318293130619176	0.0031208118764486327	0.003057387950416868	0.005039381376565005	0.005041601159333571	0.005002727608353012	0.005071889967885532	0.0069278152501777894	0.006933406849541113	0.006872245511128235	0.006722669559469919	0.009035826092472951	0.009041229255017685	0.009002593266646246	0.008986197571624797	0.010931379937458342	0.010894560585992079	0.010846356722768099	0.010624365090411217	0.02094622140326632	0.020094581019261478	0.020112796599423347	0.020122128920975143	0.0012071462781958345	0.0011611345550186808	0.0009843284795177476	0.00100846457270436
oyster_0.001_4x_1	0.0	0.0	0.0	0.0	0.002901685225252938	0.00299882651892808	0.0030045855809610984	0.0029380232366759897	0.004852476954585257	0.004993761835716619	0.004968348734419468	0.0048414058592750305	0.006932279412985744	0.006886352099995799	0.006787048084136934	0.006601777731905879	0.008973994168924231	0.008957540057488075	0.008980817787202791	0.008793616866015475	0.01082971091104064	0.010785827877604627	0.010690138129238294	0.010403334313485892	0.020881870305953832	0.02011003606390932	0.01995532599049242	0.019997889217078135	0.00104223380390508	0.0009516805805405764	0.0009103526340598428	0.0009410252288657903
oyster_0.001_8x_1	0.0	0.0	0.0	0.0	0.0030057848146395534	0.0030773728379970976	0.003014874040644337	0.002912299846949227	0.00497462103854844	0.005081827704682873	0.004929451461588506	0.0049274300661222015	0.00692139991041536	0.0069140610743620564	0.006834188567698133	0.006637753499736941	0.009015534296763397	0.009027499712203933	0.008936983223747004	0.008735020333745548	0.010801222376262784	0.010721840562088046	0.010576230644303563	0.010425121236887602	0.020912496060718724	0.020129856750887923	0.020051046615567468	0.019924161542811916	0.0011819521196053007	0.0010441061251651573	0.0010222619076701626	0.0009027542924058611
oyster_0.002_1x_1	0.0030584815201813655	0.0032094597866470973	0.003117444090010006	0.0031896898179265853	0.0	0.0	0.0	0.0	0.005880654952837506	0.006046453621449983	0.006076435309701046	0.006109778027383553	0.007994071973121386	0.008035834910320946	0.007984265999243517	0.007717057639554146	0.009834923010648594	0.009973085342351366	0.010040735201589556	0.009927865907889768	0.011609784711008039	0.011801705578295702	0.011716158300583143	0.011622116270346438	0.022038462396217217	0.02126820529596232	0.02135766114644927	0.02117157581969806	0.002169864906693212	0.002099794898439637	0.002087493176927832	0.0021482009734582726
oyster_0.002_2x_1	0.003085888401467051	0.0031302371472483738	0.003059347289227631	0.0031021178550542515	0.0	0.0	0.0	0.0	0.005924554068716673	0.006032989380696365	0.00604163032059132	0.005966530888368045	0.007726517203916031	0.007898730775137145	0.007901106841789718	0.007705943377639087	0.010008863456873475	0.010020391716807343	0.010001163830922276	0.009895609244440445	0.011698040705433913	0.011790701329203344	0.011727176973657081	0.011518561653546117	0.021993909240828738	0.02122173664909461	0.02115322062621916	0.021070381746734562	0.0020444423861837855	0.00202514625105818	0.0020515476766581626	0.0020415486642476398
oyster_0.002_4x_1	0.003081638196323296	0.0030565786159319603	0.0030036447830724166	0.002978777491684229	0.0	0.0	0.0	0.0	0.0058681585371130225	0.0059750792674195564	0.00598807102362369	0.005844673716345466	0.007837898936164763	0.007841636740339745	0.0077978938355620295	0.007644824225187887	0.010038226480999371	0.009964901499695542	0.009962883159353324	0.009766117827796858	0.011688525954068676	0.01174222864501974	0.011666356217329029	0.011399555873185415	0.021786656838925052	0.021160284258051276	0.02113304627519545	0.02101779896851405	0.0019944846749580013	0.001965519137008821	0.001979740598125882	0.0019715734640023725
oyster_0.002_8x_1	0.0030046236180425096	0.003028756787359356	0.002970025824141525	0.0029097047586523752	0.0	0.0	0.0	0.0	0.005805833062524614	0.00603021138309899	0.005916217241429147	0.0058286129243287	0.007804659507201534	0.007821594635826871	0.007837040483271473	0.0075725823840837045	0.010012029414256947	0.010056898213295147	0.009953412790050294	0.009705205987066576	0.011685296372451475	0.011709393305347688	0.011534903664759108	0.011337423380729744	0.021823155294173086	0.02110733095210448	0.021017928820622957	0.020900862166684638	0.0020436187397764112	0.0020143205068091008	0.001995519463506059	0.001828236605129835
oyster_0.004_1x_1	0.005038748638238398	0.00531023492139041	0.005211706865116474	0.0052795631675570985	0.00588004558194241	0.00624504727785344	0.00630355561984471	0.006167373282981078	0.0	0.0	0.0	0.0	0.009667660332447233	0.009895483692386875	0.0099342681571676	0.009799116323080769	0.011662417298246054	0.011994240953280865	0.011968022525612368	0.011985376107660456	0.01344214429926996	0.013692665512129857	0.013689541343070526	0.013536086458049499	0.02366081930920823	0.023004485781023223	0.023042325510263365	0.022946647136834468	0.0039868880493429655	0.004192468700251056	0.004149967423272051	0.004171996717039635
oyster_0.004_2x_1	0.005017555127699778	0.005035216498041411	0.0050911018104183425	0.005121462745959094	0.005730961707467923	0.006028384319885514	0.00609354607994253	0.006083902645355838	0.0	0.0	0.0	0.0	0.009697132644215598	0.009770385658926095	0.009837627401847057	0.00970698072764843	0.011677723168256842	0.011932470466213839	0.011920584934678256	0.011849802561053276	0.013366531546880939	0.013635952046623566	0.013613529210512267	0.013331015262102654	0.023656745547227298	0.02287221058921582	0.022981983567054772	0.022853598260646882	0.003914977958096926	0.00395129991536277	0.004025385543171302	0.00404700387644635
oyster_0.004_4x_1	0.004809753226112683	0.004897745756711828	0.004965073177734485	0.004870743617208741	0.005653999127692414	0.005917654779345919	0.005985971044031109	0.005852050062254772	0.0	0.0	0.0	0.0	0.009540491490532634	0.009678471700871308	0.009689262888310696	0.009422892025899484	0.01163832770458045	0.011825871948372276	0.011917251753509843	0.0115881187235203	0.01333361422499938	0.013450998960727559	0.013414372130432286	0.013158255936105229	0.02338583654623893	0.022765513326744615	0.022707542374283678	0.0226168892792444	0.003760206501439787	0.0038579633420543122	0.0038972387880018364	0.003852722283087477
oyster_0.004_8x_1	0.004925892433464118	0.005016219088720682	0.004886647275257527	0.004917630622976884	0.0057446216311859396	0.005902884451622628	0.005900050263629577	0.005822156914214505	0.0	0.0	0.0	0.0	0.009459519716873708	0.009618213084522874	0.009618772274761574	0.009437087554061868	0.011670394109302642	0.01179089052254018	0.01178128975031191	0.011596535578558971	0.013295077952942437	0.013384959497283608	0.013349329848675644	0.013180657420591524	0.023330204439323335	0.022498375230422484	0.02262832901752152	0.02250466110240781	0.003848979091617213	0.003892842384845252	0.003875614298387711	0.0037829852447828403
oyster_0.006_1x_1	0.0070015977230652605	0.00729641165887666	0.007441810726439357	0.007344833938193771	0.00799180637609729	0.008140248823484056	0.00841505678445812	0.008289120504279653	0.00966592913057669	0.010219796143964248	0.010242804202224938	0.010056571579525539	0.0	0.0	0.0	0.0	0.013729785076623736	0.014124376764648245	0.014223487759963589	0.01401452555896426	0.015297956434825868	0.01564825128232835	0.015669777307284156	0.0153030314751109	0.025097595774725732	0.02472591048879348	0.024892117979699747	0.02473201902913315	0.005859114936134208	0.006100629729880736	0.006305950961386598	0.006237329724543918
oyster_0.006_2x_1	0.006740412211890048	0.006923036067903621	0.007018998502361566	0.006968771305328	0.007617426943499645	0.007890785986674783	0.007995048870264636	0.007891572088196299	0.009384714275376576	0.009767871932025808	0.009870791394037026	0.00971713605348643	0.0	0.0	0.0	0.0	0.013371758024014345	0.013672721043933026	0.01368188710154552	0.013558932441880013	0.015118548227415316	0.015286358545080082	0.015288228472775698	0.01505667218005413	0.02494744696259747	0.02433043110238703	0.024456666046392607	0.02438628353148585	0.005757305239022806	0.005926416141928509	0.005970219527340408	0.005908897399092101
oyster_0.006_4x_1	0.006567209277119877	0.006726625185487406	0.006781187681932932	0.006753777914875297	0.007429916364277094	0.007737472755495238	0.007793523758742875	0.0077528642694962464	0.009248973029789316	0.009641434483580682	0.009687196791987786	0.00952832112747514	0.0	0.0	0.0	0.0	0.013157251002077998	0.013471500916100646	0.013543177892045698	0.01324027793858505	0.014862348765361761	0.014976218190895223	0.015037101165330963	0.014808401794035123	0.02477664817560846	0.024322810525356602	0.024310547961021983	0.024182515480044926	0.005584232290804732	0.005725634611757914	0.005778142637106685	0.005669480072667625
oyster_0.006_8x_1	0.006380973957683106	0.006642485568188377	0.006657004206532948	0.006620339275323099	0.007251083679619898	0.007616592963607696	0.0077099091836280295	0.007559312887037117	0.009209525598358895	0.009599335556205317	0.009504149323764699	0.009430926119187165	0.0	0.0	0.0	0.0	0.013141125749407356	0.013393394066549824	0.013369437546142114	0.013176426751024633	0.014849921753530637	0.014966283532845362	0.014968101814289488	0.014780229588415465	0.024795439977925667	0.02412651487890408	0.024141785911611535	0.024098442848133964	0.0055044266811834705	0.005641615700240656	0.005699463539147049	0.005554755093246625
oyster_0.008_1x_1	0.008991234025623759	0.009519630540192637	0.009636418376188822	0.009572844392743139	0.00983945055506267	0.010547475859243734	0.010779671816468519	0.010639002279165873	0.011668804630760098	0.012310396653237807	0.012497085932083908	0.01241190183315944	0.013739508925294824	0.014094134068394975	0.014125175055379533	0.01398169742307195	0.0	0.0	0.0	0.0	0.017409039731383417	0.017667132918069657	0.017907546164391015	0.017688695153764825	0.02700885724901994	0.026787763374548988	0.026502397987035048	0.026546150252551175	0.00781299743861768	0.008448337951473981	0.008592169142013465	0.008545518557557391
oyster_0.008_2x_1	0.008695839236670088	0.009029168250407147	0.00913102446215461	0.009102930675730262	0.009458678435517376	0.010011762341071546	0.010160548028836765	0.010150796329532379	0.01138150814181951	0.01193084261930754	0.012061066361937404	0.011915463007922872	0.013411286946241057	0.013674256125427952	0.013740888357102812	0.013544608073843781	0.0	0.0	0.0	0.0	0.01704038837917157	0.017317119504555223	0.01742689427358463	0.017198612591829702	0.02670187932729531	0.026235173361048372	0.026312022423396603	0.026252848748033245	0.007733782173615636	0.008044062986681259	0.008136253362017678	0.008185656240247113
