sample	oyster_0.001_1x_1	oyster_0.001_2x_1	oyster_0.001_4x_1	oyster_0.001_8x_1	oyster_0.002_1x_1	oyster_0.002_2x_1	oyster_0.002_4x_1	oyster_0.002_8x_1	oyster_0.004_1x_1	oyster_0.004_2x_1	oyster_0.004_4x_1	oyster_0.004_8x_1	oyster_0.006_1x_1	oyster_0.006_2x_1	oyster_0.006_4x_1	oyster_0.006_8x_1	oyster_0.008_1x_1	oyster_0.008_2x_1	oyster_0.008_4x_1	oyster_0.008_8x_1	oyster_0.01_1x_1	oyster_0.01_2x_1	oyster_0.01_4x_1	oyster_0.01_8x_1	oyster_0.02_1x_1	oyster_0.02_2x_1	oyster_0.02_4x_1	oyster_0.02_8x_1	oyster_0.0_1x_1	oyster_0.0_2x_1	oyster_0.0_4x_1	oyster_0.0_8x_1
oyster_0.001_1x_1	0.0	0	0	0	0.0015887396101406104	0.0021889664739462855	0.002224771011824944	0.003299413027141651	0.0034915259155416933	0.004252258706198608	0.004286802617447627	0.005341250675201192	0.00534227211074878	0.006099437589651924	0.006316671076171287	0.007308275365457306	0.007252908234021249	0.008160100787540703	0.00848399922337284	0.009276560512052612	0.008966880327374915	0.010084869405677988	0.010366852371549107	0.011315273161949024	0.018033990605679562	0.019226415848638267	0.019716030232839077	0.020270579616139428	0	0.00010341843390915262	0	0.0012237020159210354
oyster_0.001_2x_1	0	0.0	0	0	0.002019922210116709	0.0021214251300025744	0.0020694762738181494	0.002949722498286067	0.0038971669787415397	0.004061448125330158	0.0041326792529762235	0.00492506254750269	0.005659563063370565	0.0059641177536962076	0.006138067022622429	0.006850554958614641	0.007660425401358917	0.008069168320088527	0.008325389551817386	0.008959189407518608	0.009428096771787686	0.009931249884620463	0.010250733688258795	0.010900186624524744	0.01822300706695068	0.01912753728391392	0.01967213456730288	0.020103666407774945	0.0003416468133797812	0.00012442590687322674	0	0.0008802197876046636
oyster_0.001_4x_1	0	0	0.0	0	0.001810335637263849	0.0018934959924317152	0.0019865913616009534	0.002622382031093662	0.0036207987407784747	0.003881683479001641	0.004083102765273905	0.004579475392558763	0.005529011330916989	0.005764261854294683	0.0060182686630819715	0.006531679067248164	0.007453313825638963	0.007821257531637094	0.00823668251035825	0.008644811893148474	0.009176652747075575	0.009647147600612138	0.010027620331077514	0.010512853264673994	0.01795003978218679	0.018901972933291322	0.01937369593510374	0.01975430141353851	0.00013492915976331954	0	0	0.0005595204447299551
oyster_0.001_8x_1	0	0	0	0.0	0.0030495990564145536	0.0028682817236784786	0.002751668291650411	0.0034369223608697874	0.004943555721434234	0.004918642853426802	0.004906205830950916	0.005484012988542841	0.006810657134406539	0.006847005763991221	0.00695059581420987	0.007507668713667259	0.00878123332205405	0.008987395140410692	0.009204512060194125	0.009626259500107315	0.010594776518325077	0.01090744778894448	0.011116563932077383	0.011625574932049298	0.019634902347540173	0.020461958786843204	0.02088422446966609	0.021129803409985715	0.0012611149669721211	0.0007793066928657444	0.00038530659179047966	0.0013126899633194578
oyster_0.002_1x_1	0.0015887396101406104	0.002019922210116709	0.001810335637263849	0.0030495990564145536	0.0	0	0	0	0.004277713124907767	0.004920595123104832	0.0050570578101596375	0.006124456046787352	0.006255472319485533	0.006910840922521144	0.007103809236633674	0.008061393697172736	0.008046515706683466	0.008872475283213332	0.00922673714063027	0.010001015896355603	0.009700793811043162	0.01071667271391974	0.011012059761720705	0.01193518555938311	0.0188653073414089	0.020080484104034513	0.020695846501212145	0.021241596929408302	0.0007702412339278819	0.0008950535180188846	0.0006397150032101395	0.0020378801999227925
oyster_0.002_2x_1	0.0021889664739462855	0.0021214251300025744	0.0018934959924317152	0.0028682817236784786	0	0.0	0	0	0.004848078100037845	0.005055102715362247	0.005135820089396614	0.005903941289497672	0.006536292507084429	0.006936982632616884	0.007134182783987142	0.007857870048628368	0.008691087410312104	0.009055915669693215	0.009297858600820996	0.00991720890287251	0.01027943772784723	0.010847744242207136	0.011123979031441467	0.011842458356805419	0.01933008572235473	0.020254103941979462	0.020691882991869304	0.021165201319214955	0.0012484043817880819	0.0010066959017814847	0.0007563898951974402	0.0018735078205196487
oyster_0.002_4x_1	0.002224771011824944	0.0020694762738181494	0.0019865913616009534	0.002751668291650411	0	0	0.0	0	0.0047983585333829515	0.004977662319343268	0.00517768252462103	0.0057768597390603915	0.006610971791060183	0.006838658296557276	0.0071060605154867895	0.007672879772783858	0.008676250029512556	0.008942301168673783	0.009301233206315151	0.009742081743771336	0.010219180593950328	0.010724497754076578	0.011087845696785115	0.011621125988418135	0.019037528331186104	0.0200679326728046	0.020616837511314046	0.020966925768790223	0.0012545740416415319	0.0009829043003671822	0.0008600257329232086	0.0017468129040669744
oyster_0.002_8x_1	0.003299413027141651	0.002949722498286067	0.002622382031093662	0.0034369223608697874	0	0	0	0.0	0.005975832565960237	0.0059894713195906	0.005959061334688154	0.006565683117039867	0.0077698769933738365	0.007874539443277873	0.007962677934579054	0.008545092571761503	0.009854147596957907	0.010013843300532121	0.01018116638050337	0.010679780424723284	0.011559628539390077	0.011913560339761875	0.012090406622142447	0.012638698140604587	0.02068902812830775	0.02142921268724085	0.02185249638769282	0.02216669371574176	0.002293638872343018	0.0018509708310088246	0.0014435347033147083	0.0023885459505713635
oyster_0.004_1x_1	0.0034915259155416933	0.0038971669787415397	0.0036207987407784747	0.004943555721434234	0.004277713124907767	0.004848078100037845	0.0047983585333829515	0.005975832565960237	0.0	0	0	0	0.00789469574460333	0.008592576284491615	0.008802069285520853	0.009907971547032268	0.009813963915858981	0.01069067554658476	0.010910315791065939	0.011826823771613704	0.011474882018677524	0.012426717122926645	0.012735539470001611	0.013725963216732362	0.020460123659139184	0.021674496913873798	0.02219555311423771	0.02287226646416307	0.002535948195587112	0.0027636546450935384	0.0024229190052282856	0.003880197271496799
oyster_0.004_2x_1	0.004252258706198608	0.004061448125330158	0.003881683479001641	0.004918642853426802	0.004920595123104832	0.005055102715362247	0.004977662319343268	0.0059894713195906	0	0.0	0	0	0.008637453211229218	0.008853945926628248	0.009047726262362499	0.009866532051791999	0.010530027977821987	0.011010955974399828	0.011200553440714023	0.011906542081778104	0.012120174918392124	0.012746648183858733	0.013000484120196942	0.013698244738709509	0.021174970645680524	0.021997121938824415	0.022534866959605715	0.023025265766736802	0.0032570750870748455	0.0029630193036441765	0.0026942516413674955	0.0039400984620610036
