sample	rotifer_0.001_1x_1	rotifer_0.001_2x_1	rotifer_0.001_4x_1	rotifer_0.001_8x_1	rotifer_0.002_1x_1	rotifer_0.002_2x_1	rotifer_0.002_4x_1	rotifer_0.002_8x_1	rotifer_0.004_1x_1	rotifer_0.004_2x_1	rotifer_0.004_4x_1	rotifer_0.004_8x_1	rotifer_0.006_1x_1	rotifer_0.006_2x_1	rotifer_0.006_4x_1	rotifer_0.006_8x_1	rotifer_0.008_1x_1	rotifer_0.008_2x_1	rotifer_0.008_4x_1	rotifer_0.008_8x_1	rotifer_0.01_1x_1	rotifer_0.01_2x_1	rotifer_0.01_4x_1	rotifer_0.01_8x_1	rotifer_0.02_1x_1	rotifer_0.02_2x_1	rotifer_0.02_4x_1	rotifer_0.02_8x_1	rotifer_0.0_1x_1	rotifer_0.0_2x_1	rotifer_0.0_4x_1	rotifer_0.0_8x_1
rotifer_0.001_1x_1	0.0	0.0	0.0	0.0	0.0027685427217799823	0.0031045618843345986	0.002954988174785838	0.0030082084471558055	0.005043223941632976	0.005031523529081692	0.0049506902177436	0.004852774320994358	0.006887100703468546	0.00672407895618148	0.006861156369847539	0.0068446338664260795	0.009015105788876846	0.009070434025285424	0.0089768639253278	0.008968810175204208	0.010852427166418523	0.010970274745280943	0.010757377846008666	0.01057191720145418	0.020340145277086948	0.019917148899825918	0.02015294223506408	0.020032077260781992	0.0008596846122636235	0.0009342251848460056	0.0008766426761602713	0.0009094634642981227
rotifer_0.001_2x_1	0.0	0.0	0.0	0.0	0.00287008029867885	0.002993082396972682	0.002938755729860031	0.0029352452217744026	0.005032627013004919	0.004904772135167881	0.0048011388372685175	0.004728634821127605	0.006952210149530117	0.00689617397643685	0.006814769963050395	0.006783243668071245	0.008913156212937312	0.009045213180625886	0.008816060215169196	0.008827859961392662	0.010765305787541068	0.010652017187838566	0.010593795591798258	0.010503647458987218	0.02071435528876953	0.020187764243255437	0.020307914188673715	0.020251873744455428	0.0010195893373264407	0.0008953166454212411	0.0008579991876004393	0.0009030660013066822
rotifer_0.001_4x_1	0.0	0.0	0.0	0.0	0.002917172248981235	0.0029133738666114887	0.0028355218082628964	0.002847138460794327	0.005093553612695933	0.004898462932376829	0.004745699200340259	0.0046814279428301145	0.007042049529368324	0.0068980369423026384	0.006733768577438894	0.0067262379950920066	0.00898268476646968	0.009022868911944416	0.008732964188342221	0.008784946529196641	0.010709089482532234	0.0106601952577507	0.01045532097693229	0.010429944035085341	0.020561479983178487	0.020225227977623383	0.020308710851252788	0.020270277475986673	0.0009906355237854045	0.0009344556663470915	0.0008019275307203158	0.0008013178173833123
rotifer_0.001_8x_1	0.0	0.0	0.0	0.0	0.0029533291898193384	0.0029704646701939016	0.0029377841311611494	0.002949203978019932	0.0051869536454686276	0.0049436748198233805	0.0048329096813186385	0.004795657205924696	0.00708727912252156	0.006896115875744992	0.0067864252642795934	0.006803477288327985	0.009036300988939044	0.009079273889073876	0.008831229123389541	0.00883247534099313	0.010771488950742043	0.010720761716773813	0.010602934834635903	0.010560793099441973	0.02089622042753321	0.02038099387597513	0.020478314420713798	0.020444626503458845	0.001045469118900881	0.000948232336980644	0.0008436170847947272	0.000905486695136168
rotifer_0.002_1x_1	0.002768687051787096	0.002909283736447029	0.002959345730287921	0.002960167115837359	0.0	0.0	0.0	0.0	0.005852667124564894	0.005804866087780543	0.005758132549626697	0.0056993975810946135	0.007608511124778801	0.007969957133349406	0.007742240823142883	0.007745335557558477	0.009720984097704194	0.01008957878233722	0.009951396928597565	0.009950025530501854	0.011649793341126027	0.011712545880202463	0.011517438872522831	0.011395504895919383	0.02135942130505372	0.020976137730973805	0.021044864216528677	0.021072628935778555	0.001764818703259715	0.0018907124152326526	0.0018233610144860143	0.0018423613977684278
rotifer_0.002_2x_1	0.0030617313214555083	0.002992196337058507	0.002920085988752074	0.002951090567593299	0.0	0.0	0.0	0.0	0.006041313126819647	0.005959985542096818	0.00577035860529701	0.005649002227967474	0.007820816085040726	0.007913092829327768	0.0077199803587874255	0.007691980778048171	0.009838193278865153	0.010019440279150875	0.009803183478487474	0.009850105316303953	0.011739128321966046	0.011655854531721015	0.011516550619723204	0.011456937891095236	0.021371877872887336	0.021187851571812466	0.021276409945500164	0.02123542027852088	0.0019154154350712151	0.001946870621313781	0.0017893401932868004	0.0018474771672125168
rotifer_0.002_4x_1	0.0029111770516982347	0.0029297769938396363	0.0028343296867408304	0.0029156288031686566	0.0	0.0	0.0	0.0	0.0060084227118654245	0.005844791810085326	0.005727809182184336	0.005710830870386551	0.007792530357803034	0.007757317881290415	0.0076765929692630365	0.0076088068569021014	0.00993391745041478	0.010034568036670837	0.009776667016069461	0.009756705820177068	0.011787692405942435	0.011595946977580861	0.011425389604210108	0.011392764018825373	0.02144537467488143	0.021222457202568604	0.02132912961810454	0.021273816954189746	0.0018479479723300897	0.0019290962061137727	0.0017573054471074516	0.0018465471121378355
rotifer_0.002_8x_1	0.002999151212993489	0.0029520868990465876	0.002866275308958045	0.0029478939093148535	0.0	0.0	0.0	0.0	0.006162637221338634	0.005908772521040061	0.0057880276519959245	0.005749339546204882	0.007958040591376666	0.007839215696014494	0.007741997123627852	0.007732348874173467	0.009957123496932327	0.010077455795565831	0.009794355280624684	0.009777706237886187	0.011753747613794089	0.01166005475080787	0.011534729215333259	0.011380970400135665	0.021659882303621456	0.021270680726526877	0.02137639097935409	0.021347159765402114	0.002050725077149026	0.0019252217988379888	0.001786298649084815	0.001837195479282356
rotifer_0.004_1x_1	0.005042460784734746	0.005101385102300643	0.005168110726257928	0.005200673995690397	0.005851485102026012	0.006126433261327089	0.006100938176035668	0.006184703748675061	0.0	0.0	0.0	0.0	0.009765833696606234	0.009905147274446394	0.009941116284798263	0.00993794255695576	0.011761947658841004	0.011952257035273871	0.012035690122665867	0.012101232439313863	0.01363738461113815	0.013892570332253336	0.0137790954514807	0.013750150046418488	0.02311129890410727	0.022981279450000357	0.023115598820212115	0.023028851878816366	0.003827683210799935	0.004089405269209654	0.004063349711788269	0.004084208938323982
rotifer_0.004_2x_1	0.0049610669463347745	0.004903108679625238	0.004910138970957148	0.004912337973385022	0.005723016185499154	0.00595971529737315	0.005861923725881376	0.005875258060278968	0.0	0.0	0.0	0.0	0.009870496254848107	0.009858901390698007	0.009765730811687166	0.00971663130231468	0.011847883161963845	0.011969093918576078	0.01174468546753218	0.011826465040566982	0.013944742821960145	0.013734410672216103	0.013610021821886245	0.0135170274302958	0.02299247556827595	0.022852056844830514	0.02306165240005616	0.022893631312673156	0.0038013006067196572	0.004085675184180813	0.0038853483370074977	0.0038491831989569624
rotifer_0.004_4x_1	0.004875532924727115	0.004785757047216936	0.004743547029304902	0.004796696809778905	0.005669843378872008	0.005753043941502351	0.005727598706107508	0.0057475819222970815	0.0	0.0	0.0	0.0	0.00978346654939714	0.009655548139947118	0.009620810691520827	0.009554704149068633	0.011732908843413749	0.011837299145771543	0.011681710369673214	0.011689229057203813	0.01366951377352201	0.013553240473975974	0.013380617638947925	0.01330226341291468	0.023292298706238387	0.022928047045641005	0.023087009282354354	0.023041064135269962	0.003830161280509846	0.003840126561268113	0.0036952520075842397	0.0037575044141544504
rotifer_0.004_8x_1	0.004830240290367078	0.004750282868106429	0.004708830352386561	0.00478999657297669	0.0056716970646441605	0.00567573460295824	0.0057463152956850816	0.005745103084799749	0.0	0.0	0.0	0.0	0.009692616278577072	0.009631956353454768	0.009550007137180438	0.00953752544375061	0.011671420868797815	0.011830530886897409	0.011603939438575074	0.011546371621546571	0.013584450937704736	0.013500904511405546	0.013370190304058692	0.013315592736891223	0.023408140955314297	0.02287157699753682	0.023040664604709275	0.023070269513122414	0.0038474907387983826	0.0037648133471057336	0.0037308238580037096	0.003704886780090159
