sample	moss_0.001_1x_1	moss_0.001_2x_1	moss_0.001_4x_1	moss_0.001_8x_1	moss_0.002_1x_1	moss_0.002_2x_1	moss_0.002_4x_1	moss_0.002_8x_1	moss_0.004_1x_1	moss_0.004_2x_1	moss_0.004_4x_1	moss_0.004_8x_1	moss_0.006_1x_1	moss_0.006_2x_1	moss_0.006_4x_1	moss_0.006_8x_1	moss_0.008_1x_1	moss_0.008_2x_1	moss_0.008_4x_1	moss_0.008_8x_1	moss_0.01_1x_1	moss_0.01_2x_1	moss_0.01_4x_1	moss_0.01_8x_1	moss_0.02_1x_1	moss_0.02_2x_1	moss_0.02_4x_1	moss_0.02_8x_1	moss_0.0_1x_1	moss_0.0_2x_1	moss_0.0_4x_1	moss_0.0_8x_1	
moss_0.006_1x_1	0.0292584	0.0266707	0.027725	0.0203459	0.0300707	0.0275853	0.0285319	0.0213455	0.032123	0.029596	0.0305819	0.0235333	0.0	0.0199033	0.0207131	0.013397	0.0356715	0.0335948	0.0344912	0.0276249	0.0373548	0.0352131	0.0361142	0.0294322	0.0459495	0.0442043	0.0452679	0.0388877	0.0284661	0.0257009	0.0266788	0.0192383	
moss_0.006_2x_1	0.0268524	0.0221677	0.0219313	0.0157202	0.0276862	0.0231607	0.0228635	0.0167722	0.0295062	0.0250985	0.0248896	0.0188176	0.0199033	0.0	0.0142839	0.0080523	0.0332039	0.0288831	0.0285624	0.022704	0.0349919	0.0305095	0.030446	0.0245493	0.0435963	0.039647	0.0393515	0.0339773	0.0260342	0.0213001	0.0209315	0.0147115	
moss_0.006_4x_1	0.027879	0.022101	0.0207418	0.0154898	0.0287654	0.0230341	0.0216138	0.0164525	0.0306188	0.024897	0.0235441	0.018444	0.0207131	0.0142839	0.0	0.00744087	0.0341329	0.0285979	0.027318	0.0223142	0.035876	0.0301554	0.029077	0.0240518	0.0445827	0.0390643	0.0381322	0.0332625	0.0270834	0.0210809	0.0197401	0.0144762	
moss_0.006_8x_1	0.0207591	0.0158482	0.0154391	0.0090689	0.0217034	0.0168581	0.0163361	0.0101268	0.0236585	0.0189098	0.0184323	0.0123038	0.013397	0.0080523	0.00744087	0.0	0.0273487	0.0227973	0.0223671	0.0163858	0.0291468	0.0245168	0.0242075	0.0182788	0.0381609	0.0338804	0.033539	0.0280321	0.0198155	0.0148508	0.014387	0.00800363	
moss_0.008_1x_1	0.0311854	0.0286978	0.0294476	0.0223127	0.0320268	0.0294743	0.0302917	0.0233408	0.033932	0.0311999	0.0322195	0.0254153	0.0356715	0.0332039	0.0341329	0.0273487	0.0	0.0199429	0.0204704	0.013408	0.0393785	0.0368967	0.0379909	0.0312188	0.0476769	0.0455318	0.0465818	0.0402739	0.0302586	0.0273906	0.0284465	0.0213118	
moss_0.008_2x_1	0.0287485	0.0242562	0.0239012	0.0177891	0.0297246	0.0251453	0.0247974	0.018829	0.0313866	0.0269781	0.0266761	0.0208079	0.0335948	0.0288831	0.0285979	0.0227973	0.0199429	0.0	0.0141846	0.00805138	0.0367014	0.0325011	0.032381	0.0265602	0.0452962	0.0412174	0.0411096	0.0357027	0.0278837	0.023188	0.0229696	0.0168204	
moss_0.008_4x_1	0.02994	0.024116	0.0226465	0.0174991	0.0307536	0.0250245	0.0236337	0.0185113	0.0325318	0.026836	0.0254017	0.0204546	0.0344912	0.0285624	0.027318	0.0223671	0.0204704	0.0141846	0.0	0.00726093	0.0377462	0.0321869	0.0310534	0.0260832	0.0461599	0.0407099	0.0397775	0.03498	0.0290427	0.0231463	0.0217385	0.0165787	
moss_0.008_8x_1	0.0227684	0.0178893	0.0173568	0.0111858	0.0238182	0.0189279	0.0183454	0.0122645	0.0256512	0.02082	0.0203335	0.0142959	0.0276249	0.022704	0.0223142	0.0163858	0.013408	0.00805138	0.00726093	0.0	0.0311999	0.0265799	0.0262854	0.020376	0.0399934	0.0356389	0.0352171	0.0298247	0.0219178	0.0169034	0.0164357	0.0101467	
moss_0.01_1x_1	0.0330546	0.0302287	0.0313048	0.0242698	0.0340341	0.0312992	0.0322674	0.025224	0.0356375	0.033034	0.0341876	0.0272438	0.0373548	0.0349919	0.035876	0.0291468	0.0393785	0.0367014	0.0377462	0.0311999	0.0	0.0197408	0.0203452	0.013306	0.0490049	0.047067	0.0480211	0.0419291	0.0323904	0.0293533	0.0303045	0.0231441	
moss_0.01_2x_1	0.0307569	0.0260692	0.025676	0.0198619	0.0315353	0.0271147	0.0265343	0.0207899	0.0335291	0.0287952	0.0284985	0.0227402	0.0352131	0.0305095	0.0301554	0.0245168	0.0368967	0.0325011	0.0321869	0.0265799	0.0197408	0.0	0.0139734	0.0079444	0.0469244	0.0428666	0.0425025	0.0373869	0.0299778	0.0251478	0.0247179	0.0188098	
